Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2024-12-25T16:06:17.565587,-0.634,0.513,0.346,-0.465,0.643,-0.48,0.346,-0.486,1.3012008666992188,nan
2024-12-25T16:06:17.568500,-0.595,0.476,0.376,-0.527,0.676,-0.522,0.301,-0.424,1.0099334716796875,nan
2024-12-25T16:06:17.570733,-0.52,0.45,0.406,-0.602,0.689,-0.587,0.237,-0.353,1.1402359008789062,nan
2024-12-25T16:06:17.573229,-0.461,0.435,0.434,-0.64,0.7,-0.619,0.202,-0.293,1.7099990844726562,nan
2024-12-25T16:06:17.575448,-0.402,0.388,0.454,-0.694,0.716,-0.643,0.159,-0.22,1.9118423461914062,nan
2024-12-25T16:06:17.578056,-0.34,0.343,0.481,-0.732,0.731,-0.655,0.116,-0.155,1.7202224731445312,nan
2024-12-25T16:06:17.580441,-0.283,0.297,0.506,-0.759,0.743,-0.658,0.068,-0.098,1.3804092407226562,nan
2024-12-25T16:06:17.583007,-0.21,0.245,0.525,-0.788,0.751,-0.66,0.009,-0.018,0.866851806640625,nan
2024-12-25T16:06:17.585265,-0.121,0.203,0.535,-0.811,0.74,-0.669,-0.045,0.055,0.6573410034179688,nan
2024-12-25T16:06:17.587960,-0.042,0.176,0.551,-0.814,0.741,-0.658,-0.098,0.095,0.5040435791015625,nan
2024-12-25T16:06:17.590690,0.005,0.127,0.565,-0.815,0.744,-0.643,-0.124,0.131,0.43761444091796875,nan
2024-12-25T16:06:17.593684,0.029,0.09,0.558,-0.824,0.745,-0.643,-0.126,0.126,0.28942108154296875,nan
2024-12-25T16:06:17.596061,0.031,0.066,0.55,-0.832,0.753,-0.635,-0.118,0.129,0.09268951416015625,nan
2024-12-25T16:06:17.598678,0.042,0.041,0.527,-0.848,0.744,-0.637,-0.133,0.151,-0.38254547119140625,nan
2024-12-25T16:06:17.600850,0.077,0.034,0.537,-0.839,0.74,-0.629,-0.157,0.179,-0.7198028564453125,nan
2024-12-25T16:06:17.603803,0.095,0.033,0.566,-0.818,0.723,-0.632,-0.182,0.213,-0.6176071166992188,nan
2024-12-25T16:06:17.606855,0.098,0.029,0.571,-0.815,0.708,-0.644,-0.19,0.218,0.1080169677734375,nan
2024-12-25T16:06:17.609888,0.107,0.036,0.558,-0.822,0.713,-0.647,-0.171,0.209,0.9179534912109375,nan
2024-12-25T16:06:17.612374,0.067,0.06,0.546,-0.833,0.71,-0.666,-0.131,0.189,0.7723159790039062,nan
