Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2024-12-25T07:26:22.212632,-0.614,-0.583,-0.346,0.404,0.322,0.398,-0.851,0.115,-4.043861389160156,nan
2024-12-25T07:26:22.215495,-0.614,-0.583,-0.346,0.404,0.322,0.399,-0.851,0.115,-4.043861389160156,nan
2024-12-25T07:26:22.217730,-0.614,-0.583,-0.346,0.404,0.322,0.398,-0.851,0.115,-4.046417236328125,nan
2024-12-25T07:26:22.220265,-0.614,-0.583,-0.346,0.404,0.322,0.395,-0.853,0.114,-4.046417236328125,nan
2024-12-25T07:26:22.222507,-0.614,-0.583,-0.346,0.404,0.323,0.392,-0.854,0.113,-4.03619384765625,nan
2024-12-25T07:26:22.225175,-0.614,-0.583,-0.346,0.404,0.323,0.395,-0.853,0.114,-4.033638000488281,nan
2024-12-25T07:26:22.227454,-0.614,-0.583,-0.346,0.404,0.323,0.395,-0.853,0.113,-4.03619384765625,nan
2024-12-25T07:26:22.230059,-0.614,-0.583,-0.346,0.404,0.323,0.39,-0.855,0.112,-4.038749694824219,nan
2024-12-25T07:26:22.232290,-0.613,-0.583,-0.347,0.404,0.323,0.389,-0.855,0.112,-4.043861389160156,nan
2024-12-25T07:26:22.234997,-0.614,-0.583,-0.347,0.404,0.322,0.396,-0.852,0.114,-4.043861389160156,nan
2024-12-25T07:26:22.237316,-0.614,-0.583,-0.347,0.404,0.322,0.4,-0.85,0.115,-4.03619384765625,nan
2024-12-25T07:26:22.240156,-0.614,-0.583,-0.347,0.404,0.322,0.398,-0.852,0.115,-4.038749694824219,nan
2024-12-25T07:26:22.242762,-0.614,-0.583,-0.347,0.404,0.322,0.395,-0.853,0.114,-4.043861389160156,nan
2024-12-25T07:26:22.245645,-0.614,-0.583,-0.347,0.403,0.323,0.393,-0.854,0.114,-4.046417236328125,nan
2024-12-25T07:26:22.247961,-0.614,-0.583,-0.347,0.403,0.323,0.391,-0.854,0.113,-4.043861389160156,nan
2024-12-25T07:26:22.250623,-0.614,-0.583,-0.347,0.403,0.323,0.39,-0.855,0.112,-4.038749694824219,nan
2024-12-25T07:26:22.252951,-0.614,-0.583,-0.347,0.403,0.323,0.393,-0.854,0.112,-4.0413055419921875,nan
2024-12-25T07:26:22.255794,-0.614,-0.583,-0.347,0.403,0.322,0.395,-0.853,0.113,-4.0413055419921875,nan
2024-12-25T07:26:22.258233,-0.614,-0.583,-0.347,0.404,0.322,0.396,-0.852,0.113,-4.03619384765625,nan
2024-12-25T07:26:22.261261,-0.614,-0.583,-0.347,0.404,0.322,0.397,-0.852,0.113,-4.03619384765625,nan
2024-12-25T07:26:22.263610,-0.614,-0.583,-0.347,0.404,0.322,0.398,-0.852,0.113,-4.0413055419921875,nan
2024-12-25T07:26:22.266221,-0.614,-0.583,-0.347,0.404,0.322,0.399,-0.851,0.112,-4.043861389160156,nan
2024-12-25T07:26:22.268538,-0.614,-0.583,-0.347,0.404,0.322,0.398,-0.851,0.112,-4.043861389160156,nan
2024-12-25T07:26:22.271260,-0.614,-0.584,-0.346,0.403,0.322,0.399,-0.851,0.113,-4.043861389160156,nan
2024-12-25T07:26:22.273658,-0.614,-0.584,-0.346,0.403,0.322,0.398,-0.852,0.113,-4.0413055419921875,nan
2024-12-25T07:26:22.276297,-0.617,-0.583,-0.343,0.402,0.324,0.397,-0.852,0.113,-4.03619384765625,nan
