Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2024-12-25T15:54:43.609460,-0.592,0.642,0.203,-0.443,-0.696,0.568,-0.168,0.406,-0.954864501953125,nan
2024-12-25T15:54:43.612307,-0.586,0.617,0.233,-0.472,-0.717,0.574,-0.155,0.363,-1.1899261474609375,nan
2024-12-25T15:54:43.614551,-0.579,0.587,0.266,-0.499,-0.739,0.579,-0.141,0.316,-1.2997894287109375,nan
2024-12-25T15:54:43.617144,-0.563,0.544,0.305,-0.542,-0.756,0.587,-0.122,0.261,-1.3202285766601562,nan
2024-12-25T15:54:43.619481,-0.527,0.513,0.343,-0.584,-0.765,0.604,-0.094,0.201,-1.2563552856445312,nan
2024-12-25T15:54:43.622253,-0.479,0.464,0.381,-0.641,-0.775,0.617,-0.05,0.13,-1.1362686157226562,nan
2024-12-25T15:54:43.624545,-0.417,0.4,0.417,-0.702,-0.78,0.624,-0.005,0.044,-1.0494003295898438,nan
2024-12-25T15:54:43.627199,-0.362,0.34,0.448,-0.744,-0.779,0.624,0.049,-0.045,-0.9676361083984375,nan
2024-12-25T15:54:43.629518,-0.311,0.282,0.469,-0.777,-0.769,0.619,0.101,-0.122,-1.0059661865234375,nan
2024-12-25T15:54:43.632263,-0.246,0.229,0.489,-0.805,-0.746,0.613,0.157,-0.207,-1.16693115234375,nan
2024-12-25T15:54:43.634916,-0.176,0.173,0.503,-0.828,-0.715,0.608,0.207,-0.277,-1.2205810546875,nan
2024-12-25T15:54:43.637799,-0.11,0.133,0.526,-0.833,-0.687,0.6,0.237,-0.333,-1.1822586059570312,nan
2024-12-25T15:54:43.640136,-0.071,0.102,0.542,-0.831,-0.672,0.582,0.266,-0.372,-1.1694869995117188,nan
2024-12-25T15:54:43.642809,-0.04,0.061,0.554,-0.829,-0.662,0.564,0.276,-0.41,-1.2512435913085938,nan
2024-12-25T15:54:43.645176,-0.022,0.053,0.565,-0.823,-0.659,0.557,0.278,-0.422,-1.404541015625,nan
2024-12-25T15:54:43.648212,-0.026,0.048,0.566,-0.823,-0.655,0.565,0.265,-0.426,-1.75457763671875,nan
2024-12-25T15:54:43.650706,-0.035,0.055,0.568,-0.82,-0.658,0.571,0.257,-0.417,-1.97686767578125,nan
2024-12-25T15:54:43.653522,-0.045,0.071,0.564,-0.821,-0.665,0.578,0.254,-0.4,-2.1173858642578125,nan
2024-12-25T15:54:43.655816,-0.04,0.07,0.555,-0.828,-0.662,0.585,0.257,-0.392,-2.2195892333984375,nan
2024-12-25T15:54:43.658525,-0.033,0.065,0.549,-0.833,-0.654,0.595,0.258,-0.389,-2.2732467651367188,nan
2024-12-25T15:54:43.660932,-0.035,0.062,0.536,-0.841,-0.651,0.609,0.253,-0.377,-2.2017059326171875,nan
2024-12-25T15:54:43.663790,-0.044,0.054,0.522,-0.85,-0.639,0.625,0.243,-0.377,-2.3601150512695312,nan
2024-12-25T15:54:43.666123,-0.021,0.039,0.524,-0.851,-0.632,0.617,0.254,-0.394,-2.5108566284179688,nan
2024-12-25T15:54:43.668889,-0.005,0.046,0.53,-0.847,-0.621,0.61,0.277,-0.407,-2.5057525634765625,nan
2024-12-25T15:54:43.671131,0.01,0.052,0.535,-0.843,-0.607,0.614,0.292,-0.413,-2.41632080078125,nan
2024-12-25T15:54:43.673682,0.017,0.05,0.538,-0.841,-0.6,0.621,0.292,-0.411,-2.3294525146484375,nan
2024-12-25T15:54:43.675891,0.01,0.042,0.531,-0.846,-0.598,0.628,0.283,-0.41,-2.3217926025390625,nan
2024-12-25T15:54:43.678536,0.003,0.032,0.526,-0.85,-0.599,0.631,0.267,-0.414,-2.2476959228515625,nan
2024-12-25T15:54:43.680780,-0.002,0.047,0.521,-0.852,-0.603,0.635,0.263,-0.405,-2.1429367065429688,nan
2024-12-25T15:54:43.683401,0.0,0.08,0.53,-0.844,-0.62,0.636,0.265,-0.375,-1.930877685546875,nan
2024-12-25T15:54:43.685666,-0.007,0.074,0.525,-0.848,-0.622,0.645,0.246,-0.369,-1.7724609375,nan
2024-12-25T15:54:43.688282,-0.017,0.065,0.522,-0.85,-0.626,0.649,0.23,-0.366,-1.5604019165039062,nan
2024-12-25T15:54:43.690565,-0.017,0.048,0.508,-0.86,-0.624,0.646,0.228,-0.377,-1.4479827880859375,nan
2024-12-25T15:54:43.693192,-0.024,0.052,0.512,-0.857,-0.622,0.654,0.222,-0.369,-1.3636627197265625,nan
2024-12-25T15:54:43.695438,-0.021,0.029,0.495,-0.868,-0.617,0.656,0.22,-0.374,-1.3355560302734375,nan
2024-12-25T15:54:43.698028,-0.009,0.016,0.512,-0.859,-0.622,0.64,0.229,-0.389,-1.2997894287109375,nan
2024-12-25T15:54:43.700181,0.005,0.034,0.517,-0.855,-0.621,0.629,0.25,-0.395,-1.248687744140625,nan
2024-12-25T15:54:43.702672,0.021,0.04,0.527,-0.849,-0.613,0.626,0.27,-0.4,-1.2205810546875,nan
2024-12-25T15:54:43.704799,0.026,0.044,0.534,-0.844,-0.61,0.629,0.275,-0.395,-1.2461318969726562,nan
2024-12-25T15:54:43.707267,0.024,0.038,0.527,-0.849,-0.608,0.629,0.27,-0.401,-1.1873703002929688,nan
