Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-27T08:55:16.968017,0.368,-0.329,-0.566,0.66,-0.275,0.459,-0.608,0.586,1.5873641967773438,nan
2025-03-27T08:55:17.064477,0.366,-0.327,-0.566,0.662,-0.274,0.459,-0.607,0.588,1.5413742065429688,nan
2025-03-27T08:55:17.159964,0.364,-0.325,-0.566,0.664,-0.273,0.459,-0.605,0.591,1.5490341186523438,nan
2025-03-27T08:55:17.256203,0.363,-0.323,-0.567,0.666,-0.272,0.459,-0.604,0.592,1.5337066650390625,nan
2025-03-27T08:55:17.365947,0.362,-0.321,-0.568,0.667,-0.271,0.458,-0.603,0.593,1.4749374389648438,nan
2025-03-27T08:55:17.464244,0.365,-0.317,-0.568,0.666,-0.27,0.458,-0.603,0.594,1.3241958618164062,nan
2025-03-27T08:55:17.559801,0.369,-0.315,-0.568,0.665,-0.269,0.457,-0.604,0.595,1.1964492797851562,nan
2025-03-27T08:55:17.656107,0.377,-0.313,-0.569,0.661,-0.268,0.457,-0.603,0.596,0.9869384765625,nan
2025-03-27T08:55:17.751725,0.381,-0.312,-0.571,0.657,-0.268,0.456,-0.604,0.597,0.8796234130859375,nan
2025-03-27T08:55:17.848022,0.383,-0.312,-0.573,0.654,-0.266,0.455,-0.605,0.597,0.7620925903320312,nan
2025-03-27T08:55:17.943672,0.381,-0.313,-0.576,0.652,-0.266,0.454,-0.606,0.597,0.700775146484375,nan
2025-03-27T08:55:18.039988,0.379,-0.313,-0.579,0.65,-0.264,0.452,-0.608,0.596,0.6113510131835938,nan
2025-03-27T08:55:18.135520,0.377,-0.314,-0.584,0.647,-0.263,0.451,-0.61,0.596,0.5576934814453125,nan
2025-03-27T08:55:18.231815,0.375,-0.313,-0.587,0.645,-0.262,0.451,-0.61,0.597,0.5321426391601562,nan
2025-03-27T08:55:18.343426,0.373,-0.313,-0.59,0.644,-0.261,0.45,-0.609,0.598,0.544921875,nan
2025-03-27T08:55:18.439737,0.371,-0.313,-0.593,0.643,-0.26,0.45,-0.61,0.599,0.5960235595703125,nan
2025-03-27T08:55:18.535334,0.369,-0.313,-0.595,0.642,-0.259,0.449,-0.609,0.6,0.6139068603515625,nan
2025-03-27T08:55:18.631623,0.368,-0.312,-0.597,0.641,-0.257,0.45,-0.608,0.602,0.5755844116210938,nan
2025-03-27T08:55:18.727249,0.366,-0.312,-0.599,0.64,-0.257,0.45,-0.607,0.603,0.5295944213867188,nan
2025-03-27T08:55:18.823530,0.365,-0.311,-0.601,0.64,-0.256,0.449,-0.608,0.603,0.45038604736328125,nan
2025-03-27T08:55:18.919185,0.363,-0.31,-0.603,0.639,-0.255,0.448,-0.609,0.603,0.39417266845703125,nan
2025-03-27T08:55:19.015564,0.361,-0.309,-0.605,0.639,-0.254,0.447,-0.61,0.603,0.297088623046875,nan
2025-03-27T08:55:19.111133,0.359,-0.309,-0.606,0.639,-0.254,0.448,-0.608,0.605,0.23065948486328125,nan
2025-03-27T08:55:19.207406,0.358,-0.309,-0.608,0.638,-0.253,0.447,-0.609,0.605,0.166778564453125,nan
2025-03-27T08:55:19.335048,0.356,-0.308,-0.608,0.64,-0.251,0.445,-0.611,0.604,0.13356781005859375,nan
2025-03-27T08:55:19.431301,0.354,-0.307,-0.608,0.641,-0.25,0.445,-0.611,0.606,0.10546112060546875,nan
2025-03-27T08:55:19.526961,0.352,-0.306,-0.608,0.643,-0.25,0.445,-0.61,0.607,0.08502197265625,nan
2025-03-27T08:55:19.623183,0.349,-0.306,-0.607,0.645,-0.249,0.444,-0.609,0.608,0.04924774169921875,nan
2025-03-27T08:55:19.718863,0.348,-0.305,-0.607,0.646,-0.248,0.443,-0.61,0.608,0.0518035888671875,nan
2025-03-27T08:55:19.815135,0.346,-0.304,-0.606,0.649,-0.247,0.441,-0.613,0.607,0.09523773193359375,nan
2025-03-27T08:55:19.910779,0.344,-0.303,-0.606,0.65,-0.245,0.44,-0.616,0.605,0.1361236572265625,nan
2025-03-27T08:55:20.007791,0.342,-0.302,-0.606,0.652,-0.244,0.438,-0.619,0.604,0.15911865234375,nan
2025-03-27T08:55:20.118388,0.34,-0.301,-0.606,0.653,-0.243,0.437,-0.62,0.605,0.148895263671875,nan
2025-03-27T08:55:20.214961,0.338,-0.3,-0.607,0.654,-0.242,0.437,-0.619,0.606,0.1259002685546875,nan
2025-03-27T08:55:20.310596,0.337,-0.299,-0.607,0.655,-0.241,0.436,-0.621,0.605,0.14122772216796875,nan
2025-03-27T08:55:20.406870,0.335,-0.298,-0.607,0.656,-0.239,0.432,-0.626,0.604,0.19488525390625,nan
