Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-05-20T09:43:03.487318,-0.72,0.49,0.48,-0.107,-0.379,0.141,-0.613,0.678,3.87408447265625,nan
2025-05-20T09:43:03.599601,-0.719,0.49,0.481,-0.107,-0.381,0.143,-0.613,0.678,3.8255386352539062,nan
2025-05-20T09:43:03.695254,-0.718,0.49,0.482,-0.108,-0.382,0.145,-0.612,0.677,3.7437820434570312,nan
2025-05-20T09:43:03.791339,-0.718,0.49,0.483,-0.109,-0.383,0.147,-0.612,0.676,3.6926803588867188,nan
2025-05-20T09:43:03.887180,-0.717,0.49,0.483,-0.11,-0.385,0.149,-0.611,0.675,3.6364669799804688,nan
2025-05-20T09:43:03.985056,-0.717,0.49,0.484,-0.111,-0.386,0.151,-0.611,0.675,3.6288070678710938,nan
2025-05-20T09:43:04.080669,-0.716,0.49,0.485,-0.112,-0.387,0.152,-0.61,0.674,3.6722412109375,nan
2025-05-20T09:43:04.176985,-0.716,0.49,0.485,-0.113,-0.389,0.154,-0.61,0.673,3.7284469604492188,nan
2025-05-20T09:43:04.272472,-0.715,0.49,0.485,-0.114,-0.39,0.156,-0.609,0.673,3.856201171875,nan
2025-05-20T09:43:04.368769,-0.715,0.49,0.486,-0.115,-0.391,0.157,-0.609,0.672,4.012054443359375,nan
2025-05-20T09:43:04.480398,-0.714,0.49,0.486,-0.115,-0.392,0.159,-0.608,0.672,4.4080810546875,nan
2025-05-20T09:43:04.576688,-0.714,0.49,0.486,-0.116,-0.393,0.16,-0.607,0.671,4.71978759765625,nan
2025-05-20T09:43:04.672332,-0.713,0.49,0.487,-0.117,-0.395,0.162,-0.607,0.671,5.095375061035156,nan
2025-05-20T09:43:04.784607,-0.714,0.489,0.487,-0.116,-0.396,0.163,-0.606,0.67,5.343208312988281,nan
2025-05-20T09:43:04.880257,-0.715,0.486,0.489,-0.114,-0.397,0.164,-0.606,0.67,5.895088195800781,nan
2025-05-20T09:43:04.976574,-0.716,0.484,0.49,-0.112,-0.398,0.165,-0.605,0.669,6.296226501464844,nan
2025-05-20T09:43:05.072236,-0.716,0.484,0.491,-0.112,-0.399,0.166,-0.605,0.669,6.779121398925781,nan
2025-05-20T09:43:05.168509,-0.716,0.483,0.492,-0.112,-0.4,0.166,-0.605,0.668,6.975852966308594,nan
2025-05-20T09:43:05.279798,-0.716,0.483,0.492,-0.112,-0.401,0.167,-0.604,0.668,7.029510498046875,nan
2025-05-20T09:43:05.376329,-0.719,0.48,0.49,-0.111,-0.402,0.168,-0.604,0.668,6.9324188232421875,nan
2025-05-20T09:43:05.472068,-0.719,0.48,0.49,-0.111,-0.402,0.169,-0.603,0.668,6.699913024902344,nan
2025-05-20T09:43:05.568367,-0.719,0.478,0.491,-0.116,-0.403,0.17,-0.603,0.667,6.508293151855469,nan
2025-05-20T09:43:05.664014,-0.725,0.474,0.485,-0.122,-0.404,0.17,-0.603,0.667,6.158256530761719,nan
2025-05-20T09:43:05.760300,-0.728,0.471,0.482,-0.129,-0.404,0.169,-0.604,0.666,5.928306579589844,nan
2025-05-20T09:43:05.855926,-0.732,0.471,0.476,-0.127,-0.401,0.162,-0.608,0.666,5.5859375,nan
2025-05-20T09:43:05.952299,-0.732,0.473,0.475,-0.12,-0.394,0.155,-0.61,0.669,5.30999755859375,nan
2025-05-20T09:43:06.047866,-0.729,0.477,0.476,-0.12,-0.388,0.151,-0.613,0.672,4.791328430175781,nan
2025-05-20T09:43:06.144171,-0.729,0.476,0.475,-0.126,-0.389,0.153,-0.612,0.671,4.451515197753906,nan
2025-05-20T09:43:06.239761,-0.734,0.472,0.469,-0.135,-0.395,0.153,-0.613,0.666,4.0989227294921875,nan
2025-05-20T09:43:06.336068,-0.734,0.464,0.476,-0.139,-0.4,0.15,-0.617,0.661,3.9277420043945312,nan
2025-05-20T09:43:06.447714,-0.733,0.463,0.478,-0.14,-0.401,0.151,-0.617,0.66,3.7258987426757812,nan
2025-05-20T09:43:06.544001,-0.734,0.46,0.479,-0.141,-0.401,0.152,-0.617,0.659,3.6313629150390625,nan
2025-05-20T09:43:06.639619,-0.733,0.46,0.481,-0.142,-0.403,0.153,-0.617,0.658,3.5368270874023438,nan
2025-05-20T09:43:06.735950,-0.732,0.46,0.482,-0.143,-0.404,0.155,-0.617,0.658,3.534271240234375,nan
2025-05-20T09:43:06.831593,-0.73,0.46,0.484,-0.144,-0.405,0.156,-0.617,0.656,3.58026123046875,nan
2025-05-20T09:43:06.927846,-0.729,0.46,0.486,-0.144,-0.407,0.157,-0.617,0.655,3.58026123046875,nan
2025-05-20T09:43:07.023522,-0.728,0.46,0.487,-0.145,-0.405,0.155,-0.618,0.656,3.570037841796875,nan
2025-05-20T09:43:07.119841,-0.727,0.46,0.489,-0.145,-0.405,0.154,-0.617,0.657,3.59814453125,nan
2025-05-20T09:43:07.215423,-0.726,0.46,0.492,-0.141,-0.406,0.155,-0.617,0.656,3.6007003784179688,nan
2025-05-20T09:43:07.311704,-0.725,0.458,0.496,-0.134,-0.405,0.154,-0.617,0.657,3.5572662353515625,nan
2025-05-20T09:43:07.423183,-0.724,0.459,0.497,-0.134,-0.402,0.152,-0.617,0.659,3.4499588012695312,nan
2025-05-20T09:43:07.519696,-0.723,0.459,0.499,-0.133,-0.402,0.153,-0.617,0.659,3.3911895751953125,nan
2025-05-20T09:43:07.615366,-0.722,0.459,0.501,-0.131,-0.403,0.153,-0.616,0.659,3.3733062744140625,nan
2025-05-20T09:43:07.711636,-0.721,0.458,0.505,-0.129,-0.403,0.154,-0.616,0.659,3.3349838256835938,nan
2025-05-20T09:43:07.807320,-0.719,0.458,0.507,-0.128,-0.398,0.149,-0.618,0.661,3.2327804565429688,nan
2025-05-20T09:43:07.903545,-0.719,0.461,0.505,-0.126,-0.395,0.145,-0.619,0.663,3.1970138549804688,nan
2025-05-20T09:43:07.998942,-0.718,0.463,0.505,-0.124,-0.391,0.14,-0.62,0.665,3.2685470581054688,nan
2025-05-20T09:43:08.095560,-0.718,0.464,0.504,-0.122,-0.388,0.136,-0.621,0.667,3.3886337280273438,nan
2025-05-20T09:43:08.191163,-0.717,0.466,0.504,-0.121,-0.387,0.134,-0.621,0.669,3.5138320922851562,nan
2025-05-20T09:43:08.287437,-0.716,0.466,0.505,-0.12,-0.386,0.134,-0.62,0.669,3.4984970092773438,nan
2025-05-20T09:43:08.398800,-0.715,0.467,0.506,-0.12,-0.386,0.135,-0.619,0.67,3.4039688110351562,nan
2025-05-20T09:43:08.495556,-0.714,0.468,0.506,-0.12,-0.387,0.137,-0.618,0.671,3.3886337280273438,nan
2025-05-20T09:43:08.590856,-0.713,0.469,0.507,-0.12,-0.388,0.138,-0.616,0.671,3.4499588012695312,nan
2025-05-20T09:43:08.686490,-0.712,0.47,0.507,-0.12,-0.389,0.14,-0.615,0.671,3.4831695556640625,nan
2025-05-20T09:43:08.782197,-0.711,0.472,0.507,-0.12,-0.39,0.142,-0.614,0.671,3.4652862548828125,nan
2025-05-20T09:43:08.879248,-0.71,0.474,0.506,-0.121,-0.39,0.144,-0.613,0.671,3.4550628662109375,nan
2025-05-20T09:43:08.974842,-0.71,0.475,0.506,-0.121,-0.391,0.145,-0.613,0.671,3.4908370971679688,nan
2025-05-20T09:43:09.071506,-0.709,0.476,0.506,-0.122,-0.392,0.147,-0.612,0.671,3.534271240234375,nan
2025-05-20T09:43:09.166542,-0.708,0.477,0.506,-0.122,-0.393,0.148,-0.611,0.671,3.7233428955078125,nan
2025-05-20T09:43:09.263106,-0.708,0.478,0.506,-0.123,-0.393,0.15,-0.61,0.671,3.9507369995117188,nan
2025-05-20T09:43:09.374697,-0.708,0.478,0.505,-0.123,-0.394,0.152,-0.609,0.671,4.2931060791015625,nan
2025-05-20T09:43:09.470959,-0.707,0.479,0.505,-0.124,-0.395,0.153,-0.609,0.671,4.5128326416015625,nan
2025-05-20T09:43:09.566632,-0.707,0.48,0.505,-0.124,-0.395,0.154,-0.608,0.671,4.860313415527344,nan
2025-05-20T09:43:09.663006,-0.707,0.481,0.504,-0.125,-0.396,0.155,-0.608,0.671,5.108154296875,nan
2025-05-20T09:43:09.774582,-0.706,0.482,0.504,-0.125,-0.396,0.157,-0.607,0.671,5.391754150390625,nan
2025-05-20T09:43:09.870866,-0.706,0.482,0.503,-0.125,-0.397,0.158,-0.607,0.671,5.905311584472656,nan
2025-05-20T09:43:09.966517,-0.706,0.483,0.503,-0.126,-0.397,0.159,-0.606,0.671,6.209358215332031,nan
2025-05-20T09:43:10.078853,-0.705,0.483,0.503,-0.126,-0.398,0.159,-0.606,0.671,6.4904022216796875,nan
2025-05-20T09:43:10.174464,-0.705,0.484,0.503,-0.126,-0.398,0.16,-0.605,0.671,6.595161437988281,nan
2025-05-20T09:43:10.270752,-0.705,0.484,0.502,-0.126,-0.399,0.161,-0.605,0.67,6.679473876953125,nan
2025-05-20T09:43:10.366367,-0.705,0.484,0.503,-0.125,-0.399,0.162,-0.604,0.67,6.6667022705078125,nan
2025-05-20T09:43:10.462658,-0.705,0.484,0.503,-0.124,-0.4,0.163,-0.604,0.67,6.5006256103515625,nan
2025-05-20T09:43:10.558276,-0.705,0.484,0.503,-0.123,-0.4,0.164,-0.604,0.67,6.319221496582031,nan
