Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-19T08:13:26.584702,-0.655,0.654,0.243,-0.29,-0.072,-0.2,0.799,-0.563,3.0232696533203125,nan
2025-03-19T08:13:26.680983,-0.655,0.654,0.243,-0.29,-0.074,-0.198,0.8,-0.562,2.0191574096679688,nan
2025-03-19T08:13:26.791632,-0.655,0.654,0.242,-0.29,-0.076,-0.195,0.801,-0.561,1.5643692016601562,nan
2025-03-19T08:13:26.888981,-0.655,0.654,0.242,-0.29,-0.079,-0.192,0.803,-0.559,1.2500991821289062,nan
2025-03-19T08:13:26.984530,-0.655,0.655,0.242,-0.29,-0.082,-0.19,0.804,-0.557,1.1632308959960938,nan
2025-03-19T08:13:27.080922,-0.655,0.655,0.242,-0.289,-0.084,-0.187,0.805,-0.556,1.1019134521484375,nan
2025-03-19T08:13:27.176463,-0.655,0.655,0.242,-0.289,-0.086,-0.185,0.806,-0.555,1.0891342163085938,nan
2025-03-19T08:13:27.272776,-0.655,0.655,0.242,-0.289,-0.088,-0.182,0.807,-0.555,1.142791748046875,nan
2025-03-19T08:13:27.368352,-0.655,0.655,0.242,-0.289,-0.091,-0.18,0.808,-0.554,1.1938934326171875,nan
2025-03-19T08:13:27.464613,-0.656,0.654,0.242,-0.288,-0.095,-0.177,0.81,-0.551,1.18878173828125,nan
2025-03-19T08:13:27.560245,-0.656,0.654,0.241,-0.288,-0.101,-0.175,0.811,-0.548,1.1300125122070312,nan
2025-03-19T08:13:27.656561,-0.656,0.654,0.241,-0.288,-0.101,-0.174,0.81,-0.551,0.9997100830078125,nan
2025-03-19T08:13:27.767874,-0.657,0.654,0.241,-0.288,-0.102,-0.172,0.809,-0.553,0.912841796875,nan
2025-03-19T08:13:27.864484,-0.657,0.654,0.241,-0.287,-0.104,-0.171,0.808,-0.553,0.7978668212890625,nan
2025-03-19T08:13:27.960117,-0.657,0.654,0.241,-0.287,-0.108,-0.169,0.81,-0.551,0.7416534423828125,nan
2025-03-19T08:13:28.056491,-0.657,0.654,0.241,-0.287,-0.108,-0.165,0.81,-0.552,0.6905593872070312,nan
2025-03-19T08:13:28.151984,-0.657,0.654,0.24,-0.287,-0.109,-0.162,0.81,-0.553,0.6496734619140625,nan
2025-03-19T08:13:28.248299,-0.657,0.655,0.24,-0.287,-0.109,-0.158,0.809,-0.555,0.6011276245117188,nan
2025-03-19T08:13:28.343892,-0.657,0.655,0.24,-0.287,-0.111,-0.154,0.81,-0.555,0.6011276245117188,nan
2025-03-19T08:13:28.440159,-0.657,0.654,0.24,-0.287,-0.112,-0.15,0.81,-0.555,0.6573410034179688,nan
2025-03-19T08:13:28.535795,-0.657,0.654,0.239,-0.287,-0.113,-0.147,0.81,-0.556,0.7161026000976562,nan
2025-03-19T08:13:28.632079,-0.657,0.654,0.239,-0.287,-0.114,-0.144,0.81,-0.556,0.7595443725585938,nan
2025-03-19T08:13:28.743683,-0.657,0.654,0.239,-0.287,-0.115,-0.142,0.81,-0.557,0.7493209838867188,nan
2025-03-19T08:13:28.839965,-0.657,0.654,0.239,-0.287,-0.117,-0.14,0.81,-0.557,0.7084426879882812,nan
2025-03-19T08:13:28.935633,-0.658,0.654,0.239,-0.287,-0.118,-0.138,0.81,-0.557,0.6624526977539062,nan
2025-03-19T08:13:29.031925,-0.657,0.655,0.238,-0.287,-0.12,-0.136,0.811,-0.557,0.573028564453125,nan
2025-03-19T08:13:29.127545,-0.657,0.655,0.238,-0.287,-0.123,-0.134,0.811,-0.556,0.5219268798828125,nan
2025-03-19T08:13:29.223794,-0.657,0.655,0.239,-0.287,-0.127,-0.131,0.813,-0.554,0.4759368896484375,nan
2025-03-19T08:13:29.319423,-0.657,0.655,0.239,-0.287,-0.128,-0.129,0.813,-0.554,0.4708251953125,nan
2025-03-19T08:13:29.415727,-0.657,0.655,0.239,-0.286,-0.129,-0.126,0.812,-0.555,0.4580535888671875,nan
2025-03-19T08:13:29.511373,-0.657,0.655,0.239,-0.286,-0.13,-0.122,0.811,-0.557,0.4478302001953125,nan
2025-03-19T08:13:29.623644,-0.657,0.655,0.238,-0.286,-0.134,-0.116,0.813,-0.555,0.4657135009765625,nan
2025-03-19T08:13:29.719292,-0.657,0.655,0.238,-0.286,-0.141,-0.112,0.814,-0.552,0.5065994262695312,nan
2025-03-19T08:13:29.815554,-0.657,0.655,0.238,-0.285,-0.144,-0.109,0.815,-0.551,0.6139068603515625,nan
2025-03-19T08:13:29.911243,-0.658,0.655,0.239,-0.285,-0.144,-0.106,0.814,-0.553,0.6675643920898438,nan
2025-03-19T08:13:30.007498,-0.658,0.655,0.238,-0.284,-0.145,-0.105,0.812,-0.555,0.6803359985351562,nan
2025-03-19T08:13:30.103095,-0.658,0.655,0.239,-0.284,-0.145,-0.102,0.811,-0.558,0.665008544921875,nan
