Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-01-16T12:37:08.265646,0.417,-0.443,0.498,-0.618,-0.492,0.666,0.443,-0.343,-4.107734680175781,nan
2025-01-16T12:37:08.268780,0.414,-0.451,0.491,-0.62,-0.49,0.667,0.443,-0.345,-4.107734680175781,nan
2025-01-16T12:37:08.271194,0.405,-0.459,0.484,-0.626,-0.489,0.667,0.443,-0.348,-4.11029052734375,nan
2025-01-16T12:37:08.273805,0.399,-0.463,0.48,-0.629,-0.487,0.666,0.443,-0.35,-4.1154022216796875,nan
2025-01-16T12:37:08.275764,0.397,-0.464,0.48,-0.63,-0.486,0.666,0.443,-0.352,-4.112846374511719,nan
2025-01-16T12:37:08.278313,0.397,-0.462,0.483,-0.629,-0.489,0.667,0.442,-0.349,-4.107734680175781,nan
2025-01-16T12:37:08.280863,0.405,-0.456,0.489,-0.623,-0.497,0.663,0.443,-0.342,-4.107734680175781,nan
2025-01-16T12:37:08.283551,0.414,-0.449,0.498,-0.616,-0.506,0.659,0.446,-0.333,-4.11029052734375,nan
2025-01-16T12:37:08.285735,0.413,-0.445,0.503,-0.615,-0.508,0.657,0.448,-0.33,-4.1154022216796875,nan
2025-01-16T12:37:08.288201,0.415,-0.449,0.502,-0.611,-0.51,0.655,0.449,-0.331,-4.112846374511719,nan
2025-01-16T12:37:08.290269,0.411,-0.455,0.498,-0.613,-0.513,0.654,0.445,-0.333,-4.11029052734375,nan
2025-01-16T12:37:08.293124,0.41,-0.456,0.498,-0.612,-0.52,0.656,0.434,-0.333,-4.11029052734375,nan
2025-01-16T12:37:08.295703,0.411,-0.459,0.498,-0.611,-0.523,0.658,0.428,-0.333,-4.11029052734375,nan
2025-01-16T12:37:08.298251,0.416,-0.463,0.494,-0.607,-0.524,0.659,0.425,-0.333,-4.112846374511719,nan
2025-01-16T12:37:08.300643,0.413,-0.464,0.494,-0.608,-0.528,0.664,0.418,-0.326,-4.112846374511719,nan
2025-01-16T12:37:08.303334,0.413,-0.458,0.494,-0.612,-0.53,0.664,0.416,-0.324,-4.11029052734375,nan
2025-01-16T12:37:08.305357,0.416,-0.457,0.496,-0.61,-0.53,0.663,0.418,-0.324,-4.11029052734375,nan
2025-01-16T12:37:08.307735,0.423,-0.455,0.497,-0.605,-0.529,0.662,0.42,-0.325,-4.11029052734375,nan
2025-01-16T12:37:08.309807,0.434,-0.449,0.5,-0.6,-0.528,0.662,0.421,-0.327,-4.112846374511719,nan
2025-01-16T12:37:08.312542,0.434,-0.45,0.5,-0.599,-0.526,0.662,0.422,-0.328,-4.11029052734375,nan
2025-01-16T12:37:08.315174,0.414,-0.457,0.491,-0.615,-0.525,0.661,0.423,-0.329,-4.11029052734375,nan
2025-01-16T12:37:08.317783,0.399,-0.465,0.482,-0.626,-0.525,0.661,0.423,-0.33,-4.112846374511719,nan
2025-01-16T12:37:08.319729,0.389,-0.48,0.471,-0.629,-0.523,0.663,0.423,-0.33,-4.11029052734375,nan
2025-01-16T12:37:08.321991,0.385,-0.486,0.467,-0.63,-0.521,0.663,0.424,-0.331,-4.11029052734375,nan
2025-01-16T12:37:08.323974,0.383,-0.488,0.466,-0.631,-0.521,0.662,0.424,-0.332,-4.112846374511719,nan
2025-01-16T12:37:08.326164,0.381,-0.49,0.466,-0.631,-0.52,0.662,0.425,-0.333,-4.1154022216796875,nan
2025-01-16T12:37:08.328018,0.378,-0.493,0.463,-0.632,-0.519,0.662,0.426,-0.334,-4.112846374511719,nan
2025-01-16T12:37:08.330142,0.371,-0.498,0.459,-0.636,-0.518,0.661,0.427,-0.336,-4.11029052734375,nan
2025-01-16T12:37:08.332244,0.361,-0.501,0.455,-0.641,-0.517,0.661,0.427,-0.337,-4.112846374511719,nan
2025-01-16T12:37:08.334863,0.357,-0.501,0.455,-0.644,-0.516,0.66,0.428,-0.338,-4.112846374511719,nan
2025-01-16T12:37:08.336781,0.355,-0.502,0.455,-0.644,-0.515,0.66,0.429,-0.34,-4.107734680175781,nan
2025-01-16T12:37:08.339052,0.354,-0.501,0.456,-0.645,-0.514,0.659,0.43,-0.341,-4.11029052734375,nan
2025-01-16T12:37:08.341029,0.351,-0.503,0.454,-0.646,-0.513,0.659,0.431,-0.342,-4.1154022216796875,nan
2025-01-16T12:37:08.343285,0.345,-0.506,0.45,-0.65,-0.512,0.658,0.432,-0.343,-4.112846374511719,nan
2025-01-16T12:37:08.345160,0.345,-0.507,0.45,-0.649,-0.511,0.658,0.432,-0.344,-4.1154022216796875,nan
2025-01-16T12:37:08.347385,0.351,-0.497,0.458,-0.648,-0.51,0.658,0.433,-0.345,-4.120506286621094,nan
2025-01-16T12:37:08.349400,0.358,-0.486,0.465,-0.647,-0.51,0.657,0.434,-0.346,-4.120506286621094,nan
2025-01-16T12:37:08.351707,0.362,-0.483,0.468,-0.646,-0.509,0.657,0.435,-0.347,-4.120506286621094,nan
2025-01-16T12:37:08.353653,0.365,-0.486,0.466,-0.643,-0.508,0.657,0.436,-0.347,-4.117950439453125,nan
2025-01-16T12:37:08.355941,0.361,-0.487,0.465,-0.646,-0.507,0.657,0.437,-0.348,-4.117950439453125,nan
2025-01-16T12:37:08.357945,0.369,-0.476,0.474,-0.642,-0.506,0.656,0.438,-0.348,-4.117950439453125,nan
2025-01-16T12:37:08.360165,0.375,-0.469,0.481,-0.639,-0.506,0.655,0.439,-0.349,-4.1230621337890625,nan
2025-01-16T12:37:08.362100,0.38,-0.466,0.484,-0.636,-0.506,0.655,0.44,-0.348,-4.120506286621094,nan
2025-01-16T12:37:08.364368,0.383,-0.464,0.486,-0.633,-0.506,0.655,0.44,-0.349,-4.117950439453125,nan
