Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-01-19T13:23:50.933251,0.007,-0.319,-0.567,0.759,0.811,-0.471,-0.325,0.121,3.8970794677734375,nan
2025-01-19T13:23:50.936028,0.009,-0.322,-0.567,0.758,0.81,-0.471,-0.327,0.123,4.024833679199219,nan
2025-01-19T13:23:50.938256,0.01,-0.325,-0.566,0.758,0.808,-0.471,-0.33,0.125,4.027381896972656,nan
2025-01-19T13:23:50.940779,0.01,-0.325,-0.569,0.756,0.807,-0.471,-0.332,0.128,3.79998779296875,nan
2025-01-19T13:23:50.942963,0.011,-0.326,-0.57,0.754,0.806,-0.47,-0.335,0.13,3.5853729248046875,nan
2025-01-19T13:23:50.945564,0.011,-0.328,-0.57,0.753,0.805,-0.47,-0.338,0.132,3.3988571166992188,nan
2025-01-19T13:23:50.947872,0.011,-0.33,-0.57,0.752,0.803,-0.47,-0.341,0.134,3.4039688110351562,nan
2025-01-19T13:23:50.950489,0.011,-0.332,-0.57,0.751,0.802,-0.47,-0.343,0.136,3.5598220825195312,nan
2025-01-19T13:23:50.952701,0.012,-0.333,-0.571,0.751,0.8,-0.471,-0.346,0.137,3.6364669799804688,nan
2025-01-19T13:23:50.955365,0.012,-0.334,-0.571,0.75,0.799,-0.471,-0.348,0.139,3.5674819946289062,nan
2025-01-19T13:23:50.957663,0.014,-0.336,-0.573,0.748,0.8,-0.47,-0.346,0.139,3.3911895751953125,nan
2025-01-19T13:23:50.960648,0.014,-0.338,-0.575,0.745,0.804,-0.466,-0.342,0.142,3.0130538940429688,nan
2025-01-19T13:23:50.963199,0.016,-0.329,-0.579,0.746,0.804,-0.464,-0.339,0.157,2.8290939331054688,nan
2025-01-19T13:23:50.966052,0.011,-0.304,-0.584,0.753,0.795,-0.464,-0.344,0.185,2.7396621704101562,nan
2025-01-19T13:23:50.968383,-0.023,-0.26,-0.584,0.769,0.774,-0.467,-0.366,0.224,2.7447738647460938,nan
2025-01-19T13:23:50.970958,-0.087,-0.203,-0.587,0.779,0.734,-0.465,-0.413,0.274,2.73455810546875,nan
2025-01-19T13:23:50.973467,-0.141,-0.158,-0.593,0.776,0.699,-0.465,-0.444,0.313,2.6987838745117188,nan
2025-01-19T13:23:50.976815,-0.175,-0.112,-0.601,0.772,0.677,-0.459,-0.46,0.346,2.66046142578125,nan
2025-01-19T13:23:50.979386,-0.218,-0.07,-0.603,0.764,0.644,-0.451,-0.49,0.377,2.6681289672851562,nan
2025-01-19T13:23:50.982216,-0.246,-0.033,-0.602,0.759,0.616,-0.443,-0.514,0.399,2.6553497314453125,nan
2025-01-19T13:23:50.984538,-0.268,-0.001,-0.598,0.755,0.593,-0.436,-0.532,0.42,2.6553497314453125,nan
2025-01-19T13:23:50.987163,-0.271,0.028,-0.595,0.756,0.585,-0.443,-0.525,0.431,2.6757888793945312,nan
2025-01-19T13:23:50.989528,-0.243,0.026,-0.603,0.76,0.617,-0.445,-0.483,0.434,2.6400222778320312,nan
2025-01-19T13:23:50.992287,-0.229,0.037,-0.604,0.763,0.633,-0.44,-0.457,0.445,2.8393096923828125,nan
2025-01-19T13:23:50.994607,-0.215,0.053,-0.61,0.761,0.642,-0.442,-0.427,0.459,3.2430038452148438,nan
2025-01-19T13:23:50.997287,-0.205,0.086,-0.607,0.763,0.638,-0.442,-0.406,0.484,3.736114501953125,nan
2025-01-19T13:23:50.999547,-0.212,0.108,-0.605,0.76,0.632,-0.432,-0.405,0.5,3.9609527587890625,nan
2025-01-19T13:23:51.002201,-0.215,0.127,-0.6,0.76,0.625,-0.428,-0.407,0.511,4.1730194091796875,nan
2025-01-19T13:23:51.004473,-0.223,0.139,-0.595,0.76,0.619,-0.428,-0.412,0.514,4.101478576660156,nan
2025-01-19T13:23:51.007064,-0.232,0.151,-0.584,0.763,0.61,-0.432,-0.417,0.517,3.5853729248046875,nan
2025-01-19T13:23:51.009333,-0.253,0.163,-0.575,0.761,0.601,-0.432,-0.421,0.524,3.1816787719726562,nan
2025-01-19T13:23:51.011989,-0.257,0.167,-0.571,0.761,0.603,-0.436,-0.418,0.522,2.8776321411132812,nan
2025-01-19T13:23:51.014236,-0.258,0.167,-0.569,0.762,0.609,-0.438,-0.414,0.516,2.73455810546875,nan
2025-01-19T13:23:51.016863,-0.258,0.167,-0.567,0.764,0.617,-0.445,-0.399,0.512,2.51226806640625,nan
2025-01-19T13:23:51.019109,-0.255,0.164,-0.562,0.77,0.624,-0.447,-0.39,0.509,2.3436431884765625,nan
2025-01-19T13:23:51.021664,-0.257,0.161,-0.561,0.77,0.632,-0.449,-0.384,0.502,2.1136932373046875,nan
2025-01-19T13:23:51.023860,-0.258,0.162,-0.56,0.771,0.637,-0.453,-0.378,0.496,1.96038818359375,nan
2025-01-19T13:23:51.026314,-0.255,0.156,-0.559,0.773,0.647,-0.457,-0.367,0.487,1.66656494140625,nan
2025-01-19T13:23:51.028481,-0.249,0.151,-0.559,0.777,0.656,-0.462,-0.354,0.48,1.59246826171875,nan
2025-01-19T13:23:51.030958,-0.244,0.15,-0.557,0.78,0.661,-0.468,-0.341,0.476,1.8811874389648438,nan
2025-01-19T13:23:51.033223,-0.242,0.151,-0.556,0.781,0.666,-0.472,-0.332,0.472,2.2721023559570312,nan
2025-01-19T13:23:51.035738,-0.242,0.151,-0.557,0.78,0.671,-0.473,-0.327,0.468,2.4713897705078125,nan
2025-01-19T13:23:51.037896,-0.242,0.15,-0.558,0.779,0.676,-0.475,-0.322,0.463,2.2031173706054688,nan
2025-01-19T13:23:51.040354,-0.242,0.149,-0.56,0.778,0.68,-0.476,-0.318,0.458,1.6410140991210938,nan
2025-01-19T13:23:51.042507,-0.241,0.149,-0.561,0.777,0.685,-0.478,-0.313,0.452,1.3804092407226562,nan
2025-01-19T13:23:51.044969,-0.243,0.143,-0.564,0.776,0.693,-0.479,-0.312,0.439,1.4519424438476562,nan
2025-01-19T13:23:51.047119,-0.246,0.137,-0.566,0.775,0.699,-0.48,-0.31,0.43,1.6180191040039062,nan
2025-01-19T13:23:51.049574,-0.246,0.138,-0.565,0.775,0.702,-0.482,-0.307,0.425,1.6103591918945312,nan
2025-01-19T13:23:51.051734,-0.246,0.139,-0.565,0.775,0.705,-0.484,-0.303,0.419,1.4519424438476562,nan
2025-01-19T13:23:51.054184,-0.247,0.139,-0.565,0.775,0.709,-0.487,-0.299,0.414,1.4493942260742188,nan
2025-01-19T13:23:51.056373,-0.248,0.138,-0.565,0.775,0.712,-0.489,-0.296,0.409,1.6537933349609375,nan
2025-01-19T13:23:51.058829,-0.249,0.139,-0.564,0.775,0.715,-0.491,-0.292,0.404,1.85052490234375,nan
2025-01-19T13:23:51.061018,-0.25,0.139,-0.564,0.774,0.718,-0.494,-0.287,0.398,1.9680557250976562,nan
2025-01-19T13:23:51.063492,-0.251,0.14,-0.564,0.774,0.721,-0.497,-0.281,0.393,2.3359756469726562,nan
2025-01-19T13:23:51.088209,-0.253,0.142,-0.563,0.774,0.724,-0.499,-0.276,0.388,2.4049606323242188,nan
2025-01-19T13:23:51.184509,-0.254,0.142,-0.563,0.774,0.727,-0.501,-0.272,0.383,2.3615264892578125,nan
2025-01-19T13:23:51.280116,-0.255,0.143,-0.563,0.773,0.729,-0.503,-0.268,0.378,2.4867172241210938,nan
2025-01-19T13:23:51.376398,-0.255,0.143,-0.563,0.772,0.732,-0.506,-0.264,0.373,2.5889205932617188,nan
2025-01-19T13:23:51.472042,-0.256,0.144,-0.563,0.772,0.734,-0.508,-0.26,0.368,2.5633697509765625,nan
2025-01-19T13:23:51.568393,-0.257,0.146,-0.563,0.772,0.736,-0.511,-0.255,0.364,2.6374664306640625,nan
2025-01-19T13:23:51.664006,-0.258,0.147,-0.562,0.772,0.737,-0.515,-0.247,0.36,2.8571929931640625,nan
2025-01-19T13:23:51.774542,-0.257,0.151,-0.559,0.773,0.739,-0.519,-0.24,0.356,3.3937454223632812,nan
2025-01-19T13:23:51.871914,-0.257,0.153,-0.559,0.773,0.741,-0.522,-0.236,0.351,3.7948837280273438,nan
2025-01-19T13:23:51.968265,-0.257,0.153,-0.56,0.773,0.743,-0.525,-0.231,0.346,4.2982177734375,nan
2025-01-19T13:23:52.063818,-0.258,0.154,-0.56,0.772,0.744,-0.528,-0.225,0.342,4.53582763671875,nan
2025-01-19T13:23:52.160063,-0.258,0.155,-0.559,0.772,0.746,-0.531,-0.219,0.337,4.9088592529296875,nan
2025-01-19T13:23:52.255791,-0.259,0.156,-0.559,0.772,0.748,-0.533,-0.214,0.333,5.220573425292969,nan
2025-01-19T13:23:52.352009,-0.259,0.156,-0.559,0.772,0.75,-0.536,-0.208,0.328,5.565498352050781,nan
2025-01-19T13:23:52.447606,-0.259,0.156,-0.559,0.772,0.751,-0.539,-0.203,0.323,6.204246520996094,nan
2025-01-19T13:23:52.543926,-0.26,0.156,-0.559,0.772,0.753,-0.541,-0.198,0.318,6.733131408691406,nan
2025-01-19T13:23:52.653854,-0.26,0.156,-0.56,0.771,0.754,-0.544,-0.193,0.314,7.624824523925781,nan
2025-01-19T13:23:52.751929,-0.261,0.156,-0.56,0.771,0.755,-0.547,-0.188,0.309,8.217582702636719,nan
2025-01-19T13:23:52.847463,-0.261,0.156,-0.561,0.77,0.757,-0.549,-0.183,0.304,8.958534240722656,nan
2025-01-19T13:23:52.943864,-0.262,0.156,-0.56,0.77,0.758,-0.551,-0.179,0.298,9.415878295898438,nan
2025-01-19T13:23:53.039401,-0.263,0.156,-0.561,0.77,0.76,-0.553,-0.175,0.293,9.622833251953125,nan
2025-01-19T13:23:53.135742,-0.263,0.156,-0.561,0.769,0.761,-0.556,-0.171,0.287,9.824684143066406,nan
2025-01-19T13:23:53.231341,-0.264,0.155,-0.562,0.769,0.763,-0.557,-0.167,0.282,9.898773193359375,nan
2025-01-19T13:23:53.327583,-0.264,0.156,-0.562,0.768,0.765,-0.559,-0.162,0.276,9.911552429199219,nan
2025-01-19T13:23:53.455228,-0.264,0.156,-0.562,0.768,0.766,-0.562,-0.157,0.27,9.599838256835938,nan
2025-01-19T13:23:53.551492,-0.264,0.154,-0.563,0.768,0.767,-0.564,-0.153,0.264,9.068397521972656,nan
2025-01-19T13:23:53.647143,-0.266,0.149,-0.564,0.767,0.769,-0.566,-0.149,0.259,7.7065887451171875,nan
2025-01-19T13:23:53.743422,-0.267,0.15,-0.564,0.767,0.77,-0.568,-0.145,0.253,6.595161437988281,nan
2025-01-19T13:23:53.839075,-0.267,0.151,-0.564,0.767,0.771,-0.57,-0.141,0.248,5.210350036621094,nan
2025-01-19T13:23:53.935437,-0.268,0.152,-0.563,0.767,0.772,-0.572,-0.137,0.242,4.655914306640625,nan
2025-01-19T13:23:54.031031,-0.269,0.152,-0.563,0.766,0.772,-0.574,-0.133,0.237,4.2931060791015625,nan
2025-01-19T13:23:54.127263,-0.27,0.153,-0.563,0.766,0.773,-0.576,-0.128,0.232,4.2011260986328125,nan
2025-01-19T13:23:54.236986,-0.271,0.153,-0.562,0.766,0.774,-0.578,-0.124,0.226,3.9992828369140625,nan
2025-01-19T13:23:54.335226,-0.273,0.154,-0.561,0.766,0.775,-0.579,-0.12,0.221,3.8178787231445312,nan
