Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-01-09T07:34:36.531072,-0.391,0.532,0.475,-0.582,0.769,0.631,0.076,-0.073,0.3737335205078125,nan
2025-01-09T07:34:36.534132,-0.389,0.531,0.476,-0.583,0.769,0.631,0.077,-0.073,0.2817535400390625,nan
2025-01-09T07:34:36.536713,-0.387,0.53,0.478,-0.585,0.769,0.631,0.076,-0.074,0.18466949462890625,nan
2025-01-09T07:34:36.539665,-0.385,0.528,0.479,-0.586,0.768,0.632,0.077,-0.072,0.0977935791015625,nan
2025-01-09T07:34:36.542426,-0.383,0.527,0.481,-0.587,0.768,0.632,0.076,-0.073,0.04669952392578125,nan
2025-01-09T07:34:36.545641,-0.381,0.526,0.482,-0.589,0.767,0.633,0.076,-0.072,0.0518035888671875,nan
2025-01-09T07:34:36.548127,-0.379,0.524,0.483,-0.59,0.768,0.632,0.078,-0.071,0.0799102783203125,nan
2025-01-09T07:34:36.551004,-0.377,0.523,0.485,-0.591,0.767,0.632,0.077,-0.072,0.05435943603515625,nan
2025-01-09T07:34:36.553441,-0.374,0.522,0.486,-0.593,0.767,0.632,0.079,-0.071,-0.0069580078125,nan
2025-01-09T07:34:36.556293,-0.372,0.521,0.487,-0.595,0.769,0.63,0.079,-0.072,0.0160369873046875,nan
2025-01-09T07:34:36.559069,-0.371,0.521,0.486,-0.595,0.771,0.628,0.081,-0.073,0.1259002685546875,nan
2025-01-09T07:34:36.562530,-0.369,0.52,0.486,-0.598,0.771,0.628,0.078,-0.071,0.17955780029296875,nan
2025-01-09T07:34:36.565056,-0.365,0.518,0.488,-0.6,0.78,0.617,0.074,-0.07,0.21021270751953125,nan
2025-01-09T07:34:36.567857,-0.365,0.507,0.494,-0.605,0.773,0.627,0.076,-0.063,0.222991943359375,nan
2025-01-09T07:34:36.570236,-0.372,0.491,0.498,-0.611,0.765,0.636,0.075,-0.063,0.2127685546875,nan
