Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-27T08:32:22.978624,0.223,-0.264,0.631,-0.695,0.115,0.054,-0.77,0.625,1.0201492309570312,nan
2025-03-27T08:32:23.075078,0.228,-0.267,0.631,-0.692,0.118,0.052,-0.771,0.624,0.9537200927734375,nan
2025-03-27T08:32:23.170468,0.231,-0.27,0.631,-0.69,0.12,0.05,-0.77,0.624,0.8924026489257812,nan
2025-03-27T08:32:23.266775,0.234,-0.275,0.63,-0.687,0.122,0.047,-0.77,0.624,0.8361892700195312,nan
2025-03-27T08:32:23.362399,0.237,-0.277,0.631,-0.685,0.125,0.045,-0.77,0.623,0.8259735107421875,nan
2025-03-27T08:32:23.474122,0.24,-0.278,0.632,-0.683,0.127,0.043,-0.77,0.623,0.802978515625,nan
2025-03-27T08:32:23.570339,0.242,-0.28,0.633,-0.68,0.129,0.041,-0.77,0.624,0.7339935302734375,nan
2025-03-27T08:32:23.666576,0.245,-0.281,0.633,-0.678,0.131,0.039,-0.769,0.624,0.5806884765625,nan
2025-03-27T08:32:23.762211,0.248,-0.283,0.633,-0.676,0.133,0.036,-0.77,0.623,0.4657135009765625,nan
2025-03-27T08:32:23.858518,0.254,-0.281,0.635,-0.673,0.136,0.034,-0.769,0.623,0.2459869384765625,nan
2025-03-27T08:32:23.954155,0.256,-0.283,0.636,-0.671,0.138,0.032,-0.769,0.623,0.11057281494140625,nan
2025-03-27T08:32:24.050428,0.259,-0.286,0.635,-0.669,0.139,0.029,-0.768,0.624,-0.0938262939453125,nan
2025-03-27T08:32:24.146016,0.262,-0.29,0.634,-0.667,0.14,0.028,-0.767,0.625,-0.22669219970703125,nan
2025-03-27T08:32:24.242324,0.264,-0.293,0.634,-0.665,0.141,0.026,-0.766,0.626,-0.328887939453125,nan
2025-03-27T08:32:24.338011,0.266,-0.296,0.633,-0.664,0.142,0.024,-0.766,0.627,-0.3058929443359375,nan
2025-03-27T08:32:24.434249,0.268,-0.298,0.634,-0.662,0.144,0.022,-0.765,0.627,-0.162811279296875,nan
