Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-20T09:29:33.758957,0.327,-0.296,-0.619,0.65,0.116,-0.017,-0.65,0.751,3.7616653442382812,nan
2025-02-20T09:29:33.761778,0.343,-0.289,-0.618,0.646,0.125,-0.032,-0.643,0.755,4.070823669433594,nan
2025-02-20T09:29:33.763992,0.35,-0.292,-0.612,0.647,0.119,-0.038,-0.644,0.755,4.303321838378906,nan
2025-02-20T09:29:33.766515,0.357,-0.283,-0.615,0.644,0.121,-0.043,-0.64,0.758,4.553718566894531,nan
2025-02-20T09:29:33.769582,0.347,-0.274,-0.616,0.653,0.114,-0.037,-0.639,0.76,4.64825439453125,nan
2025-02-20T09:29:33.865868,0.338,-0.266,-0.617,0.66,0.115,-0.038,-0.639,0.76,4.433631896972656,nan
2025-02-20T09:29:33.977476,0.329,-0.259,-0.616,0.667,0.113,-0.037,-0.639,0.76,3.8817520141601562,nan
2025-02-20T09:29:34.073804,0.321,-0.252,-0.616,0.674,0.115,-0.04,-0.638,0.761,3.2251129150390625,nan
2025-02-20T09:29:34.169546,0.313,-0.246,-0.615,0.68,0.113,-0.038,-0.638,0.761,3.0999221801757812,nan
2025-02-20T09:29:34.265746,0.305,-0.24,-0.615,0.686,0.112,-0.036,-0.638,0.761,2.8214263916015625,nan
2025-02-20T09:29:34.361292,0.298,-0.234,-0.616,0.691,0.11,-0.035,-0.638,0.762,2.5786972045898438,nan
2025-02-20T09:29:34.457581,0.29,-0.228,-0.617,0.695,0.109,-0.033,-0.637,0.762,2.3487472534179688,nan
2025-02-20T09:29:34.553213,0.282,-0.223,-0.617,0.7,0.108,-0.032,-0.637,0.763,2.21844482421875,nan
2025-02-20T09:29:34.649515,0.276,-0.218,-0.617,0.704,0.107,-0.03,-0.636,0.764,1.9936065673828125,nan
2025-02-20T09:29:34.745139,0.269,-0.213,-0.618,0.707,0.106,-0.028,-0.635,0.765,1.8658523559570312,nan
2025-02-20T09:29:34.841416,0.262,-0.209,-0.618,0.711,0.105,-0.027,-0.634,0.766,1.6895599365234375,nan
2025-02-20T09:29:34.937094,0.251,-0.206,-0.618,0.716,0.104,-0.026,-0.634,0.766,1.5771408081054688,nan
2025-02-20T09:29:35.049412,0.244,-0.201,-0.619,0.719,0.102,-0.025,-0.634,0.766,1.3829574584960938,nan
2025-02-20T09:29:35.145022,0.235,-0.197,-0.62,0.722,0.101,-0.023,-0.634,0.766,1.22454833984375,nan
2025-02-20T09:29:35.241274,0.229,-0.192,-0.622,0.724,0.1,-0.022,-0.635,0.766,0.994598388671875,nan
2025-02-20T09:29:35.336915,0.221,-0.187,-0.625,0.725,0.098,-0.02,-0.635,0.766,0.8515243530273438,nan
2025-02-20T09:29:35.433195,0.214,-0.182,-0.629,0.725,0.097,-0.019,-0.635,0.766,0.810638427734375,nan
2025-02-20T09:29:35.528832,0.206,-0.176,-0.632,0.726,0.096,-0.018,-0.636,0.766,0.8259735107421875,nan
2025-02-20T09:29:35.625081,0.199,-0.172,-0.635,0.726,0.094,-0.017,-0.636,0.766,0.8336334228515625,nan
2025-02-20T09:29:35.720754,0.192,-0.167,-0.639,0.726,0.093,-0.015,-0.636,0.766,0.9997100830078125,nan
2025-02-20T09:29:35.849044,0.184,-0.161,-0.642,0.727,0.092,-0.014,-0.637,0.766,0.9843826293945312,nan
2025-02-20T09:29:35.944625,0.178,-0.157,-0.644,0.727,0.09,-0.013,-0.637,0.765,0.665008544921875,nan
2025-02-20T09:29:36.040952,0.172,-0.153,-0.646,0.727,0.089,-0.012,-0.637,0.765,0.36351776123046875,nan
2025-02-20T09:29:36.136565,0.168,-0.148,-0.649,0.727,0.088,-0.01,-0.638,0.765,0.3609619140625,nan
2025-02-20T09:29:36.232816,0.163,-0.143,-0.651,0.728,0.087,-0.009,-0.638,0.765,0.37628936767578125,nan
2025-02-20T09:29:36.328473,0.158,-0.138,-0.652,0.728,0.086,-0.008,-0.638,0.765,0.3098602294921875,nan
2025-02-20T09:29:36.424758,0.16,-0.133,-0.652,0.729,0.087,-0.009,-0.638,0.765,0.11568450927734375,nan
2025-02-20T09:29:36.520376,0.157,-0.13,-0.652,0.73,0.086,-0.008,-0.638,0.765,0.0160369873046875,nan
2025-02-20T09:29:36.616672,0.154,-0.126,-0.653,0.731,0.086,-0.007,-0.638,0.765,-0.01973724365234375,nan
2025-02-20T09:29:36.728291,0.151,-0.123,-0.654,0.731,0.085,-0.006,-0.638,0.766,0.03647613525390625,nan
2025-02-20T09:29:36.824542,0.148,-0.119,-0.655,0.732,0.084,-0.005,-0.638,0.766,0.12078857421875,nan
2025-02-20T09:29:36.920251,0.145,-0.117,-0.655,0.732,0.083,-0.004,-0.637,0.766,0.00325775146484375,nan
2025-02-20T09:29:37.016462,0.143,-0.114,-0.655,0.733,0.082,-0.004,-0.636,0.767,-0.04273223876953125,nan
2025-02-20T09:29:37.112098,0.141,-0.112,-0.656,0.733,0.081,-0.003,-0.636,0.767,0.2510986328125,nan
2025-02-20T09:29:37.208406,0.139,-0.111,-0.656,0.734,0.08,-0.003,-0.635,0.768,0.7518768310546875,nan
2025-02-20T09:29:37.303985,0.137,-0.108,-0.656,0.734,0.08,-0.002,-0.635,0.769,0.8157501220703125,nan
2025-02-20T09:29:37.400298,0.134,-0.106,-0.657,0.734,0.079,-0.001,-0.634,0.769,0.516815185546875,nan
2025-02-20T09:29:37.495897,0.133,-0.11,-0.656,0.734,0.078,-0.001,-0.634,0.769,0.2638702392578125,nan
