Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-20T09:10:52.466362,-0.284,0.233,0.633,-0.681,0.621,-0.654,-0.324,0.286,0.6011276245117188,nan
2025-02-20T09:10:52.469239,-0.284,0.229,0.637,-0.679,0.624,-0.663,-0.312,0.272,0.5398101806640625,nan
2025-02-20T09:10:52.471478,-0.278,0.224,0.639,-0.681,0.627,-0.668,-0.304,0.262,0.5142593383789062,nan
2025-02-20T09:10:52.474005,-0.271,0.218,0.643,-0.682,0.629,-0.672,-0.296,0.253,0.4120635986328125,nan
2025-02-20T09:10:52.476224,-0.273,0.211,0.645,-0.682,0.633,-0.677,-0.287,0.243,0.37884521484375,nan
2025-02-20T09:10:52.564688,-0.273,0.207,0.645,-0.683,0.64,-0.681,-0.272,0.23,0.33029937744140625,nan
2025-02-20T09:10:52.660276,-0.274,0.202,0.645,-0.684,0.644,-0.684,-0.263,0.22,0.28430938720703125,nan
2025-02-20T09:10:52.756560,-0.269,0.198,0.646,-0.686,0.648,-0.687,-0.255,0.21,0.37884521484375,nan
2025-02-20T09:10:52.852195,-0.263,0.193,0.647,-0.689,0.651,-0.688,-0.248,0.202,0.34052276611328125,nan
2025-02-20T09:10:52.948502,-0.257,0.188,0.649,-0.691,0.654,-0.69,-0.241,0.194,0.1437835693359375,nan
2025-02-20T09:10:53.044134,-0.251,0.184,0.65,-0.694,0.658,-0.691,-0.233,0.186,0.08757781982421875,nan
2025-02-20T09:10:53.154530,-0.246,0.179,0.651,-0.696,0.662,-0.693,-0.226,0.178,-0.035064697265625,nan
2025-02-20T09:10:53.251942,-0.24,0.175,0.652,-0.698,0.665,-0.694,-0.219,0.17,-0.14237213134765625,nan
2025-02-20T09:10:53.348296,-0.236,0.172,0.652,-0.7,0.668,-0.695,-0.211,0.161,-0.25734710693359375,nan
