Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-22T08:23:48.234565,0.557,0.471,-0.501,0.465,0.524,0.486,-0.479,0.51,-4.0770721435546875,nan
2025-02-22T08:23:48.235549,0.557,0.471,-0.501,0.465,0.524,0.486,-0.479,0.51,-4.074516296386719,nan
2025-02-22T08:23:48.236317,0.557,0.472,-0.501,0.465,0.524,0.485,-0.479,0.51,-4.07196044921875,nan
2025-02-22T08:23:48.263942,0.557,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.07196044921875,nan
2025-02-22T08:23:48.375759,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.074516296386719,nan
2025-02-22T08:23:48.471880,0.557,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.079627990722656,nan
2025-02-22T08:23:48.567751,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.082183837890625,nan
2025-02-22T08:23:48.663904,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.084739685058594,nan
2025-02-22T08:23:48.759677,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.082183837890625,nan
2025-02-22T08:23:48.855775,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.0770721435546875,nan
2025-02-22T08:23:48.951638,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.509,-4.0770721435546875,nan
2025-02-22T08:23:49.047725,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.079627990722656,nan
2025-02-22T08:23:49.143611,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.0770721435546875,nan
2025-02-22T08:23:49.255701,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.509,-4.074516296386719,nan
2025-02-22T08:23:49.351567,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.509,-4.07196044921875,nan
2025-02-22T08:23:49.447664,0.556,0.472,-0.501,0.466,0.524,0.485,-0.48,0.51,-4.0770721435546875,nan
2025-02-22T08:23:49.543522,0.556,0.472,-0.501,0.466,0.523,0.485,-0.48,0.51,-4.079627990722656,nan
2025-02-22T08:23:49.639611,0.556,0.472,-0.501,0.466,0.523,0.485,-0.48,0.51,-4.082183837890625,nan
2025-02-22T08:23:49.735482,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.079627990722656,nan
2025-02-22T08:23:49.831583,0.556,0.472,-0.501,0.466,0.523,0.486,-0.479,0.51,-4.074516296386719,nan
2025-02-22T08:23:49.927441,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.0770721435546875,nan
2025-02-22T08:23:50.023559,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.079627990722656,nan
2025-02-22T08:23:50.135090,0.556,0.473,-0.501,0.466,0.523,0.486,-0.479,0.51,-4.074516296386719,nan
2025-02-22T08:23:50.231518,0.556,0.473,-0.501,0.466,0.523,0.485,-0.48,0.51,-4.066856384277344,nan
2025-02-22T08:23:50.327370,0.556,0.472,-0.501,0.466,0.523,0.486,-0.48,0.51,-4.066856384277344,nan
2025-02-22T08:23:50.423455,0.556,0.472,-0.501,0.466,0.524,0.487,-0.479,0.509,-4.07196044921875,nan
2025-02-22T08:23:50.519323,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.074516296386719,nan
2025-02-22T08:23:50.631420,0.556,0.472,-0.501,0.466,0.524,0.487,-0.479,0.509,-4.074516296386719,nan
2025-02-22T08:23:50.727327,0.556,0.472,-0.501,0.466,0.524,0.487,-0.479,0.509,-4.074516296386719,nan
2025-02-22T08:23:50.823409,0.556,0.472,-0.501,0.466,0.524,0.487,-0.479,0.509,-4.079627990722656,nan
2025-02-22T08:23:50.935271,0.556,0.472,-0.501,0.466,0.524,0.487,-0.479,0.509,-4.084739685058594,nan
2025-02-22T08:23:51.031369,0.556,0.472,-0.501,0.466,0.524,0.487,-0.479,0.509,-4.082183837890625,nan
2025-02-22T08:23:51.127263,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.509,-4.079627990722656,nan
2025-02-22T08:23:51.223403,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.51,-4.074516296386719,nan
2025-02-22T08:23:51.319186,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.509,-4.0770721435546875,nan
2025-02-22T08:23:51.415290,0.556,0.472,-0.501,0.466,0.524,0.486,-0.479,0.509,-4.079627990722656,nan
2025-02-22T08:23:51.511167,0.556,0.472,-0.501,0.466,0.524,0.486,-0.48,0.51,-4.0770721435546875,nan
2025-02-22T08:23:51.607295,0.556,0.472,-0.501,0.466,0.524,0.486,-0.48,0.51,-4.0770721435546875,nan
2025-02-22T08:23:51.703189,0.556,0.472,-0.501,0.466,0.524,0.486,-0.48,0.51,-4.0770721435546875,nan
