Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-22T11:08:57.066600,0.661,-0.234,-0.671,-0.243,0.214,0.665,-0.218,0.682,-3.985092163,nan
2025-02-22T11:08:57.067562,0.661,-0.234,-0.67,-0.243,0.215,0.665,-0.218,0.681,-3.985092163,nan
2025-02-22T11:08:57.068291,0.661,-0.234,-0.671,-0.243,0.215,0.665,-0.218,0.681,-3.990203857,nan
2025-02-22T11:08:57.110287,0.66,-0.234,-0.671,-0.243,0.215,0.665,-0.217,0.681,-3.992759705,nan
2025-02-22T11:08:57.206072,0.66,-0.234,-0.671,-0.243,0.215,0.665,-0.217,0.681,-3.977432251,nan
2025-02-22T11:08:57.302136,0.66,-0.234,-0.671,-0.243,0.215,0.665,-0.217,0.681,-3.972320557,nan
2025-02-22T11:08:57.397998,0.66,-0.234,-0.671,-0.243,0.215,0.665,-0.217,0.682,-3.98764801,nan
2025-02-22T11:08:57.494115,0.66,-0.234,-0.671,-0.244,0.215,0.665,-0.218,0.681,-3.98764801,nan
2025-02-22T11:08:57.605819,0.66,-0.234,-0.671,-0.244,0.216,0.665,-0.218,0.681,-3.985092163,nan
2025-02-22T11:08:57.702959,0.66,-0.234,-0.671,-0.244,0.216,0.665,-0.219,0.681,-3.98764801,nan
2025-02-22T11:08:57.798019,0.66,-0.234,-0.671,-0.243,0.216,0.665,-0.219,0.681,-3.990203857,nan
2025-02-22T11:08:57.894227,0.66,-0.234,-0.671,-0.243,0.216,0.665,-0.219,0.681,-3.98764801,nan
2025-02-22T11:08:57.989999,0.66,-0.234,-0.671,-0.243,0.216,0.665,-0.219,0.681,-3.98764801,nan
2025-02-22T11:08:58.086178,0.66,-0.234,-0.671,-0.243,0.217,0.665,-0.22,0.68,-3.990203857,nan
2025-02-22T11:08:58.181988,0.66,-0.234,-0.671,-0.243,0.217,0.665,-0.221,0.68,-3.990203857,nan
2025-02-22T11:08:58.278296,0.66,-0.234,-0.671,-0.244,0.217,0.664,-0.221,0.68,-3.98764801,nan
2025-02-22T11:08:58.374127,0.66,-0.234,-0.671,-0.243,0.217,0.664,-0.222,0.68,-3.990203857,nan
2025-02-22T11:08:58.470109,0.66,-0.234,-0.671,-0.243,0.218,0.664,-0.221,0.68,-3.990203857,nan
2025-02-22T11:08:58.581928,0.66,-0.234,-0.671,-0.243,0.218,0.664,-0.222,0.68,-3.990203857,nan
2025-02-22T11:08:58.678049,0.66,-0.234,-0.671,-0.243,0.218,0.664,-0.221,0.68,-3.98764801,nan
2025-02-22T11:08:58.773764,0.66,-0.234,-0.671,-0.243,0.218,0.665,-0.22,0.68,-3.985092163,nan
2025-02-22T11:08:58.869844,0.66,-0.234,-0.671,-0.243,0.218,0.665,-0.219,0.68,-3.98764801,nan
2025-02-22T11:08:58.965775,0.66,-0.234,-0.671,-0.244,0.218,0.665,-0.219,0.68,-3.990203857,nan
2025-02-22T11:08:59.061885,0.66,-0.234,-0.671,-0.244,0.217,0.664,-0.22,0.68,-3.990203857,nan
2025-02-22T11:08:59.157708,0.66,-0.234,-0.671,-0.244,0.217,0.665,-0.219,0.68,-3.990203857,nan
2025-02-22T11:08:59.253812,0.66,-0.234,-0.671,-0.244,0.217,0.665,-0.22,0.68,-3.992759705,nan
2025-02-22T11:08:59.349715,0.661,-0.234,-0.671,-0.244,0.217,0.664,-0.22,0.68,-3.992759705,nan
2025-02-22T11:08:59.461777,0.66,-0.234,-0.671,-0.244,0.217,0.664,-0.22,0.681,-3.990203857,nan
2025-02-22T11:08:59.557618,0.66,-0.234,-0.671,-0.244,0.217,0.664,-0.22,0.681,-3.990203857,nan
2025-02-22T11:08:59.653749,0.66,-0.234,-0.671,-0.244,0.218,0.664,-0.221,0.68,-3.995315552,nan
2025-02-22T11:08:59.749602,0.66,-0.234,-0.671,-0.244,0.218,0.664,-0.223,0.68,-3.992759705,nan
2025-02-22T11:08:59.845705,0.66,-0.234,-0.671,-0.244,0.218,0.664,-0.223,0.68,-3.990203857,nan
2025-02-22T11:08:59.941585,0.66,-0.234,-0.671,-0.244,0.218,0.664,-0.223,0.68,-3.990203857,nan
2025-02-22T11:09:00.037727,0.66,-0.234,-0.671,-0.244,0.218,0.663,-0.223,0.68,-3.990203857,nan
2025-02-22T11:09:00.133551,0.66,-0.234,-0.671,-0.244,0.218,0.664,-0.222,0.68,-3.990203857,nan
2025-02-22T11:09:00.229676,0.66,-0.234,-0.671,-0.244,0.218,0.664,-0.222,0.68,-3.98764801,nan
2025-02-22T11:09:00.341157,0.66,-0.234,-0.671,-0.244,0.219,0.664,-0.222,0.68,-3.98764801,nan
2025-02-22T11:09:00.437753,0.661,-0.234,-0.671,-0.244,0.219,0.664,-0.222,0.68,-3.990203857,nan
2025-02-22T11:09:00.549517,0.661,-0.234,-0.671,-0.244,0.219,0.664,-0.223,0.68,-3.990203857,nan
2025-02-22T11:09:00.645625,0.661,-0.234,-0.67,-0.244,0.219,0.664,-0.223,0.679,-3.990203857,nan
2025-02-22T11:09:00.741480,0.661,-0.234,-0.671,-0.244,0.22,0.664,-0.223,0.679,-3.992759705,nan
