Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-23T09:04:24.761006,0.707,-0.423,-0.491,0.283,-0.373,0.453,-0.392,0.708,1.2679824829101562,nan
2025-02-23T09:04:24.763788,0.7,-0.432,-0.488,0.291,-0.366,0.442,-0.399,0.715,1.1530075073242188,nan
2025-02-23T09:04:24.766082,0.692,-0.443,-0.485,0.301,-0.365,0.44,-0.404,0.714,1.4212875366210938,nan
2025-02-23T09:04:24.768666,0.691,-0.437,-0.49,0.302,-0.364,0.448,-0.408,0.707,2.3487472534179688,nan
2025-02-23T09:04:24.805805,0.688,-0.43,-0.495,0.311,-0.369,0.452,-0.411,0.701,3.4908370971679688,nan
2025-02-23T09:04:24.902114,0.693,-0.412,-0.509,0.3,-0.363,0.454,-0.409,0.704,3.0794830322265625,nan
2025-02-23T09:04:24.997672,0.694,-0.409,-0.506,0.308,-0.367,0.446,-0.41,0.706,2.2618789672851562,nan
2025-02-23T09:04:25.093940,0.689,-0.414,-0.501,0.322,-0.377,0.434,-0.419,0.703,2.3768539428710938,nan
2025-02-23T09:04:25.189586,0.671,-0.431,-0.491,0.351,-0.378,0.429,-0.423,0.703,2.8878555297851562,nan
2025-02-23T09:04:25.285925,0.662,-0.438,-0.482,0.37,-0.377,0.424,-0.423,0.706,3.0488204956054688,nan
2025-02-23T09:04:25.395677,0.659,-0.436,-0.481,0.379,-0.376,0.414,-0.421,0.714,3.1254730224609375,nan
2025-02-23T09:04:25.493813,0.651,-0.434,-0.488,0.388,-0.372,0.412,-0.42,0.718,3.1893463134765625,nan
2025-02-23T09:04:25.589423,0.645,-0.429,-0.494,0.395,-0.366,0.411,-0.422,0.721,3.1229171752929688,nan
2025-02-23T09:04:25.685955,0.64,-0.423,-0.501,0.401,-0.361,0.411,-0.421,0.724,2.77032470703125,nan
2025-02-23T09:04:25.781373,0.635,-0.417,-0.506,0.408,-0.358,0.41,-0.421,0.726,1.85052490234375,nan
2025-02-23T09:04:25.877670,0.63,-0.412,-0.512,0.414,-0.355,0.409,-0.422,0.727,1.270538330078125,nan
2025-02-23T09:04:25.973284,0.625,-0.407,-0.518,0.419,-0.352,0.408,-0.423,0.729,0.682891845703125,nan
2025-02-23T09:04:26.069541,0.62,-0.402,-0.523,0.425,-0.349,0.407,-0.423,0.73,0.4938201904296875,nan
2025-02-23T09:04:26.165159,0.615,-0.397,-0.528,0.43,-0.346,0.406,-0.424,0.732,0.5858001708984375,nan
2025-02-23T09:04:26.261436,0.611,-0.392,-0.533,0.435,-0.343,0.406,-0.425,0.733,0.8080825805664062,nan
2025-02-23T09:04:26.373101,0.608,-0.385,-0.538,0.438,-0.34,0.406,-0.425,0.734,0.902618408203125,nan
2025-02-23T09:04:26.469357,0.608,-0.376,-0.544,0.439,-0.338,0.406,-0.427,0.734,0.7390975952148438,nan
2025-02-23T09:04:26.564989,0.605,-0.37,-0.549,0.443,-0.335,0.406,-0.428,0.735,0.5295944213867188,nan
2025-02-23T09:04:26.661337,0.601,-0.364,-0.553,0.446,-0.332,0.407,-0.429,0.735,0.48870849609375,nan
2025-02-23T09:04:26.756955,0.598,-0.359,-0.558,0.45,-0.329,0.407,-0.43,0.735,0.56280517578125,nan
2025-02-23T09:04:26.853261,0.595,-0.354,-0.562,0.454,-0.326,0.407,-0.431,0.736,0.7850875854492188,nan
2025-02-23T09:04:26.948814,0.591,-0.348,-0.566,0.457,-0.324,0.408,-0.433,0.736,1.3676300048828125,nan
2025-02-23T09:04:27.045115,0.589,-0.343,-0.57,0.46,-0.322,0.408,-0.434,0.736,1.7994232177734375,nan
2025-02-23T09:04:27.140713,0.586,-0.337,-0.573,0.463,-0.319,0.408,-0.435,0.736,2.3640823364257812,nan
2025-02-23T09:04:27.252663,0.583,-0.332,-0.577,0.466,-0.317,0.408,-0.436,0.737,2.4892730712890625,nan
2025-02-23T09:04:27.348685,0.58,-0.327,-0.58,0.469,-0.315,0.408,-0.437,0.737,2.2491073608398438,nan
2025-02-23T09:04:27.444915,0.578,-0.322,-0.584,0.471,-0.313,0.408,-0.438,0.737,2.10858154296875,nan
