Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-26T09:25:02.465318,-0.26,0.216,0.619,-0.709,0.632,-0.706,0.102,-0.303,0.19232940673828125,nan
2025-02-26T09:25:02.468299,-0.281,0.237,0.619,-0.694,0.622,-0.708,0.133,-0.308,0.19232940673828125,nan
2025-02-26T09:25:02.470690,-0.292,0.239,0.622,-0.686,0.63,-0.692,0.153,-0.317,0.1821136474609375,nan
2025-02-26T09:25:02.473407,-0.309,0.254,0.626,-0.67,0.629,-0.683,0.17,-0.33,0.1361236572265625,nan
2025-02-26T09:25:02.475729,-0.32,0.26,0.617,-0.67,0.627,-0.681,0.181,-0.332,0.0799102783203125,nan
2025-02-26T09:25:02.478338,-0.317,0.258,0.617,-0.672,0.631,-0.679,0.177,-0.332,-0.04273223876953125,nan
2025-02-26T09:25:02.480612,-0.311,0.257,0.613,-0.679,0.629,-0.683,0.167,-0.332,-0.10660552978515625,nan
2025-02-26T09:25:02.483290,-0.306,0.243,0.614,-0.686,0.626,-0.692,0.143,-0.329,-0.16025543212890625,nan
2025-02-26T09:25:02.485583,-0.271,0.219,0.621,-0.702,0.642,-0.692,0.096,-0.316,-0.20880126953125,nan
2025-02-26T09:25:02.488182,-0.231,0.174,0.632,-0.719,0.646,-0.705,0.057,-0.287,-0.328887939453125,nan
2025-02-26T09:25:02.490415,-0.233,0.155,0.628,-0.726,0.63,-0.728,0.067,-0.263,-0.49752044677734375,nan
2025-02-26T09:25:02.492952,-0.237,0.147,0.622,-0.732,0.621,-0.734,0.084,-0.263,-0.6176071166992188,nan
2025-02-26T09:25:02.495204,-0.259,0.15,0.621,-0.724,0.628,-0.718,0.101,-0.283,-0.5000762939453125,nan
2025-02-26T09:25:02.497730,-0.3,0.166,0.618,-0.707,0.619,-0.719,0.111,-0.298,-0.385101318359375,nan
2025-02-26T09:25:02.499923,-0.297,0.16,0.616,-0.711,0.615,-0.715,0.12,-0.309,-0.46685791015625,nan
2025-02-26T09:25:02.502390,-0.305,0.172,0.614,-0.707,0.614,-0.713,0.126,-0.315,-0.6712570190429688,nan
2025-02-26T09:25:02.504574,-0.307,0.168,0.613,-0.708,0.614,-0.713,0.124,-0.316,-0.7453536987304688,nan
2025-02-26T09:25:02.507100,-0.304,0.168,0.615,-0.707,0.614,-0.713,0.124,-0.316,-0.7657928466796875,nan
2025-02-26T09:25:02.509269,-0.306,0.167,0.615,-0.707,0.615,-0.712,0.123,-0.315,-0.76068115234375,nan
2025-02-26T09:25:02.511834,-0.307,0.167,0.615,-0.707,0.617,-0.711,0.123,-0.314,-0.7683486938476562,nan
