Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-26T09:09:00.471970,0.647,-0.611,-0.198,0.411,0.311,-0.541,0.455,-0.635,0.7416534423828125,nan
2025-02-26T09:09:00.474922,0.625,-0.59,-0.222,0.462,0.337,-0.56,0.429,-0.624,0.8310775756835938,nan
2025-02-26T09:09:00.477307,0.619,-0.571,-0.245,0.48,0.342,-0.578,0.445,-0.592,0.976715087890625,nan
2025-02-26T09:09:00.479967,0.619,-0.554,-0.257,0.493,0.347,-0.582,0.447,-0.583,0.8872909545898438,nan
2025-02-26T09:09:00.482216,0.614,-0.546,-0.262,0.506,0.346,-0.591,0.443,-0.578,0.792755126953125,nan
2025-02-26T09:09:00.484962,0.613,-0.549,-0.26,0.505,0.337,-0.598,0.441,-0.578,0.665008544921875,nan
2025-02-26T09:09:00.487317,0.612,-0.56,-0.247,0.502,0.333,-0.61,0.431,-0.575,0.534698486328125,nan
2025-02-26T09:09:00.490050,0.614,-0.578,-0.238,0.482,0.325,-0.616,0.438,-0.568,0.45294189453125,nan
2025-02-26T09:09:00.492714,0.607,-0.586,-0.234,0.483,0.343,-0.615,0.427,-0.567,0.46826934814453125,nan
2025-02-26T09:09:00.495325,0.609,-0.589,-0.243,0.472,0.352,-0.601,0.428,-0.576,0.5295944213867188,nan
2025-02-26T09:09:00.497486,0.611,-0.588,-0.255,0.464,0.349,-0.593,0.431,-0.584,0.626678466796875,nan
2025-02-26T09:09:00.500753,0.615,-0.587,-0.267,0.454,0.343,-0.586,0.437,-0.59,0.6675643920898438,nan
2025-02-26T09:09:00.503163,0.623,-0.585,-0.28,0.439,0.328,-0.586,0.448,-0.59,0.5065994262695312,nan
2025-02-26T09:09:00.505647,0.619,-0.577,-0.284,0.452,0.32,-0.615,0.434,-0.576,0.27919769287109375,nan
2025-02-26T09:09:00.507892,0.606,-0.552,-0.317,0.477,0.345,-0.624,0.425,-0.557,0.34052276611328125,nan
2025-02-26T09:09:00.510375,0.611,-0.546,-0.321,0.475,0.334,-0.639,0.45,-0.526,0.1437835693359375,nan
2025-02-26T09:09:00.513287,0.617,-0.544,-0.319,0.471,0.327,-0.641,0.457,-0.522,-0.23435211181640625,nan
2025-02-26T09:09:00.515850,0.619,-0.543,-0.321,0.467,0.327,-0.646,0.462,-0.512,-0.45919036865234375,nan
2025-02-26T09:09:00.518011,0.629,-0.539,-0.326,0.454,0.329,-0.648,0.462,-0.508,-0.40554046630859375,nan
2025-02-26T09:09:00.520509,0.632,-0.544,-0.322,0.448,0.324,-0.654,0.462,-0.505,-0.36721038818359375,nan
2025-02-26T09:09:00.522707,0.643,-0.546,-0.319,0.432,0.325,-0.658,0.472,-0.489,-0.4617462158203125,nan
2025-02-26T09:09:00.525281,0.642,-0.537,-0.328,0.439,0.347,-0.655,0.456,-0.492,-0.5997161865234375,nan
2025-02-26T09:09:00.527644,0.646,-0.53,-0.325,0.444,0.349,-0.664,0.452,-0.483,-0.6329345703125,nan
2025-02-26T09:09:00.530239,0.653,-0.522,-0.317,0.447,0.35,-0.67,0.447,-0.479,-0.643157958984375,nan
2025-02-26T09:09:00.532485,0.655,-0.515,-0.318,0.452,0.348,-0.676,0.44,-0.479,-0.6278228759765625,nan
2025-02-26T09:09:00.622256,0.64,-0.504,-0.323,0.481,0.344,-0.669,0.422,-0.506,-0.770904541015625,nan
2025-02-26T09:09:00.717804,0.629,-0.491,-0.317,0.513,0.357,-0.657,0.399,-0.531,-0.8296661376953125,nan
2025-02-26T09:09:00.814061,0.62,-0.469,-0.32,0.541,0.361,-0.657,0.407,-0.522,-0.5332870483398438,nan
2025-02-26T09:09:00.909727,0.623,-0.461,-0.313,0.549,0.359,-0.65,0.417,-0.525,-0.3621063232421875,nan
2025-02-26T09:09:01.006242,0.624,-0.453,-0.311,0.555,0.358,-0.652,0.415,-0.524,-0.41320037841796875,nan
2025-02-26T09:09:01.101616,0.622,-0.448,-0.312,0.562,0.357,-0.65,0.413,-0.529,-0.512847900390625,nan
2025-02-26T09:09:01.197940,0.609,-0.443,-0.312,0.579,0.355,-0.656,0.405,-0.528,-0.661041259765625,nan
2025-02-26T09:09:01.293505,0.603,-0.453,-0.3,0.584,0.345,-0.661,0.399,-0.534,-0.7785720825195312,nan
2025-02-26T09:09:01.389809,0.604,-0.457,-0.293,0.584,0.343,-0.665,0.41,-0.522,-0.9625320434570312,nan
2025-02-26T09:09:01.501399,0.606,-0.461,-0.29,0.58,0.353,-0.66,0.405,-0.525,-1.0723953247070312,nan
2025-02-26T09:09:01.597685,0.606,-0.457,-0.292,0.582,0.35,-0.667,0.412,-0.513,-1.103057861328125,nan
2025-02-26T09:09:01.693298,0.611,-0.453,-0.294,0.579,0.352,-0.665,0.419,-0.509,-1.0136260986328125,nan
2025-02-26T09:09:01.789598,0.609,-0.444,-0.3,0.585,0.348,-0.664,0.421,-0.511,-0.8322219848632812,nan
2025-02-26T09:09:01.885212,0.603,-0.431,-0.299,0.601,0.344,-0.669,0.407,-0.518,-0.806671142578125,nan
2025-02-26T09:09:01.981545,0.586,-0.405,-0.319,0.626,0.366,-0.668,0.398,-0.512,-0.8398895263671875,nan
2025-02-26T09:09:02.077402,0.584,-0.388,-0.328,0.633,0.358,-0.675,0.413,-0.496,-0.6993637084960938,nan
2025-02-26T09:09:02.173514,0.589,-0.386,-0.325,0.632,0.359,-0.667,0.418,-0.502,-0.59716796875,nan
2025-02-26T09:09:02.269035,0.592,-0.386,-0.328,0.627,0.359,-0.659,0.418,-0.512,-0.8220062255859375,nan
2025-02-26T09:09:02.365311,0.595,-0.389,-0.328,0.623,0.357,-0.654,0.412,-0.524,-1.05706787109375,nan
2025-02-26T09:09:02.476414,0.597,-0.401,-0.32,0.617,0.345,-0.662,0.405,-0.527,-0.9804153442382812,nan
2025-02-26T09:09:02.557203,0.591,-0.409,-0.32,0.617,0.335,-0.676,0.406,-0.516,-0.8117828369140625,nan
2025-02-26T09:09:02.668823,0.588,-0.419,-0.342,0.601,0.343,-0.663,0.409,-0.525,-0.8015670776367188,nan
2025-02-26T09:09:02.765127,0.582,-0.422,-0.364,0.592,0.341,-0.666,0.416,-0.517,-0.8041229248046875,nan
2025-02-26T09:09:02.860735,0.582,-0.422,-0.381,0.582,0.337,-0.664,0.423,-0.517,-0.6482620239257812,nan
2025-02-26T09:09:02.957124,0.576,-0.422,-0.4,0.575,0.333,-0.665,0.426,-0.515,-0.17559051513671875,nan
2025-02-26T09:09:03.052763,0.571,-0.414,-0.419,0.572,0.325,-0.668,0.427,-0.516,0.23320770263671875,nan
2025-02-26T09:09:03.148996,0.554,-0.407,-0.429,0.586,0.323,-0.684,0.408,-0.511,0.940948486328125,nan
2025-02-26T09:09:03.244643,0.532,-0.389,-0.455,0.6,0.348,-0.688,0.399,-0.496,1.4698333740234375,nan
2025-02-26T09:09:03.340898,0.516,-0.382,-0.463,0.611,0.342,-0.694,0.412,-0.481,2.1136932373046875,nan
2025-02-26T09:09:03.452538,0.515,-0.384,-0.469,0.606,0.348,-0.689,0.409,-0.488,2.4202880859375,nan
2025-02-26T09:09:03.548803,0.513,-0.385,-0.477,0.601,0.348,-0.682,0.409,-0.496,2.9006271362304688,nan
2025-02-26T09:09:03.644436,0.522,-0.388,-0.479,0.59,0.351,-0.676,0.404,-0.506,3.1765670776367188,nan
2025-02-26T09:09:03.755004,0.544,-0.401,-0.468,0.569,0.353,-0.671,0.399,-0.515,3.47039794921875,nan
2025-02-26T09:09:03.850797,0.569,-0.419,-0.458,0.539,0.355,-0.659,0.409,-0.522,3.6364669799804688,nan
2025-02-26T09:09:03.948658,0.601,-0.421,-0.451,0.507,0.365,-0.648,0.407,-0.531,3.7974319458007812,nan
2025-02-26T09:09:04.044310,0.627,-0.423,-0.437,0.487,0.375,-0.64,0.406,-0.533,3.8127670288085938,nan
