Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-26T09:49:50.059994,0.485,-0.477,-0.474,0.559,0.007,-0.321,0.585,-0.745,0.9562759399414062,nan
2025-02-26T09:49:50.063420,0.486,-0.468,-0.482,0.559,0.01,-0.322,0.59,-0.74,0.9435043334960938,nan
2025-02-26T09:49:50.066130,0.49,-0.446,-0.495,0.562,0.018,-0.335,0.596,-0.729,1.0022659301757812,nan
2025-02-26T09:49:50.069018,0.482,-0.416,-0.507,0.581,0.021,-0.358,0.594,-0.72,1.2475433349609375,nan
2025-02-26T09:49:50.071524,0.467,-0.399,-0.513,0.599,0.03,-0.4,0.588,-0.702,1.3829574584960938,nan
2025-02-26T09:49:50.074321,0.452,-0.369,-0.518,0.625,0.041,-0.444,0.588,-0.675,1.3318634033203125,nan
2025-02-26T09:49:50.076759,0.452,-0.357,-0.511,0.638,0.036,-0.458,0.612,-0.644,1.1836700439453125,nan
2025-02-26T09:49:50.079526,0.456,-0.346,-0.502,0.648,0.03,-0.459,0.619,-0.637,1.0380325317382812,nan
2025-02-26T09:49:50.081814,0.456,-0.341,-0.498,0.654,0.033,-0.461,0.618,-0.636,1.0175933837890625,nan
2025-02-26T09:49:50.084458,0.451,-0.335,-0.499,0.66,0.037,-0.464,0.614,-0.637,0.9997100830078125,nan
2025-02-26T09:49:50.086794,0.445,-0.329,-0.501,0.665,0.044,-0.465,0.608,-0.642,0.9843826293945312,nan
2025-02-26T09:49:50.089428,0.436,-0.319,-0.509,0.671,0.053,-0.468,0.599,-0.648,0.9486083984375,nan
2025-02-26T09:49:50.091745,0.425,-0.307,-0.519,0.675,0.059,-0.477,0.587,-0.651,0.8642959594726562,nan
2025-02-26T09:49:50.094297,0.423,-0.301,-0.528,0.672,0.058,-0.48,0.589,-0.648,0.608795166015625,nan
2025-02-26T09:49:50.096584,0.43,-0.316,-0.527,0.662,0.038,-0.468,0.6,-0.648,0.47849273681640625,nan
2025-02-26T09:49:50.099199,0.442,-0.341,-0.526,0.641,0.028,-0.456,0.594,-0.663,0.6701126098632812,nan
2025-02-26T09:49:50.101371,0.432,-0.343,-0.542,0.634,0.029,-0.447,0.576,-0.684,0.9000625610351562,nan
2025-02-26T09:49:50.103875,0.427,-0.355,-0.551,0.623,0.022,-0.44,0.57,-0.693,1.1121292114257812,nan
2025-02-26T09:49:50.106063,0.425,-0.357,-0.556,0.62,0.019,-0.432,0.569,-0.699,0.8719635009765625,nan
2025-02-26T09:49:50.108594,0.417,-0.35,-0.561,0.623,0.021,-0.432,0.57,-0.699,0.258758544921875,nan
2025-02-26T09:49:50.110835,0.407,-0.342,-0.568,0.628,0.026,-0.433,0.572,-0.696,0.08246612548828125,nan
2025-02-26T09:49:50.113356,0.398,-0.335,-0.57,0.635,0.031,-0.432,0.575,-0.694,-0.13471221923828125,nan
2025-02-26T09:49:50.115594,0.392,-0.33,-0.568,0.644,0.034,-0.432,0.581,-0.689,-0.21646881103515625,nan
2025-02-26T09:49:50.118102,0.383,-0.323,-0.565,0.656,0.035,-0.435,0.588,-0.681,-0.2139129638671875,nan
2025-02-26T09:49:50.129705,0.357,-0.305,-0.566,0.678,0.036,-0.442,0.594,-0.671,-0.25734710693359375,nan
2025-02-26T09:49:50.226061,0.335,-0.283,-0.569,0.696,0.043,-0.462,0.578,-0.671,-0.42342376708984375,nan
2025-02-26T09:49:50.321642,0.315,-0.265,-0.569,0.712,0.045,-0.487,0.571,-0.659,-0.5154037475585938,nan
2025-02-26T09:49:50.417967,0.313,-0.252,-0.562,0.723,0.05,-0.499,0.587,-0.636,-0.6584854125976562,nan
2025-02-26T09:49:50.529666,0.314,-0.237,-0.554,0.734,0.051,-0.505,0.594,-0.624,-0.79901123046875,nan
2025-02-26T09:49:50.625888,0.309,-0.228,-0.55,0.742,0.056,-0.509,0.595,-0.619,-0.9931869506835938,nan
2025-02-26T09:49:50.721509,0.302,-0.219,-0.548,0.749,0.063,-0.509,0.594,-0.62,-1.046844482421875,nan
