Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-27T03:10:32.670377,0.217,0.677,-0.162,0.685,0.287,0.64,-0.19,0.687,-3.9953155517578125,nan
2025-02-27T03:10:32.673150,0.222,0.671,-0.16,0.689,0.288,0.632,-0.191,0.694,-3.9953155517578125,nan
2025-02-27T03:10:32.675061,0.22,0.673,-0.155,0.689,0.283,0.641,-0.191,0.687,-4.0029754638671875,nan
2025-02-27T03:10:32.677314,0.22,0.674,-0.156,0.688,0.283,0.642,-0.191,0.686,-4.0029754638671875,nan
2025-02-27T03:10:32.679326,0.221,0.675,-0.157,0.687,0.283,0.643,-0.191,0.685,-3.9978713989257812,nan
2025-02-27T03:10:32.681599,0.217,0.674,-0.152,0.689,0.276,0.646,-0.182,0.688,-3.9927597045898438,nan
2025-02-27T03:10:32.683488,0.202,0.675,-0.138,0.696,0.274,0.64,-0.172,0.697,-3.9978713989257812,nan
2025-02-27T03:10:32.685713,0.21,0.671,-0.147,0.696,0.279,0.64,-0.177,0.694,-4.0029754638671875,nan
2025-02-27T03:10:32.687674,0.213,0.668,-0.149,0.697,0.284,0.635,-0.18,0.696,-3.9978713989257812,nan
2025-02-27T03:10:32.689834,0.212,0.668,-0.146,0.698,0.282,0.635,-0.177,0.697,-3.9953155517578125,nan
2025-02-27T03:10:32.691719,0.214,0.668,-0.147,0.698,0.285,0.635,-0.182,0.695,-4.005531311035156,nan
2025-02-27T03:10:32.693872,0.214,0.671,-0.149,0.694,0.285,0.639,-0.185,0.69,-4.010643005371094,nan
2025-02-27T03:10:32.695716,0.212,0.676,-0.151,0.689,0.284,0.645,-0.186,0.685,-4.005531311035156,nan
2025-02-27T03:10:32.697823,0.211,0.679,-0.153,0.686,0.283,0.646,-0.186,0.683,-4.010643005371094,nan
2025-02-27T03:10:32.699682,0.212,0.68,-0.153,0.685,0.283,0.65,-0.187,0.681,-4.0131988525390625,nan
2025-02-27T03:10:32.701836,0.21,0.683,-0.155,0.682,0.282,0.653,-0.188,0.677,-4.008087158203125,nan
