Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-27T03:34:42.381169,-0.004,0.933,-0.358,0.018,0.385,-0.024,0.087,0.919,-3.9595413208007812,nan
2025-02-27T03:34:42.383519,0.0,0.936,-0.352,0.025,0.384,-0.031,0.091,0.918,-3.9646530151367188,nan
2025-02-27T03:34:42.385600,-0.001,0.935,-0.354,0.023,0.384,-0.031,0.09,0.918,-3.96209716796875,nan
2025-02-27T03:34:42.388053,-0.003,0.936,-0.352,0.02,0.378,-0.033,0.091,0.921,-3.954437255859375,nan
2025-02-27T03:34:42.389967,-0.008,0.934,-0.357,0.008,0.377,-0.032,0.091,0.921,-3.9493255615234375,nan
2025-02-27T03:34:42.392197,-0.011,0.935,-0.355,0.006,0.372,-0.032,0.09,0.923,-3.9595413208007812,nan
2025-02-27T03:34:42.394219,-0.012,0.932,-0.363,0.005,0.384,-0.035,0.089,0.918,-3.96209716796875,nan
2025-02-27T03:34:42.396499,-0.01,0.931,-0.364,0.013,0.382,-0.04,0.094,0.919,-3.954437255859375,nan
2025-02-27T03:34:42.398429,-0.004,0.94,-0.341,0.031,0.364,-0.043,0.095,0.926,-3.954437255859375,nan
2025-02-27T03:34:42.400656,-0.004,0.942,-0.333,0.026,0.36,-0.041,0.093,0.927,-3.96209716796875,nan
2025-02-27T03:34:42.402592,-0.004,0.942,-0.334,0.026,0.357,-0.044,0.094,0.928,-3.9646530151367188,nan
2025-02-27T03:34:42.404779,-0.004,0.94,-0.339,0.029,0.364,-0.045,0.095,0.926,-3.9569854736328125,nan
2025-02-27T03:34:42.406706,-0.009,0.938,-0.346,0.019,0.373,-0.043,0.092,0.922,-3.9518814086914062,nan
2025-02-27T03:34:42.408905,-0.013,0.933,-0.36,0.01,0.371,-0.037,0.092,0.923,-3.9569854736328125,nan
2025-02-27T03:34:42.410799,-0.011,0.936,-0.352,0.01,0.365,-0.036,0.09,0.926,-3.9595413208007812,nan
2025-02-27T03:34:42.412934,-0.012,0.935,-0.354,0.006,0.366,-0.034,0.09,0.926,-3.9595413208007812,nan
2025-02-27T03:34:42.414842,-0.011,0.935,-0.355,0.005,0.367,-0.037,0.091,0.925,-3.9569854736328125,nan
2025-02-27T03:34:42.417060,-0.011,0.934,-0.356,0.007,0.368,-0.039,0.091,0.925,-3.96209716796875,nan
2025-02-27T03:34:42.419000,-0.007,0.932,-0.362,0.018,0.374,-0.047,0.095,0.922,-3.96209716796875,nan
2025-02-27T03:34:42.420660,-0.007,0.937,-0.349,0.023,0.357,-0.054,0.097,0.928,-3.9595413208007812,nan
2025-02-27T03:34:42.421413,-0.004,0.942,-0.333,0.031,0.343,-0.061,0.099,0.932,-3.96209716796875,nan
2025-02-27T03:34:42.422281,0.001,0.94,-0.338,0.041,0.35,-0.071,0.098,0.929,-3.9646530151367188,nan
2025-02-27T03:34:42.423019,-0.003,0.936,-0.351,0.035,0.364,-0.071,0.1,0.923,-3.96209716796875,nan
2025-02-27T03:34:42.423847,-0.006,0.934,-0.357,0.03,0.367,-0.068,0.1,0.922,-3.9569854736328125,nan
2025-02-27T03:34:42.517264,-0.007,0.932,-0.36,0.028,0.368,-0.06,0.101,0.922,-3.954437255859375,nan
2025-02-27T03:34:42.613745,-0.011,0.933,-0.36,0.016,0.366,-0.048,0.097,0.924,-3.96209716796875,nan
2025-02-27T03:34:42.709563,-0.014,0.933,-0.36,0.005,0.368,-0.041,0.093,0.924,-3.9646530151367188,nan
2025-02-27T03:34:42.805820,-0.015,0.931,-0.364,-0.001,0.368,-0.032,0.091,0.925,-3.9595413208007812,nan
2025-02-27T03:34:42.901494,-0.015,0.931,-0.365,-0.005,0.369,-0.024,0.089,0.925,-3.9569854736328125,nan
2025-02-27T03:34:42.997566,-0.016,0.931,-0.365,-0.007,0.367,-0.025,0.089,0.926,-3.9595413208007812,nan
2025-02-27T03:34:43.093373,-0.018,0.932,-0.363,-0.01,0.365,-0.026,0.09,0.926,-3.9569854736328125,nan
2025-02-27T03:34:43.189462,-0.014,0.931,-0.366,-0.007,0.364,-0.026,0.09,0.926,-3.954437255859375,nan
2025-02-27T03:34:43.285293,-0.013,0.932,-0.362,-0.002,0.364,-0.035,0.094,0.926,-3.9569854736328125,nan
2025-02-27T03:34:43.381335,-0.01,0.931,-0.365,0.006,0.366,-0.046,0.097,0.924,-3.9595413208007812,nan
2025-02-27T03:34:43.477182,-0.009,0.93,-0.366,0.019,0.362,-0.053,0.101,0.925,-3.96209716796875,nan
2025-02-27T03:34:43.589248,-0.008,0.937,-0.348,0.022,0.347,-0.057,0.1,0.931,-3.954437255859375,nan
2025-02-27T03:34:43.685181,-0.006,0.938,-0.346,0.025,0.347,-0.06,0.1,0.93,-3.96209716796875,nan
2025-02-27T03:34:43.781182,-0.008,0.936,-0.352,0.026,0.355,-0.066,0.102,0.927,-3.9850921630859375,nan
2025-02-27T03:34:43.877001,-0.007,0.934,-0.356,0.031,0.356,-0.068,0.105,0.926,-3.9850921630859375,nan
2025-02-27T03:34:43.973078,-0.002,0.933,-0.357,0.034,0.362,-0.074,0.104,0.923,-3.97998046875,nan
2025-02-27T03:34:44.068914,-0.0,0.933,-0.357,0.034,0.363,-0.073,0.103,0.923,-3.97998046875,nan
2025-02-27T03:34:44.164972,-0.002,0.934,-0.357,0.027,0.363,-0.066,0.1,0.924,-3.97998046875,nan
2025-02-27T03:34:44.260811,-0.004,0.934,-0.357,0.021,0.363,-0.056,0.095,0.925,-3.9774322509765625,nan
2025-02-27T03:34:44.388863,-0.007,0.935,-0.354,0.009,0.36,-0.048,0.093,0.927,-3.97998046875,nan
