Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-02-27T03:20:43.488041,0.194,0.678,-0.172,0.688,0.344,-0.019,0.056,0.937,-3.9467697143554688,nan
2025-02-27T03:20:43.489132,0.192,0.677,-0.176,0.689,0.344,-0.015,0.054,0.937,-3.9467697143554688,nan
2025-02-27T03:20:43.489899,0.197,0.677,-0.173,0.688,0.345,-0.012,0.061,0.937,-3.9442138671875,nan
2025-02-27T03:20:43.490738,0.205,0.679,-0.165,0.685,0.345,-0.009,0.074,0.936,-3.9467697143554688,nan
2025-02-27T03:20:43.491430,0.212,0.681,-0.159,0.682,0.346,-0.007,0.078,0.935,-3.9493255615234375,nan
2025-02-27T03:20:43.492224,0.215,0.682,-0.156,0.682,0.345,-0.004,0.084,0.935,-3.9493255615234375,nan
2025-02-27T03:20:43.492911,0.218,0.683,-0.154,0.68,0.344,-0.002,0.094,0.934,-3.9493255615234375,nan
2025-02-27T03:20:43.493981,0.228,0.683,-0.15,0.677,0.346,0.0,0.104,0.932,-3.9518814086914062,nan
2025-02-27T03:20:43.494926,0.233,0.684,-0.141,0.677,0.341,-0.001,0.111,0.933,-3.9518814086914062,nan
2025-02-27T03:20:43.495799,0.23,0.686,-0.137,0.676,0.339,-0.002,0.113,0.934,-3.9493255615234375,nan
2025-02-27T03:20:43.496492,0.224,0.688,-0.136,0.677,0.335,-0.003,0.11,0.936,-3.9467697143554688,nan
2025-02-27T03:20:43.497308,0.221,0.685,-0.138,0.68,0.336,-0.007,0.103,0.936,-3.9493255615234375,nan
2025-02-27T03:20:43.498065,0.212,0.682,-0.144,0.685,0.335,-0.011,0.093,0.937,-3.9467697143554688,nan
2025-02-27T03:20:43.498959,0.208,0.681,-0.15,0.686,0.336,-0.013,0.086,0.938,-3.9467697143554688,nan
2025-02-27T03:20:43.499726,0.204,0.679,-0.149,0.689,0.332,-0.016,0.082,0.94,-3.9442138671875,nan
2025-02-27T03:20:43.500653,0.2,0.677,-0.157,0.691,0.337,-0.023,0.075,0.938,-3.9467697143554688,nan
2025-02-27T03:20:43.501378,0.202,0.673,-0.165,0.692,0.343,-0.032,0.07,0.936,-3.9493255615234375,nan
2025-02-27T03:20:43.502269,0.194,0.67,-0.17,0.696,0.341,-0.036,0.061,0.937,-3.9493255615234375,nan
2025-02-27T03:20:43.503029,0.192,0.668,-0.171,0.698,0.342,-0.038,0.059,0.937,-3.9493255615234375,nan
2025-02-27T03:20:43.503873,0.191,0.669,-0.171,0.698,0.341,-0.027,0.064,0.937,-3.9442138671875,nan
2025-02-27T03:20:43.504605,0.189,0.672,-0.172,0.695,0.342,-0.03,0.066,0.937,-3.9467697143554688,nan
2025-02-27T03:20:43.505457,0.19,0.674,-0.172,0.693,0.342,-0.027,0.069,0.937,-3.9493255615234375,nan
2025-02-27T03:20:43.506225,0.189,0.674,-0.174,0.693,0.344,-0.026,0.073,0.936,-3.9493255615234375,nan
2025-02-27T03:20:43.588478,0.195,0.675,-0.174,0.69,0.347,-0.022,0.083,0.934,-3.9493255615234375,nan
2025-02-27T03:20:43.684191,0.203,0.677,-0.17,0.687,0.347,-0.018,0.088,0.934,-3.9493255615234375,nan
2025-02-27T03:20:43.780254,0.206,0.678,-0.167,0.686,0.347,-0.014,0.092,0.933,-3.9518814086914062,nan
2025-02-27T03:20:43.876051,0.211,0.68,-0.159,0.684,0.344,-0.012,0.101,0.933,-3.9518814086914062,nan
2025-02-27T03:20:43.972162,0.216,0.68,-0.146,0.686,0.341,-0.009,0.103,0.934,-3.9569854736328125,nan
2025-02-27T03:20:44.067979,0.219,0.679,-0.139,0.687,0.338,-0.01,0.105,0.935,-3.9569854736328125,nan
2025-02-27T03:20:44.164038,0.216,0.68,-0.135,0.687,0.337,-0.022,0.105,0.935,-3.954437255859375,nan
2025-02-27T03:20:44.259874,0.215,0.677,-0.134,0.691,0.336,-0.021,0.099,0.936,-3.9569854736328125,nan
2025-02-27T03:20:44.355951,0.212,0.677,-0.136,0.691,0.334,-0.023,0.093,0.938,-3.9569854736328125,nan
2025-02-27T03:20:44.483789,0.205,0.677,-0.145,0.692,0.338,-0.029,0.079,0.937,-3.9569854736328125,nan
2025-02-27T03:20:44.579987,0.204,0.672,-0.154,0.695,0.343,-0.034,0.066,0.937,-3.954437255859375,nan
2025-02-27T03:20:44.675696,0.195,0.668,-0.165,0.698,0.343,-0.041,0.053,0.937,-3.9595413208007812,nan
2025-02-27T03:20:44.771773,0.188,0.669,-0.171,0.699,0.342,-0.041,0.046,0.938,-3.96209716796875,nan
2025-02-27T03:20:44.867582,0.185,0.668,-0.171,0.7,0.343,-0.042,0.047,0.937,-3.96209716796875,nan
2025-02-27T03:20:44.963661,0.186,0.671,-0.17,0.698,0.343,-0.038,0.055,0.937,-3.96209716796875,nan
2025-02-27T03:20:45.059495,0.192,0.673,-0.166,0.694,0.346,-0.035,0.063,0.936,-3.9595413208007812,nan
2025-02-27T03:20:45.171577,0.205,0.674,-0.171,0.689,0.358,-0.031,0.073,0.93,-3.9595413208007812,nan
2025-02-27T03:20:45.267398,0.221,0.673,-0.171,0.685,0.367,-0.026,0.085,0.926,-3.96209716796875,nan
2025-02-27T03:20:45.363476,0.225,0.676,-0.164,0.683,0.362,-0.024,0.096,0.927,-3.96209716796875,nan
2025-02-27T03:20:45.459299,0.225,0.677,-0.149,0.684,0.346,-0.021,0.106,0.932,-3.9646530151367188,nan
2025-02-27T03:20:45.555389,0.218,0.68,-0.135,0.687,0.337,-0.023,0.108,0.935,-3.9672088623046875,nan
2025-02-27T03:20:45.651244,0.214,0.681,-0.135,0.687,0.335,-0.022,0.107,0.936,-3.9697647094726562,nan
2025-02-27T03:20:45.747305,0.216,0.679,-0.132,0.689,0.334,-0.021,0.108,0.936,-3.9672088623046875,nan
2025-02-27T03:20:45.843126,0.22,0.676,-0.127,0.692,0.334,-0.022,0.108,0.936,-3.9646530151367188,nan
2025-02-27T03:20:45.939212,0.215,0.674,-0.128,0.695,0.332,-0.028,0.101,0.938,-3.9595413208007812,nan
2025-02-27T03:20:46.051037,0.206,0.672,-0.139,0.697,0.332,-0.031,0.089,0.939,-3.9569854736328125,nan
2025-02-27T03:20:46.147125,0.196,0.671,-0.15,0.7,0.333,-0.034,0.079,0.939,-3.9569854736328125,nan
2025-02-27T03:20:46.243015,0.194,0.669,-0.155,0.7,0.334,-0.035,0.072,0.939,-3.9595413208007812,nan
2025-02-27T03:20:46.339023,0.19,0.661,-0.158,0.708,0.334,-0.048,0.065,0.939,-3.9595413208007812,nan
2025-02-27T03:20:46.434849,0.183,0.666,-0.165,0.704,0.336,-0.044,0.057,0.939,-3.96209716796875,nan
2025-02-27T03:20:46.530975,0.182,0.666,-0.165,0.704,0.337,-0.045,0.055,0.939,-3.9672088623046875,nan
2025-02-27T03:20:46.626788,0.18,0.67,-0.163,0.702,0.338,-0.045,0.058,0.938,-3.9672088623046875,nan
2025-02-27T03:20:46.722917,0.182,0.672,-0.162,0.699,0.338,-0.04,0.065,0.938,-3.9646530151367188,nan
2025-02-27T03:20:46.818683,0.187,0.675,-0.156,0.697,0.337,-0.037,0.074,0.938,-3.9672088623046875,nan
2025-02-27T03:20:46.930745,0.196,0.678,-0.149,0.692,0.338,-0.031,0.085,0.937,-3.9697647094726562,nan
2025-02-27T03:20:47.026591,0.202,0.68,-0.144,0.69,0.339,-0.027,0.091,0.936,-3.9697647094726562,nan
2025-02-27T03:20:47.122673,0.211,0.681,-0.139,0.687,0.337,-0.021,0.101,0.936,-3.9672088623046875,nan
2025-02-27T03:20:47.218494,0.213,0.684,-0.128,0.686,0.332,-0.02,0.109,0.937,-3.9646530151367188,nan
2025-02-27T03:20:47.314576,0.213,0.685,-0.126,0.686,0.33,-0.019,0.108,0.938,-3.9672088623046875,nan
2025-02-27T03:20:47.410418,0.214,0.685,-0.122,0.685,0.329,-0.024,0.109,0.938,-3.972320556640625,nan
2025-02-27T03:20:47.506485,0.215,0.68,-0.119,0.69,0.329,-0.025,0.107,0.938,-3.9672088623046875,nan
2025-02-27T03:20:47.602325,0.209,0.68,-0.123,0.692,0.329,-0.029,0.099,0.939,-3.9595413208007812,nan
2025-02-27T03:20:47.714462,0.204,0.678,-0.127,0.695,0.328,-0.033,0.091,0.94,-3.9595413208007812,nan
2025-02-27T03:20:47.810254,0.197,0.676,-0.132,0.698,0.327,-0.038,0.083,0.941,-3.96209716796875,nan
