Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-19T09:10:30.641876,0.508,-0.382,0.633,-0.443,0.046,0.226,-0.751,0.619,-0.6559295654296875,nan
2025-03-19T09:10:30.738214,0.502,-0.377,0.635,-0.45,0.047,0.226,-0.751,0.619,-0.6533737182617188,nan
2025-03-19T09:10:30.833811,0.496,-0.373,0.637,-0.457,0.047,0.226,-0.751,0.618,-0.6763687133789062,nan
2025-03-19T09:10:30.930081,0.493,-0.371,0.64,-0.459,0.05,0.227,-0.753,0.616,-0.7223587036132812,nan
2025-03-19T09:10:31.025822,0.488,-0.371,0.644,-0.458,0.053,0.229,-0.754,0.613,-0.7555770874023438,nan
2025-03-19T09:10:31.122096,0.484,-0.372,0.647,-0.458,0.055,0.23,-0.756,0.61,-0.7402420043945312,nan
2025-03-19T09:10:31.233644,0.482,-0.371,0.647,-0.46,0.057,0.23,-0.757,0.608,-0.6942520141601562,nan
2025-03-19T09:10:31.329913,0.48,-0.37,0.647,-0.463,0.057,0.23,-0.757,0.608,-0.6303787231445312,nan
2025-03-19T09:10:31.425544,0.478,-0.368,0.648,-0.465,0.058,0.23,-0.758,0.608,-0.6099395751953125,nan
2025-03-19T09:10:31.521821,0.476,-0.366,0.649,-0.467,0.057,0.228,-0.758,0.609,-0.6073837280273438,nan
2025-03-19T09:10:31.617493,0.475,-0.366,0.648,-0.47,0.056,0.226,-0.757,0.61,-0.569061279296875,nan
2025-03-19T09:10:31.713759,0.472,-0.362,0.652,-0.471,0.055,0.225,-0.757,0.611,-0.39531707763671875,nan
2025-03-19T09:10:31.809427,0.467,-0.362,0.654,-0.473,0.054,0.224,-0.755,0.614,-0.20369720458984375,nan
2025-03-19T09:10:31.905683,0.465,-0.36,0.655,-0.474,0.053,0.222,-0.755,0.615,0.0977935791015625,nan
2025-03-19T09:10:32.001345,0.462,-0.359,0.657,-0.475,0.053,0.222,-0.755,0.614,0.23831939697265625,nan
2025-03-19T09:10:32.113657,0.46,-0.358,0.657,-0.478,0.052,0.22,-0.754,0.616,0.56280517578125,nan
2025-03-19T09:10:32.209281,0.459,-0.357,0.657,-0.48,0.053,0.22,-0.756,0.615,0.8975143432617188,nan
2025-03-19T09:10:32.305552,0.456,-0.355,0.659,-0.481,0.059,0.224,-0.757,0.611,1.362518310546875,nan
2025-03-19T09:10:32.401210,0.455,-0.354,0.659,-0.483,0.059,0.223,-0.757,0.611,1.5899124145507812,nan
2025-03-19T09:10:32.497456,0.453,-0.352,0.659,-0.486,0.058,0.221,-0.757,0.612,1.9629440307617188,nan
2025-03-19T09:10:32.593081,0.452,-0.351,0.658,-0.489,0.061,0.223,-0.757,0.611,2.3538589477539062,nan
2025-03-19T09:10:32.689358,0.451,-0.349,0.658,-0.491,0.068,0.227,-0.758,0.608,3.0411529541015625,nan
2025-03-19T09:10:32.785015,0.449,-0.346,0.66,-0.493,0.074,0.23,-0.759,0.605,3.4933929443359375,nan
2025-03-19T09:10:32.881272,0.447,-0.342,0.662,-0.495,0.079,0.233,-0.759,0.602,4.142356872558594,nan
2025-03-19T09:10:32.976913,0.445,-0.34,0.663,-0.497,0.08,0.233,-0.76,0.602,4.515388488769531,nan
2025-03-19T09:10:33.073248,0.443,-0.337,0.664,-0.499,0.081,0.233,-0.76,0.601,4.898643493652344,nan
2025-03-19T09:10:33.184843,0.442,-0.336,0.664,-0.501,0.084,0.234,-0.761,0.599,5.0749359130859375,nan
2025-03-19T09:10:33.281115,0.44,-0.334,0.664,-0.504,0.087,0.234,-0.763,0.596,5.373870849609375,nan
2025-03-19T09:10:33.376743,0.439,-0.332,0.664,-0.506,0.088,0.234,-0.763,0.596,5.47607421875,nan
2025-03-19T09:10:33.473028,0.436,-0.328,0.666,-0.508,0.09,0.234,-0.764,0.594,5.47607421875,nan
2025-03-19T09:10:33.568643,0.434,-0.326,0.667,-0.511,0.093,0.235,-0.765,0.592,5.5246124267578125,nan
2025-03-19T09:10:33.665026,0.43,-0.322,0.667,-0.516,0.093,0.234,-0.766,0.592,5.4070892333984375,nan
2025-03-19T09:10:33.760546,0.427,-0.319,0.668,-0.519,0.093,0.233,-0.765,0.593,5.1311492919921875,nan
2025-03-19T09:10:33.856890,0.425,-0.318,0.669,-0.521,0.094,0.232,-0.765,0.594,4.730010986328125,nan
2025-03-19T09:10:33.952483,0.419,-0.315,0.67,-0.526,0.093,0.231,-0.765,0.595,4.4412994384765625,nan
2025-03-19T09:10:34.048808,0.412,-0.314,0.671,-0.53,0.091,0.228,-0.765,0.596,3.6977920532226562,nan
2025-03-19T09:10:34.160386,0.41,-0.314,0.671,-0.532,0.088,0.225,-0.765,0.597,2.9926071166992188,nan
2025-03-19T09:10:34.256704,0.409,-0.314,0.67,-0.534,0.091,0.226,-0.765,0.596,1.8914031982421875,nan
2025-03-19T09:10:34.352304,0.407,-0.314,0.67,-0.535,0.091,0.225,-0.766,0.596,1.3829574584960938,nan
2025-03-19T09:10:34.448557,0.404,-0.314,0.671,-0.536,0.09,0.223,-0.766,0.596,1.1351242065429688,nan
2025-03-19T09:10:34.544241,0.402,-0.314,0.672,-0.537,0.091,0.223,-0.766,0.596,1.1657867431640625,nan
2025-03-19T09:10:34.640509,0.4,-0.313,0.673,-0.538,0.09,0.221,-0.765,0.598,1.1274642944335938,nan
2025-03-19T09:10:34.736134,0.398,-0.313,0.674,-0.538,0.09,0.221,-0.765,0.598,1.0150375366210938,nan
2025-03-19T09:10:34.832439,0.396,-0.312,0.675,-0.539,0.09,0.22,-0.765,0.598,0.7876434326171875,nan
2025-03-19T09:10:34.928047,0.393,-0.311,0.677,-0.539,0.09,0.219,-0.765,0.599,0.6752243041992188,nan
2025-03-19T09:10:35.056312,0.392,-0.31,0.678,-0.54,0.089,0.217,-0.765,0.599,0.7033309936523438,nan
2025-03-19T09:10:35.151977,0.39,-0.309,0.678,-0.541,0.094,0.219,-0.767,0.596,0.8975143432617188,nan
2025-03-19T09:10:35.248266,0.388,-0.308,0.679,-0.542,0.103,0.223,-0.768,0.592,1.1989974975585938,nan
2025-03-19T09:10:35.343907,0.387,-0.307,0.679,-0.543,0.113,0.227,-0.768,0.588,1.1708984375,nan
2025-03-19T09:10:35.440226,0.385,-0.306,0.68,-0.543,0.112,0.225,-0.768,0.589,0.902618408203125,nan
2025-03-19T09:10:35.535781,0.384,-0.304,0.681,-0.544,0.109,0.221,-0.767,0.592,0.7339935302734375,nan
2025-03-19T09:10:35.632091,0.382,-0.302,0.683,-0.545,0.113,0.222,-0.769,0.589,0.56280517578125,nan
2025-03-19T09:10:35.727783,0.381,-0.301,0.683,-0.547,0.112,0.22,-0.769,0.589,0.47849273681640625,nan
2025-03-19T09:10:35.824034,0.38,-0.299,0.682,-0.548,0.113,0.22,-0.769,0.589,0.3737335205078125,nan
2025-03-19T09:10:35.935245,0.379,-0.297,0.683,-0.549,0.114,0.219,-0.77,0.589,0.286865234375,nan
2025-03-19T09:10:36.031935,0.377,-0.294,0.684,-0.551,0.114,0.218,-0.77,0.589,0.13356781005859375,nan
2025-03-19T09:10:36.127607,0.376,-0.293,0.684,-0.552,0.116,0.217,-0.772,0.587,0.03647613525390625,nan
2025-03-19T09:10:36.224161,0.375,-0.291,0.685,-0.553,0.117,0.216,-0.77,0.588,-0.07338714599609375,nan
2025-03-19T09:10:36.319488,0.374,-0.29,0.685,-0.555,0.118,0.216,-0.771,0.588,-0.12448883056640625,nan
2025-03-19T09:10:36.415763,0.373,-0.288,0.685,-0.556,0.116,0.213,-0.771,0.589,-0.201141357421875,nan
2025-03-19T09:10:36.511372,0.371,-0.285,0.686,-0.557,0.116,0.212,-0.771,0.589,-0.29056549072265625,nan
2025-03-19T09:10:36.607649,0.369,-0.283,0.687,-0.558,0.116,0.211,-0.771,0.59,-0.5077362060546875,nan
2025-03-19T09:10:36.703303,0.368,-0.28,0.688,-0.559,0.113,0.207,-0.77,0.592,-0.5920562744140625,nan
2025-03-19T09:10:36.799571,0.366,-0.278,0.689,-0.561,0.113,0.206,-0.77,0.593,-0.5639495849609375,nan
2025-03-19T09:10:36.895219,0.365,-0.276,0.689,-0.562,0.111,0.204,-0.771,0.594,-0.5102920532226562,nan
2025-03-19T09:10:37.007474,0.364,-0.274,0.688,-0.565,0.113,0.204,-0.772,0.592,-0.40554046630859375,nan
2025-03-19T09:10:37.103189,0.363,-0.272,0.688,-0.566,0.112,0.202,-0.772,0.592,-0.35699462890625,nan
