Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-19T07:28:54.203877,-0.377,0.33,-0.63,0.594,-0.642,0.757,-0.118,0.042,2.5761489868164062,nan
2025-03-19T07:28:54.300247,-0.377,0.331,-0.63,0.593,-0.641,0.757,-0.118,0.042,2.5531539916992188,nan
2025-03-19T07:28:54.395859,-0.377,0.331,-0.63,0.593,-0.642,0.757,-0.118,0.042,2.5352630615234375,nan
2025-03-19T07:28:54.492171,-0.378,0.331,-0.63,0.592,-0.642,0.757,-0.118,0.042,2.4969406127929688,nan
2025-03-19T07:28:54.587820,-0.378,0.33,-0.63,0.592,-0.642,0.757,-0.118,0.042,2.4151840209960938,nan
2025-03-19T07:28:54.699903,-0.379,0.33,-0.631,0.591,-0.642,0.757,-0.118,0.042,2.4918289184570312,nan
2025-03-19T07:28:54.795826,-0.38,0.329,-0.631,0.591,-0.642,0.757,-0.118,0.042,2.8648605346679688,nan
2025-03-19T07:28:54.892307,-0.381,0.329,-0.631,0.59,-0.642,0.757,-0.118,0.042,3.2097854614257812,nan
2025-03-19T07:28:54.987926,-0.382,0.329,-0.631,0.589,-0.642,0.756,-0.119,0.042,3.736114501953125,nan
2025-03-19T07:28:55.084321,-0.383,0.328,-0.631,0.589,-0.642,0.756,-0.119,0.042,4.0401611328125,nan
2025-03-19T07:28:55.179793,-0.384,0.328,-0.631,0.588,-0.642,0.757,-0.118,0.042,4.423408508300781,nan
2025-03-19T07:28:55.276131,-0.386,0.328,-0.631,0.588,-0.642,0.757,-0.118,0.042,4.6431427001953125,nan
2025-03-19T07:28:55.371777,-0.387,0.327,-0.631,0.587,-0.641,0.757,-0.118,0.042,4.9727325439453125,nan
2025-03-19T07:28:55.468060,-0.388,0.327,-0.631,0.586,-0.641,0.757,-0.118,0.042,5.210350036621094,nan
2025-03-19T07:28:55.563751,-0.389,0.326,-0.632,0.586,-0.641,0.757,-0.118,0.042,5.555274963378906,nan
2025-03-19T07:28:55.660220,-0.39,0.326,-0.632,0.585,-0.641,0.757,-0.118,0.042,5.7545623779296875,nan
2025-03-19T07:28:55.755787,-0.391,0.326,-0.632,0.585,-0.641,0.757,-0.118,0.042,6.0867156982421875,nan
2025-03-19T07:28:55.868332,-0.392,0.326,-0.632,0.584,-0.641,0.757,-0.118,0.042,6.365211486816406,nan
2025-03-19T07:28:55.963740,-0.393,0.326,-0.631,0.584,-0.641,0.757,-0.118,0.042,6.8404388427734375,nan
2025-03-19T07:28:56.060122,-0.394,0.326,-0.632,0.583,-0.641,0.757,-0.118,0.042,7.1444854736328125,nan
2025-03-19T07:28:56.155741,-0.394,0.326,-0.632,0.583,-0.642,0.757,-0.118,0.042,7.543067932128906,nan
2025-03-19T07:28:56.252000,-0.395,0.326,-0.632,0.582,-0.641,0.757,-0.118,0.042,7.8164520263671875,nan
2025-03-19T07:28:56.347650,-0.396,0.325,-0.632,0.582,-0.641,0.757,-0.119,0.042,8.271240234375,nan
2025-03-19T07:28:56.443983,-0.396,0.326,-0.632,0.581,-0.641,0.757,-0.119,0.042,8.611053466796875,nan
2025-03-19T07:28:56.539650,-0.397,0.326,-0.631,0.581,-0.641,0.757,-0.119,0.042,9.162933349609375,nan
2025-03-19T07:28:56.635979,-0.397,0.326,-0.632,0.581,-0.641,0.757,-0.119,0.042,9.546188354492188,nan
2025-03-19T07:28:56.731621,-0.397,0.326,-0.631,0.581,-0.642,0.757,-0.119,0.042,10.077629089355469,nan
2025-03-19T07:28:56.842612,-0.396,0.327,-0.631,0.581,-0.641,0.757,-0.118,0.042,10.343345642089844,nan
2025-03-19T07:28:56.939658,-0.396,0.329,-0.631,0.581,-0.641,0.757,-0.118,0.042,10.626953125,nan
2025-03-19T07:28:57.035961,-0.395,0.33,-0.63,0.581,-0.641,0.757,-0.118,0.042,10.757255554199219,nan
2025-03-19T07:28:57.131600,-0.395,0.33,-0.63,0.581,-0.641,0.757,-0.118,0.042,10.841567993164062,nan
2025-03-19T07:28:57.227889,-0.395,0.331,-0.63,0.581,-0.641,0.757,-0.118,0.042,10.803245544433594,nan
2025-03-19T07:28:57.323567,-0.394,0.332,-0.63,0.581,-0.641,0.757,-0.118,0.042,10.716377258300781,nan
2025-03-19T07:28:57.419899,-0.394,0.333,-0.629,0.581,-0.641,0.757,-0.118,0.042,10.698493957519531,nan
2025-03-19T07:28:57.515549,-0.394,0.333,-0.629,0.582,-0.641,0.757,-0.118,0.041,10.726593017578125,nan
2025-03-19T07:28:57.611850,-0.393,0.334,-0.629,0.582,-0.641,0.757,-0.118,0.041,10.68060302734375,nan
2025-03-19T07:28:57.707522,-0.393,0.335,-0.628,0.582,-0.641,0.757,-0.118,0.041,10.565628051757812,nan
2025-03-19T07:28:57.819889,-0.393,0.336,-0.628,0.582,-0.641,0.757,-0.118,0.041,10.511978149414062,nan
2025-03-19T07:28:57.915551,-0.392,0.337,-0.628,0.582,-0.641,0.757,-0.118,0.041,10.307579040527344,nan
2025-03-19T07:28:58.011892,-0.392,0.337,-0.628,0.582,-0.641,0.757,-0.118,0.041,10.131278991699219,nan
2025-03-19T07:28:58.107494,-0.391,0.338,-0.627,0.582,-0.641,0.757,-0.118,0.041,9.898773193359375,nan
2025-03-19T07:28:58.203824,-0.391,0.338,-0.627,0.583,-0.641,0.757,-0.118,0.041,9.758247375488281,nan
2025-03-19T07:28:58.299483,-0.39,0.339,-0.627,0.583,-0.641,0.757,-0.118,0.041,9.456764221191406,nan
2025-03-19T07:28:58.411779,-0.39,0.34,-0.627,0.583,-0.642,0.757,-0.118,0.041,9.160377502441406,nan
2025-03-19T07:28:58.523129,-0.39,0.34,-0.627,0.583,-0.641,0.757,-0.118,0.041,8.575286865234375,nan
2025-03-19T07:28:58.619788,-0.389,0.34,-0.627,0.583,-0.642,0.757,-0.118,0.041,8.107719421386719,nan
2025-03-19T07:28:58.715429,-0.389,0.341,-0.627,0.583,-0.642,0.757,-0.118,0.041,7.336112976074219,nan
2025-03-19T07:28:58.811742,-0.388,0.341,-0.626,0.583,-0.642,0.757,-0.118,0.041,6.789337158203125,nan
2025-03-19T07:28:58.907459,-0.388,0.342,-0.627,0.583,-0.642,0.757,-0.118,0.041,6.0969390869140625,nan
2025-03-19T07:28:59.003784,-0.388,0.342,-0.626,0.583,-0.642,0.757,-0.118,0.041,5.7469024658203125,nan
2025-03-19T07:28:59.099422,-0.388,0.342,-0.626,0.583,-0.642,0.757,-0.118,0.041,5.366203308105469,nan
2025-03-19T07:28:59.195751,-0.388,0.342,-0.626,0.583,-0.642,0.757,-0.118,0.041,5.1950225830078125,nan
2025-03-19T07:28:59.291367,-0.388,0.342,-0.626,0.583,-0.642,0.757,-0.118,0.041,4.916526794433594,nan
2025-03-19T07:28:59.387706,-0.389,0.342,-0.627,0.583,-0.642,0.757,-0.118,0.041,4.730010986328125,nan
2025-03-19T07:28:59.483371,-0.389,0.341,-0.627,0.582,-0.642,0.757,-0.118,0.041,4.5332794189453125,nan
2025-03-19T07:28:59.595692,-0.39,0.341,-0.627,0.582,-0.642,0.757,-0.117,0.041,4.4489593505859375,nan
2025-03-19T07:28:59.691358,-0.39,0.34,-0.627,0.582,-0.642,0.757,-0.117,0.041,4.4080810546875,nan
2025-03-19T07:28:59.787691,-0.391,0.34,-0.628,0.581,-0.642,0.757,-0.117,0.041,4.428520202636719,nan
2025-03-19T07:28:59.883430,-0.392,0.339,-0.628,0.581,-0.642,0.757,-0.117,0.041,4.369758605957031,nan
2025-03-19T07:28:59.979771,-0.392,0.338,-0.628,0.58,-0.642,0.757,-0.118,0.041,4.257331848144531,nan
2025-03-19T07:29:00.075372,-0.393,0.337,-0.628,0.58,-0.642,0.757,-0.118,0.041,4.104034423828125,nan
2025-03-19T07:29:00.171708,-0.394,0.337,-0.629,0.58,-0.642,0.757,-0.118,0.041,4.029937744140625,nan
2025-03-19T07:29:00.267306,-0.395,0.336,-0.629,0.579,-0.642,0.757,-0.118,0.04,3.9175186157226562,nan
2025-03-19T07:29:00.363632,-0.396,0.336,-0.629,0.579,-0.642,0.757,-0.118,0.041,3.810211181640625,nan
2025-03-19T07:29:00.473905,-0.397,0.335,-0.629,0.579,-0.642,0.757,-0.118,0.041,3.6313629150390625,nan
2025-03-19T07:29:00.571571,-0.398,0.334,-0.629,0.578,-0.642,0.757,-0.118,0.041,3.534271240234375,nan
2025-03-19T07:29:00.667233,-0.399,0.334,-0.629,0.578,-0.642,0.757,-0.118,0.041,3.4371795654296875,nan
2025-03-19T07:29:00.763581,-0.4,0.333,-0.629,0.577,-0.642,0.757,-0.118,0.041,3.39630126953125,nan
2025-03-19T07:29:00.859193,-0.401,0.333,-0.629,0.577,-0.642,0.757,-0.118,0.041,3.2659988403320312,nan
2025-03-19T07:29:00.955838,-0.402,0.333,-0.629,0.576,-0.642,0.757,-0.118,0.041,3.166351318359375,nan
2025-03-19T07:29:01.051217,-0.402,0.332,-0.629,0.576,-0.642,0.757,-0.118,0.041,3.1356887817382812,nan
2025-03-19T07:29:01.147545,-0.403,0.332,-0.63,0.576,-0.642,0.757,-0.118,0.041,3.1714630126953125,nan
2025-03-19T07:29:01.243168,-0.403,0.332,-0.63,0.575,-0.642,0.757,-0.118,0.041,3.276214599609375,nan
2025-03-19T07:29:01.339469,-0.403,0.332,-0.63,0.575,-0.642,0.757,-0.118,0.041,3.3375320434570312,nan
2025-03-19T07:29:01.450397,-0.404,0.333,-0.629,0.575,-0.642,0.757,-0.118,0.041,3.332427978515625,nan
2025-03-19T07:29:01.547466,-0.404,0.333,-0.629,0.575,-0.642,0.757,-0.118,0.041,3.2915420532226562,nan
2025-03-19T07:29:01.643156,-0.404,0.333,-0.629,0.575,-0.642,0.757,-0.118,0.041,3.2327804565429688,nan
2025-03-19T07:29:01.739447,-0.403,0.334,-0.629,0.575,-0.641,0.757,-0.118,0.041,3.21234130859375,nan
2025-03-19T07:29:01.835124,-0.403,0.334,-0.629,0.575,-0.642,0.757,-0.118,0.041,3.230224609375,nan
2025-03-19T07:29:01.931569,-0.403,0.335,-0.628,0.575,-0.642,0.757,-0.118,0.041,3.2378921508789062,nan
2025-03-19T07:29:02.027123,-0.402,0.336,-0.628,0.575,-0.642,0.757,-0.118,0.041,3.1535720825195312,nan
2025-03-19T07:29:02.123439,-0.402,0.336,-0.628,0.575,-0.642,0.757,-0.118,0.041,3.0769271850585938,nan
2025-03-19T07:29:02.219080,-0.401,0.337,-0.628,0.576,-0.642,0.757,-0.118,0.041,3.0130538940429688,nan
2025-03-19T07:29:02.315382,-0.4,0.338,-0.627,0.576,-0.642,0.757,-0.118,0.041,2.9926071166992188,nan
2025-03-19T07:29:02.411055,-0.4,0.339,-0.627,0.576,-0.642,0.757,-0.118,0.041,2.95428466796875,nan
2025-03-19T07:29:02.523290,-0.399,0.34,-0.627,0.577,-0.642,0.757,-0.118,0.041,2.8648605346679688,nan
2025-03-19T07:29:02.619040,-0.399,0.34,-0.627,0.577,-0.642,0.757,-0.118,0.041,2.7192230224609375,nan
2025-03-19T07:29:02.715327,-0.398,0.34,-0.627,0.577,-0.642,0.757,-0.118,0.041,2.7013397216796875,nan
2025-03-19T07:29:02.811019,-0.398,0.341,-0.626,0.577,-0.642,0.757,-0.118,0.041,2.7779922485351562,nan
2025-03-19T07:29:02.907437,-0.397,0.342,-0.626,0.578,-0.642,0.757,-0.118,0.04,2.8699722290039062,nan
2025-03-19T07:29:03.003038,-0.397,0.342,-0.626,0.578,-0.642,0.757,-0.118,0.04,2.9670639038085938,nan
2025-03-19T07:29:03.099319,-0.396,0.343,-0.625,0.578,-0.642,0.757,-0.118,0.04,2.9670639038085938,nan
2025-03-19T07:29:03.194953,-0.395,0.344,-0.625,0.579,-0.642,0.757,-0.118,0.041,2.9568405151367188,nan
2025-03-19T07:29:03.291294,-0.395,0.344,-0.626,0.579,-0.642,0.757,-0.118,0.04,2.9977188110351562,nan
2025-03-19T07:29:03.418937,-0.394,0.344,-0.626,0.579,-0.642,0.757,-0.118,0.04,3.1510238647460938,nan
2025-03-19T07:29:03.515254,-0.394,0.344,-0.626,0.579,-0.642,0.757,-0.118,0.04,3.3426437377929688,nan
2025-03-19T07:29:03.610909,-0.393,0.344,-0.626,0.579,-0.642,0.757,-0.118,0.04,3.7386703491210938,nan
2025-03-19T07:29:03.707241,-0.393,0.344,-0.626,0.579,-0.642,0.757,-0.118,0.04,4.019721984863281,nan
2025-03-19T07:29:03.802922,-0.393,0.345,-0.625,0.58,-0.642,0.757,-0.118,0.04,4.4489593505859375,nan
2025-03-19T07:29:03.899318,-0.392,0.345,-0.625,0.58,-0.642,0.757,-0.118,0.04,4.7760009765625,15.957447052001953
2025-03-19T07:29:03.994928,-0.392,0.345,-0.625,0.58,-0.642,0.757,-0.118,0.04,5.325325012207031,nan
2025-03-19T07:29:04.091234,-0.392,0.345,-0.626,0.58,-0.642,0.757,-0.118,0.04,5.703468322753906,nan
2025-03-19T07:29:04.202929,-0.392,0.344,-0.626,0.58,-0.642,0.757,-0.118,0.04,6.232353210449219,nan
2025-03-19T07:29:04.299257,-0.392,0.343,-0.626,0.579,-0.642,0.757,-0.118,0.04,6.569610595703125,nan
