Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-06T08:37:39.233960,-0.245,-0.668,0.204,-0.673,0.187,0.208,0.719,0.636,-3.824127197265625,nan
2025-03-06T08:37:39.330124,-0.245,-0.668,0.204,-0.673,0.188,0.209,0.718,0.636,-3.8266830444335938,nan
2025-03-06T08:37:39.441788,-0.245,-0.668,0.204,-0.673,0.189,0.21,0.718,0.636,-3.8343505859375,nan
2025-03-06T08:37:39.538018,-0.245,-0.668,0.205,-0.673,0.189,0.211,0.717,0.636,-3.8445663452148438,nan
2025-03-06T08:37:39.634932,-0.245,-0.668,0.205,-0.673,0.19,0.212,0.717,0.636,-3.8471221923828125,nan
2025-03-06T08:37:39.730984,-0.245,-0.668,0.205,-0.672,0.191,0.213,0.716,0.636,-3.8445663452148438,nan
2025-03-06T08:37:39.826648,-0.245,-0.667,0.205,-0.672,0.192,0.214,0.716,0.636,-3.8445663452148438,nan
2025-03-06T08:37:39.922926,-0.246,-0.667,0.205,-0.672,0.193,0.215,0.716,0.636,-3.8394622802734375,nan
2025-03-06T08:37:40.018561,-0.246,-0.667,0.206,-0.672,0.194,0.216,0.715,0.636,-3.8343505859375,nan
2025-03-06T08:37:40.114868,-0.246,-0.667,0.206,-0.672,0.195,0.217,0.715,0.636,-3.8369064331054688,nan
2025-03-06T08:37:40.210458,-0.246,-0.667,0.206,-0.672,0.195,0.218,0.715,0.635,-3.8445663452148438,nan
2025-03-06T08:37:40.306724,-0.247,-0.667,0.206,-0.672,0.196,0.219,0.714,0.636,-3.842010498046875,nan
2025-03-06T08:37:40.416968,-0.247,-0.667,0.206,-0.672,0.196,0.22,0.714,0.636,-3.8369064331054688,nan
2025-03-06T08:37:40.514656,-0.247,-0.667,0.207,-0.672,0.197,0.22,0.713,0.636,-3.8471221923828125,nan
2025-03-06T08:37:40.610293,-0.247,-0.667,0.207,-0.672,0.198,0.221,0.713,0.636,-3.8471221923828125,nan
2025-03-06T08:37:40.706565,-0.247,-0.667,0.207,-0.672,0.198,0.222,0.712,0.636,-3.842010498046875,nan
2025-03-06T08:37:40.802167,-0.247,-0.667,0.207,-0.672,0.199,0.223,0.712,0.636,-3.8369064331054688,nan
2025-03-06T08:37:40.898507,-0.247,-0.667,0.207,-0.672,0.199,0.223,0.712,0.636,-3.8317947387695312,nan
2025-03-06T08:37:40.994126,-0.248,-0.667,0.207,-0.672,0.2,0.224,0.711,0.635,-3.8317947387695312,nan
