Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-06T12:09:48.166520,0.254,-0.414,-0.565,0.667,-0.628,0.76,0.1,0.134,3.8919677734375,nan
2025-03-06T12:09:48.263076,0.254,-0.414,-0.566,0.667,-0.627,0.761,0.098,0.135,3.8894119262695312,nan
2025-03-06T12:09:48.373251,0.253,-0.414,-0.566,0.667,-0.626,0.762,0.097,0.136,3.845977783203125,nan
2025-03-06T12:09:48.470682,0.252,-0.415,-0.566,0.667,-0.625,0.762,0.095,0.137,3.8076553344726562,nan
2025-03-06T12:09:48.566288,0.251,-0.415,-0.566,0.667,-0.625,0.763,0.094,0.137,3.7821044921875,nan
2025-03-06T12:09:48.662566,0.251,-0.415,-0.567,0.666,-0.624,0.763,0.093,0.138,3.7846603393554688,nan
2025-03-06T12:09:48.758268,0.25,-0.415,-0.567,0.666,-0.624,0.764,0.092,0.138,3.8076553344726562,nan
2025-03-06T12:09:48.854521,0.25,-0.415,-0.568,0.666,-0.623,0.764,0.09,0.139,3.8357620239257812,nan
2025-03-06T12:09:48.950065,0.249,-0.415,-0.568,0.666,-0.623,0.765,0.089,0.14,3.8485336303710938,nan
2025-03-06T12:09:49.046316,0.249,-0.415,-0.568,0.666,-0.622,0.765,0.088,0.14,3.8510894775390625,nan
2025-03-06T12:09:49.141931,0.248,-0.415,-0.568,0.666,-0.622,0.765,0.087,0.141,3.8715286254882812,nan
2025-03-06T12:09:49.238169,0.248,-0.415,-0.569,0.666,-0.622,0.766,0.086,0.142,3.8894119262695312,nan
2025-03-06T12:09:49.349774,0.247,-0.414,-0.569,0.666,-0.621,0.766,0.084,0.142,3.9328536987304688,nan
2025-03-06T12:09:49.446035,0.247,-0.414,-0.569,0.666,-0.621,0.766,0.084,0.143,3.9711761474609375,nan
2025-03-06T12:09:49.541707,0.247,-0.414,-0.57,0.666,-0.621,0.766,0.083,0.143,4.004386901855469,nan
2025-03-06T12:09:49.637970,0.246,-0.413,-0.57,0.666,-0.621,0.766,0.082,0.143,4.001838684082031,nan
2025-03-06T12:09:49.749597,0.246,-0.413,-0.571,0.666,-0.621,0.767,0.081,0.143,3.9583969116210938,nan
2025-03-06T12:09:49.845862,0.246,-0.412,-0.572,0.665,-0.62,0.767,0.081,0.144,3.9098587036132812,nan
2025-03-06T12:09:49.941465,0.246,-0.412,-0.572,0.665,-0.62,0.767,0.08,0.144,3.8689727783203125,nan
2025-03-06T12:09:50.053747,0.246,-0.411,-0.572,0.665,-0.62,0.767,0.079,0.144,3.856201171875,nan
2025-03-06T12:09:50.149331,0.246,-0.411,-0.573,0.665,-0.62,0.767,0.079,0.145,3.8357620239257812,nan
2025-03-06T12:09:50.245605,0.246,-0.41,-0.574,0.665,-0.62,0.767,0.079,0.145,3.8204269409179688,nan
2025-03-06T12:09:50.341220,0.246,-0.409,-0.575,0.665,-0.62,0.767,0.078,0.145,3.8050994873046875,nan
2025-03-06T12:09:50.437462,0.246,-0.409,-0.575,0.665,-0.62,0.767,0.078,0.146,3.79998779296875,nan
