Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-05-14T10:48:34.765532,-0.204,0.452,-0.499,0.71,-0.559,0.694,-0.211,0.402,-2.666717529296875,nan
2025-05-14T10:48:34.861900,-0.201,0.45,-0.499,0.713,-0.561,0.696,-0.206,0.399,-2.7791366577148438,nan
2025-05-14T10:48:34.957396,-0.197,0.446,-0.499,0.717,-0.555,0.695,-0.21,0.405,-2.8660049438476562,nan
2025-05-14T10:48:35.053633,-0.192,0.442,-0.499,0.72,-0.551,0.695,-0.214,0.41,-2.996307373046875,nan
2025-05-14T10:48:35.149257,-0.19,0.441,-0.5,0.721,-0.552,0.695,-0.213,0.409,-3.0678482055664062,nan
2025-05-14T10:48:35.245571,-0.187,0.439,-0.502,0.721,-0.552,0.694,-0.213,0.409,-3.15216064453125,nan
2025-05-14T10:48:35.341151,-0.186,0.438,-0.504,0.721,-0.553,0.694,-0.214,0.409,-3.1930465698242188,nan
2025-05-14T10:48:35.453406,-0.185,0.438,-0.506,0.719,-0.554,0.694,-0.212,0.408,-3.2339248657226562,nan
2025-05-14T10:48:35.548921,-0.184,0.437,-0.509,0.719,-0.555,0.692,-0.217,0.408,-3.2620315551757812,nan
2025-05-14T10:48:35.645239,-0.183,0.437,-0.51,0.718,-0.555,0.688,-0.226,0.409,-3.2977981567382812,nan
2025-05-14T10:48:35.740844,-0.182,0.436,-0.513,0.717,-0.554,0.687,-0.229,0.411,-3.3131256103515625,nan
2025-05-14T10:48:35.837128,-0.182,0.436,-0.515,0.716,-0.553,0.687,-0.23,0.412,-3.33612060546875,nan
2025-05-14T10:48:35.932709,-0.18,0.435,-0.515,0.716,-0.553,0.688,-0.228,0.411,-3.3488998413085938,nan
2025-05-14T10:48:36.028997,-0.178,0.433,-0.516,0.717,-0.554,0.69,-0.224,0.409,-3.3540115356445312,nan
2025-05-14T10:48:36.124629,-0.176,0.432,-0.518,0.718,-0.556,0.692,-0.219,0.406,-3.346343994140625,nan
2025-05-14T10:48:36.220873,-0.174,0.431,-0.519,0.717,-0.558,0.694,-0.213,0.402,-3.3259048461914062,nan
2025-05-14T10:48:36.332305,-0.173,0.43,-0.521,0.717,-0.56,0.697,-0.206,0.397,-3.3182373046875,nan
2025-05-14T10:48:36.428666,-0.172,0.429,-0.522,0.717,-0.563,0.703,-0.194,0.388,-3.3054656982421875,nan
2025-05-14T10:48:36.524260,-0.173,0.429,-0.525,0.715,-0.566,0.707,-0.185,0.381,-3.2952423095703125,nan
