Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-05-16T06:22:00.694801,0.346,0.021,-0.671,0.656,0.65,-0.703,0.096,-0.273,-1.0494003295898438,nan
2025-05-16T06:22:00.807433,0.346,0.022,-0.671,0.655,0.65,-0.703,0.096,-0.272,-0.83477783203125,nan
2025-05-16T06:22:00.903040,0.346,0.024,-0.671,0.655,0.65,-0.703,0.096,-0.272,-0.6865921020507812,nan
2025-05-16T06:22:00.999233,0.346,0.024,-0.671,0.655,0.65,-0.703,0.096,-0.272,-0.43364715576171875,nan
2025-05-16T06:22:01.094700,0.345,0.025,-0.671,0.655,0.65,-0.704,0.096,-0.272,-0.25734710693359375,nan
2025-05-16T06:22:01.207185,0.345,0.025,-0.671,0.656,0.65,-0.703,0.096,-0.271,0.00836944580078125,nan
2025-05-16T06:22:01.302592,0.345,0.025,-0.671,0.655,0.65,-0.703,0.096,-0.271,0.18721771240234375,nan
2025-05-16T06:22:01.398873,0.342,0.022,-0.671,0.658,0.65,-0.704,0.095,-0.271,0.44016265869140625,nan
2025-05-16T06:22:01.494435,0.336,0.015,-0.67,0.662,0.65,-0.704,0.095,-0.271,0.590911865234375,nan
2025-05-16T06:22:01.590778,0.331,0.009,-0.67,0.665,0.65,-0.704,0.095,-0.271,0.7544326782226562,nan
2025-05-16T06:22:01.686349,0.326,0.004,-0.67,0.667,0.65,-0.704,0.095,-0.271,0.8285293579101562,nan
2025-05-16T06:22:01.782774,0.322,-0.001,-0.67,0.669,0.65,-0.704,0.095,-0.27,0.9562759399414062,nan
2025-05-16T06:22:01.878331,0.322,-0.001,-0.67,0.669,0.65,-0.703,0.094,-0.272,1.0354843139648438,nan
2025-05-16T06:22:01.974715,0.321,-0.001,-0.671,0.668,0.65,-0.703,0.094,-0.272,1.1044692993164062,nan
2025-05-16T06:22:02.086244,0.32,-0.001,-0.672,0.668,0.65,-0.703,0.093,-0.274,1.1530075073242188,nan
2025-05-16T06:22:02.182608,0.316,-0.005,-0.672,0.669,0.65,-0.703,0.093,-0.273,1.2219924926757812,nan
2025-05-16T06:22:02.278127,0.313,-0.008,-0.673,0.67,0.65,-0.703,0.093,-0.273,1.2475433349609375,nan
2025-05-16T06:22:02.374432,0.312,-0.009,-0.673,0.67,0.651,-0.703,0.092,-0.273,1.2475433349609375,nan
2025-05-16T06:22:02.470062,0.311,-0.009,-0.674,0.67,0.651,-0.703,0.092,-0.272,1.1708984375,nan
2025-05-16T06:22:02.566364,0.31,-0.014,-0.674,0.67,0.651,-0.703,0.092,-0.272,0.9562759399414062,nan
2025-05-16T06:22:02.661949,0.308,-0.017,-0.675,0.671,0.649,-0.705,0.094,-0.27,0.7825393676757812,nan
2025-05-16T06:22:02.758320,0.307,-0.018,-0.676,0.67,0.65,-0.705,0.093,-0.27,0.5014877319335938,nan
2025-05-16T06:22:02.853884,0.305,-0.019,-0.676,0.67,0.65,-0.704,0.093,-0.27,0.286865234375,nan
2025-05-16T06:22:02.964426,0.303,-0.021,-0.677,0.67,0.649,-0.705,0.095,-0.268,-0.09893798828125,nan
2025-05-16T06:22:03.061815,0.302,-0.022,-0.678,0.67,0.649,-0.705,0.094,-0.268,-0.3799896240234375,nan
2025-05-16T06:22:03.158119,0.3,-0.023,-0.678,0.67,0.65,-0.705,0.094,-0.268,-0.83477783203125,nan
2025-05-16T06:22:03.253695,0.3,-0.023,-0.679,0.67,0.65,-0.705,0.094,-0.269,-1.1132736206054688,nan
2025-05-16T06:22:03.350021,0.299,-0.023,-0.679,0.67,0.65,-0.705,0.093,-0.269,-1.4352035522460938,nan
2025-05-16T06:22:03.445612,0.302,-0.02,-0.678,0.67,0.65,-0.705,0.093,-0.269,-1.616607666015625,nan
2025-05-16T06:22:03.541905,0.317,-0.012,-0.674,0.667,0.65,-0.705,0.092,-0.269,-1.8440017700195312,nan
2025-05-16T06:22:03.637549,0.325,-0.006,-0.673,0.664,0.65,-0.705,0.092,-0.269,-1.9717559814453125,nan
2025-05-16T06:22:03.733813,0.332,0.003,-0.672,0.661,0.65,-0.705,0.091,-0.269,-2.1429367065429688,nan
2025-05-16T06:22:03.829457,0.338,0.007,-0.671,0.66,0.65,-0.705,0.091,-0.269,-2.2349166870117188,nan
2025-05-16T06:22:03.939847,0.343,0.011,-0.669,0.659,0.65,-0.705,0.091,-0.269,-2.3550033569335938,nan
2025-05-16T06:22:04.037360,0.344,0.012,-0.669,0.659,0.649,-0.705,0.093,-0.271,-2.4239883422851562,nan
2025-05-16T06:22:04.133632,0.347,0.013,-0.669,0.658,0.649,-0.704,0.093,-0.273,-2.5210800170898438,nan
2025-05-16T06:22:04.229260,0.346,0.013,-0.669,0.657,0.649,-0.704,0.093,-0.273,-2.574737548828125,nan
2025-05-16T06:22:04.325599,0.346,0.014,-0.669,0.657,0.649,-0.704,0.093,-0.273,-2.63861083984375,nan
2025-05-16T06:22:04.421165,0.347,0.017,-0.669,0.657,0.649,-0.704,0.092,-0.273,-2.6794891357421875,nan
2025-05-16T06:22:04.517477,0.346,0.017,-0.67,0.657,0.649,-0.704,0.092,-0.273,-2.7229232788085938,nan
2025-05-16T06:22:04.613088,0.346,0.018,-0.67,0.656,0.649,-0.704,0.092,-0.273,-2.7459182739257812,nan
2025-05-16T06:22:04.709414,0.346,0.019,-0.67,0.656,0.65,-0.703,0.092,-0.274,-2.7816925048828125,nan
