Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-05-20T09:31:55.238293,-0.05,0.678,0.095,0.727,-0.191,0.396,0.54,-0.718,16.135528564453125,nan
2025-05-20T09:31:55.334378,-0.049,0.678,0.093,0.727,-0.19,0.396,0.54,-0.718,16.500892639160156,nan
2025-05-20T09:31:55.430206,-0.047,0.679,0.092,0.727,-0.19,0.395,0.541,-0.718,17.040000915527344,nan
2025-05-20T09:31:55.526298,-0.046,0.679,0.09,0.727,-0.19,0.395,0.541,-0.718,17.456466674804688,nan
2025-05-20T09:31:55.622146,-0.044,0.679,0.088,0.728,-0.189,0.394,0.542,-0.718,18.18719482421875,nan
2025-05-20T09:31:55.719931,-0.042,0.679,0.086,0.728,-0.189,0.394,0.542,-0.718,18.63943099975586,nan
2025-05-20T09:31:55.815467,-0.04,0.679,0.084,0.728,-0.188,0.394,0.542,-0.718,19.19131088256836,nan
2025-05-20T09:31:55.911795,-0.039,0.679,0.083,0.728,-0.188,0.394,0.542,-0.718,19.572006225585938,nan
2025-05-20T09:31:56.007372,-0.037,0.679,0.081,0.729,-0.188,0.394,0.542,-0.718,20.269519805908203,nan
2025-05-20T09:31:56.103682,-0.036,0.679,0.079,0.729,-0.188,0.393,0.543,-0.718,20.785629272460938,nan
2025-05-20T09:31:56.215333,-0.034,0.68,0.077,0.729,-0.187,0.393,0.543,-0.718,21.58023452758789,nan
2025-05-20T09:31:56.311650,-0.033,0.679,0.076,0.729,-0.187,0.393,0.543,-0.718,22.109119415283203,nan
2025-05-20T09:31:56.407239,-0.031,0.68,0.074,0.729,-0.187,0.393,0.542,-0.719,22.763198852539062,nan
2025-05-20T09:31:56.503514,-0.03,0.68,0.073,0.729,-0.187,0.393,0.541,-0.719,23.028919219970703,nan
2025-05-20T09:31:56.599179,-0.028,0.68,0.071,0.73,-0.186,0.393,0.542,-0.719,23.07235336303711,nan
2025-05-20T09:31:56.695419,-0.026,0.68,0.07,0.73,-0.186,0.393,0.541,-0.719,22.834739685058594,nan
2025-05-20T09:31:56.791053,-0.024,0.68,0.068,0.73,-0.186,0.393,0.541,-0.72,22.23686981201172,nan
2025-05-20T09:31:56.887323,-0.023,0.68,0.067,0.73,-0.186,0.393,0.541,-0.72,21.802520751953125,nan
2025-05-20T09:31:56.998597,-0.02,0.68,0.066,0.73,-0.186,0.392,0.542,-0.72,21.148441314697266,nan
2025-05-20T09:31:57.095326,-0.017,0.679,0.064,0.731,-0.186,0.392,0.542,-0.72,20.645103454589844,nan
2025-05-20T09:31:57.190865,-0.015,0.679,0.063,0.731,-0.186,0.392,0.541,-0.72,19.858165740966797,nan
2025-05-20T09:31:57.287271,-0.013,0.679,0.061,0.732,-0.185,0.392,0.542,-0.72,19.439144134521484,nan
2025-05-20T09:31:57.382835,-0.012,0.679,0.059,0.732,-0.185,0.392,0.542,-0.72,18.961360931396484,nan
2025-05-20T09:31:57.479078,-0.011,0.679,0.057,0.731,-0.185,0.392,0.542,-0.72,18.677753448486328,nan
2025-05-20T09:31:57.574722,-0.009,0.679,0.056,0.732,-0.185,0.392,0.542,-0.72,18.29961395263672,nan
2025-05-20T09:31:57.670984,-0.008,0.679,0.054,0.732,-0.185,0.392,0.541,-0.721,18.036449432373047,nan
2025-05-20T09:31:57.766615,-0.007,0.68,0.052,0.732,-0.185,0.393,0.54,-0.721,17.568885803222656,nan
2025-05-20T09:31:57.878200,-0.006,0.68,0.05,0.732,-0.185,0.393,0.54,-0.721,17.241844177246094,nan
2025-05-20T09:31:57.974549,-0.006,0.68,0.048,0.732,-0.185,0.393,0.54,-0.721,16.771724700927734,nan
2025-05-20T09:31:58.070827,-0.005,0.68,0.046,0.731,-0.185,0.393,0.54,-0.721,16.45490264892578,nan
2025-05-20T09:31:58.166201,-0.004,0.68,0.044,0.731,-0.185,0.392,0.54,-0.721,15.995002746582031,nan
2025-05-20T09:31:58.262990,-0.001,0.68,0.043,0.732,-0.184,0.392,0.54,-0.721,15.713958740234375,nan
2025-05-20T09:31:58.358378,0.0,0.68,0.041,0.732,-0.184,0.393,0.54,-0.721,15.310264587402344,nan
2025-05-20T09:31:58.454757,0.001,0.68,0.038,0.732,-0.184,0.393,0.539,-0.722,14.996002197265625,nan
2025-05-20T09:31:58.550247,0.001,0.68,0.036,0.732,-0.184,0.393,0.54,-0.721,14.487556457519531,nan
2025-05-20T09:31:58.646533,0.002,0.68,0.034,0.732,-0.184,0.392,0.541,-0.721,14.219284057617188,nan
2025-05-20T09:31:58.742152,0.004,0.68,0.032,0.732,-0.184,0.392,0.542,-0.721,13.89990234375,nan
2025-05-20T09:31:58.870474,0.005,0.68,0.03,0.732,-0.184,0.391,0.542,-0.72,13.7159423828125,nan
2025-05-20T09:31:58.966114,0.007,0.68,0.029,0.733,-0.184,0.391,0.543,-0.72,13.462997436523438,nan
2025-05-20T09:31:59.062362,0.007,0.68,0.027,0.733,-0.183,0.39,0.544,-0.72,13.314811706542969,nan
2025-05-20T09:31:59.158019,0.009,0.68,0.025,0.733,-0.183,0.39,0.545,-0.72,13.14617919921875,nan
2025-05-20T09:31:59.254429,0.012,0.679,0.024,0.733,-0.183,0.39,0.544,-0.72,13.05419921875,nan
2025-05-20T09:31:59.349939,0.014,0.679,0.022,0.733,-0.183,0.39,0.543,-0.721,12.923896789550781,nan
2025-05-20T09:31:59.446224,0.015,0.679,0.021,0.733,-0.182,0.39,0.543,-0.721,12.831916809082031,nan
2025-05-20T09:31:59.557833,0.018,0.679,0.02,0.733,-0.182,0.391,0.542,-0.721,12.714385986328125,nan
2025-05-20T09:31:59.654256,0.02,0.679,0.018,0.733,-0.182,0.391,0.542,-0.721,12.678611755371094,nan
2025-05-20T09:31:59.749728,0.021,0.679,0.016,0.733,-0.182,0.39,0.543,-0.721,12.676063537597656,nan
2025-05-20T09:31:59.846029,0.021,0.68,0.015,0.733,-0.182,0.39,0.542,-0.721,12.614738464355469,nan
2025-05-20T09:31:59.941668,0.025,0.679,0.014,0.734,-0.182,0.39,0.542,-0.722,12.379676818847656,nan
2025-05-20T09:32:00.037968,0.028,0.679,0.013,0.734,-0.182,0.39,0.542,-0.722,12.236602783203125,nan
2025-05-20T09:32:00.133579,0.03,0.679,0.011,0.734,-0.182,0.39,0.542,-0.722,12.11651611328125,nan
2025-05-20T09:32:00.230165,0.03,0.679,0.009,0.733,-0.182,0.39,0.542,-0.722,12.067970275878906,nan
2025-05-20T09:32:00.325519,0.031,0.679,0.007,0.733,-0.182,0.39,0.542,-0.722,11.991317749023438,nan
2025-05-20T09:32:00.437778,0.032,0.679,0.006,0.733,-0.182,0.39,0.543,-0.721,11.952995300292969,nan
2025-05-20T09:32:00.533377,0.033,0.68,0.004,0.733,-0.182,0.389,0.544,-0.721,11.942771911621094,nan
2025-05-20T09:32:00.629676,0.034,0.68,0.003,0.733,-0.182,0.389,0.544,-0.721,11.935111999511719,nan
2025-05-20T09:32:00.725030,0.035,0.68,0.001,0.732,-0.181,0.389,0.544,-0.721,11.899337768554688,nan
2025-05-20T09:32:00.821746,0.037,0.68,-0.0,0.732,-0.181,0.389,0.543,-0.722,11.871238708496094,nan
2025-05-20T09:32:00.917257,0.039,0.68,-0.002,0.732,-0.181,0.389,0.544,-0.721,11.832908630371094,nan
2025-05-20T09:32:01.013556,0.04,0.68,-0.003,0.732,-0.181,0.389,0.543,-0.722,11.830352783203125,nan
2025-05-20T09:32:01.109139,0.041,0.68,-0.004,0.732,-0.181,0.39,0.542,-0.722,11.899337768554688,nan
2025-05-20T09:32:01.205559,0.042,0.68,-0.006,0.732,-0.181,0.39,0.542,-0.722,11.955551147460938,nan
2025-05-20T09:32:01.317091,0.044,0.68,-0.007,0.732,-0.181,0.389,0.543,-0.722,11.884010314941406,nan
2025-05-20T09:32:01.413377,0.046,0.68,-0.008,0.732,-0.18,0.39,0.542,-0.722,11.746040344238281,nan
2025-05-20T09:32:01.508972,0.049,0.679,-0.009,0.732,-0.18,0.39,0.542,-0.722,11.592742919921875,nan
2025-05-20T09:32:01.605298,0.049,0.68,-0.011,0.732,-0.181,0.389,0.542,-0.722,11.551856994628906,nan
2025-05-20T09:32:01.700884,0.049,0.68,-0.013,0.732,-0.18,0.389,0.542,-0.722,11.544197082519531,nan
2025-05-20T09:32:01.797178,0.05,0.68,-0.014,0.732,-0.18,0.389,0.543,-0.722,11.5467529296875,nan
2025-05-20T09:32:01.892833,0.052,0.68,-0.015,0.731,-0.18,0.389,0.543,-0.722,11.620841979980469,nan
2025-05-20T09:32:01.989159,0.052,0.68,-0.017,0.731,-0.18,0.389,0.543,-0.722,11.751152038574219,nan
2025-05-20T09:32:02.084708,0.053,0.68,-0.018,0.731,-0.18,0.389,0.543,-0.722,12.044975280761719,nan
2025-05-20T09:32:02.195444,0.056,0.679,-0.019,0.731,-0.18,0.389,0.542,-0.722,12.272369384765625,nan
2025-05-20T09:32:02.292649,0.058,0.679,-0.02,0.732,-0.18,0.39,0.542,-0.723,12.686279296875,nan
2025-05-20T09:32:02.388923,0.06,0.678,-0.022,0.732,-0.18,0.39,0.542,-0.723,13.041427612304688,nan
2025-05-20T09:32:02.484576,0.06,0.679,-0.024,0.732,-0.18,0.39,0.541,-0.723,13.687843322753906,nan
2025-05-20T09:32:02.580878,0.061,0.679,-0.026,0.731,-0.18,0.39,0.541,-0.723,14.183509826660156,nan
2025-05-20T09:32:02.676540,0.062,0.679,-0.027,0.731,-0.18,0.39,0.54,-0.724,14.929573059082031,nan
2025-05-20T09:32:02.772767,0.063,0.678,-0.029,0.731,-0.18,0.391,0.54,-0.724,15.310264587402344,nan
2025-05-20T09:32:02.868388,0.065,0.678,-0.03,0.731,-0.18,0.391,0.539,-0.724,15.780387878417969,nan
2025-05-20T09:32:02.964673,0.067,0.678,-0.031,0.731,-0.179,0.391,0.54,-0.724,16.17896270751953,nan
2025-05-20T09:32:03.074536,0.069,0.678,-0.032,0.731,-0.18,0.39,0.54,-0.723,16.89181137084961,nan
2025-05-20T09:32:03.172685,0.071,0.678,-0.034,0.731,-0.18,0.39,0.541,-0.723,17.392589569091797,nan
2025-05-20T09:32:03.268236,0.073,0.677,-0.035,0.731,-0.179,0.39,0.541,-0.723,18.1693115234375,nan
