Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-06-04T07:10:12.017848,-0.779,0.623,0.067,-0.043,-0.454,0.729,0.507,-0.078,1.2398834228515625,nan
2025-06-04T07:10:12.114149,-0.778,0.623,0.066,-0.044,-0.454,0.728,0.507,-0.078,1.1862258911132812,nan
2025-06-04T07:10:12.241813,-0.778,0.623,0.065,-0.045,-0.454,0.727,0.51,-0.079,1.1836700439453125,nan
2025-06-04T07:10:12.337995,-0.778,0.623,0.064,-0.046,-0.455,0.727,0.509,-0.078,1.2092208862304688,nan
2025-06-04T07:10:12.435280,-0.778,0.623,0.063,-0.047,-0.454,0.726,0.51,-0.079,1.2117767333984375,nan
2025-06-04T07:10:12.531636,-0.778,0.624,0.062,-0.048,-0.454,0.726,0.511,-0.08,1.2041091918945312,nan
2025-06-04T07:10:12.627217,-0.778,0.624,0.061,-0.049,-0.455,0.725,0.511,-0.08,1.1913375854492188,nan
2025-06-04T07:10:12.723537,-0.778,0.624,0.06,-0.05,-0.455,0.726,0.509,-0.078,1.1402359008789062,nan
2025-06-04T07:10:12.819163,-0.778,0.624,0.06,-0.05,-0.455,0.725,0.511,-0.078,1.086578369140625,nan
2025-06-04T07:10:12.915716,-0.778,0.624,0.059,-0.051,-0.455,0.724,0.512,-0.079,1.0124893188476562,nan
2025-06-04T07:10:13.027127,-0.778,0.624,0.058,-0.051,-0.455,0.724,0.512,-0.079,0.9792709350585938,nan
2025-06-04T07:10:13.123431,-0.778,0.624,0.058,-0.051,-0.455,0.723,0.513,-0.08,0.9332809448242188,nan
2025-06-04T07:10:13.219046,-0.778,0.624,0.058,-0.052,-0.455,0.723,0.513,-0.08,0.9051742553710938,nan
2025-06-04T07:10:13.315372,-0.778,0.624,0.057,-0.052,-0.455,0.723,0.513,-0.08,0.8540725708007812,nan
2025-06-04T07:10:13.411020,-0.778,0.624,0.057,-0.052,-0.455,0.722,0.514,-0.081,0.8310775756835938,nan
2025-06-04T07:10:13.507348,-0.778,0.624,0.057,-0.053,-0.455,0.722,0.515,-0.081,0.848968505859375,nan
2025-06-04T07:10:13.602932,-0.778,0.624,0.057,-0.053,-0.454,0.721,0.516,-0.083,0.8898468017578125,nan
2025-06-04T07:10:13.699308,-0.778,0.624,0.057,-0.053,-0.454,0.72,0.518,-0.084,0.9818267822265625,nan
2025-06-04T07:10:13.794917,-0.778,0.624,0.058,-0.052,-0.454,0.72,0.519,-0.085,1.032928466796875,nan
2025-06-04T07:10:13.907230,-0.778,0.624,0.058,-0.052,-0.453,0.719,0.52,-0.086,1.0916900634765625,nan
2025-06-04T07:10:14.002809,-0.778,0.624,0.059,-0.052,-0.452,0.719,0.521,-0.087,1.1197967529296875,nan
2025-06-04T07:10:14.099134,-0.778,0.624,0.059,-0.051,-0.453,0.719,0.521,-0.086,1.1479034423828125,nan
