Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-06-21T04:22:10.790552,-0.443,0.444,-0.476,0.616,0.302,-0.237,-0.673,0.632,-0.8935470581054688,nan
2025-06-21T04:22:10.886810,-0.444,0.445,-0.475,0.616,0.302,-0.236,-0.673,0.632,-0.9982986450195312,nan
2025-06-21T04:22:10.982522,-0.445,0.444,-0.474,0.617,0.302,-0.235,-0.674,0.632,-1.1490478515625,nan
2025-06-21T04:22:11.094609,-0.446,0.444,-0.474,0.616,0.302,-0.234,-0.674,0.632,-1.2078094482421875,nan
2025-06-21T04:22:11.192028,-0.447,0.445,-0.474,0.615,0.303,-0.234,-0.674,0.632,-1.2537994384765625,nan
2025-06-21T04:22:11.288325,-0.447,0.446,-0.473,0.614,0.303,-0.233,-0.674,0.632,-1.3100128173828125,nan
2025-06-21T04:22:11.383977,-0.448,0.446,-0.473,0.614,0.303,-0.232,-0.674,0.632,-1.4173202514648438,nan
2025-06-21T04:22:11.480296,-0.449,0.446,-0.473,0.614,0.303,-0.232,-0.675,0.632,-1.5169677734375,nan
2025-06-21T04:22:11.575845,-0.45,0.447,-0.472,0.612,0.304,-0.231,-0.675,0.632,-1.708587646484375,nan
2025-06-21T04:22:11.672141,-0.453,0.447,-0.472,0.61,0.304,-0.231,-0.675,0.632,-1.7877960205078125,nan
2025-06-21T04:22:11.767767,-0.456,0.446,-0.472,0.608,0.304,-0.231,-0.675,0.632,-1.810791015625,nan
2025-06-21T04:22:11.864079,-0.458,0.447,-0.471,0.607,0.304,-0.23,-0.675,0.631,-1.800567626953125,nan
2025-06-21T04:22:11.975713,-0.46,0.448,-0.471,0.606,0.303,-0.23,-0.675,0.632,-1.8159027099609375,nan
2025-06-21T04:22:12.072008,-0.46,0.449,-0.469,0.606,0.303,-0.23,-0.676,0.632,-1.8516693115234375,nan
2025-06-21T04:22:12.167643,-0.462,0.449,-0.468,0.604,0.303,-0.23,-0.676,0.631,-1.9180984497070312,nan
2025-06-21T04:22:12.263942,-0.465,0.45,-0.468,0.602,0.303,-0.23,-0.676,0.631,-1.9615325927734375,nan
2025-06-21T04:22:12.359562,-0.467,0.451,-0.466,0.601,0.303,-0.23,-0.676,0.631,-2.0279617309570312,nan
2025-06-21T04:22:12.455951,-0.468,0.453,-0.465,0.6,0.303,-0.23,-0.676,0.631,-2.06884765625,nan
2025-06-21T04:22:12.551545,-0.467,0.454,-0.464,0.6,0.303,-0.23,-0.676,0.631,-2.1020584106445312,nan
2025-06-21T04:22:12.647878,-0.467,0.455,-0.463,0.6,0.303,-0.231,-0.676,0.631,-2.140380859375,nan
2025-06-21T04:22:12.743479,-0.467,0.456,-0.462,0.6,0.303,-0.231,-0.676,0.631,-2.19659423828125,nan
2025-06-21T04:22:12.855802,-0.468,0.457,-0.461,0.6,0.303,-0.231,-0.676,0.631,-2.1812667846679688,nan
2025-06-21T04:22:12.951401,-0.467,0.458,-0.46,0.6,0.303,-0.231,-0.676,0.631,-2.076507568359375,nan
2025-06-21T04:22:13.047727,-0.467,0.459,-0.459,0.6,0.304,-0.232,-0.676,0.63,-1.9743118286132812,nan
2025-06-21T04:22:13.143310,-0.467,0.46,-0.458,0.6,0.304,-0.232,-0.676,0.63,-1.79290771484375,nan
2025-06-21T04:22:13.239674,-0.467,0.461,-0.457,0.6,0.304,-0.232,-0.676,0.63,-1.6498260498046875,nan
2025-06-21T04:22:13.335286,-0.466,0.462,-0.456,0.601,0.304,-0.232,-0.676,0.63,-1.4096527099609375,nan
2025-06-21T04:22:13.431628,-0.465,0.463,-0.455,0.602,0.304,-0.232,-0.676,0.63,-1.2333602905273438,nan
2025-06-21T04:22:13.527257,-0.464,0.464,-0.454,0.603,0.304,-0.232,-0.676,0.631,-0.9778594970703125,nan
2025-06-21T04:22:13.623637,-0.462,0.465,-0.453,0.604,0.303,-0.232,-0.676,0.631,-0.8143386840820312,nan
2025-06-21T04:22:13.719152,-0.461,0.466,-0.452,0.605,0.303,-0.232,-0.675,0.631,-0.530731201171875,nan
2025-06-21T04:22:13.830252,-0.46,0.466,-0.451,0.606,0.303,-0.232,-0.675,0.631,-0.3697662353515625,nan
2025-06-21T04:22:13.927143,-0.459,0.467,-0.451,0.607,0.302,-0.232,-0.675,0.631,-0.1168212890625,nan
2025-06-21T04:22:14.023385,-0.459,0.466,-0.451,0.607,0.302,-0.233,-0.675,0.631,0.131011962890625,nan
2025-06-21T04:22:14.119010,-0.461,0.466,-0.451,0.606,0.302,-0.233,-0.675,0.631,0.5679168701171875,nan
2025-06-21T04:22:14.215338,-0.461,0.466,-0.451,0.606,0.301,-0.233,-0.675,0.631,0.8361892700195312,nan
2025-06-21T04:22:14.310944,-0.461,0.465,-0.45,0.607,0.301,-0.233,-0.675,0.631,1.1632308959960938,nan
