Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-06-24T07:48:18.602463,0.175,-0.45,0.507,-0.714,0.03,0.101,0.743,-0.661,8.802680969238281,nan
2025-06-24T07:48:18.698560,0.175,-0.449,0.506,-0.715,0.03,0.1,0.742,-0.662,8.920211791992188,nan
2025-06-24T07:48:18.794354,0.174,-0.449,0.506,-0.716,0.03,0.1,0.742,-0.662,8.976417541503906,nan
2025-06-24T07:48:18.890430,0.175,-0.449,0.506,-0.715,0.03,0.099,0.742,-0.662,9.086288452148438,nan
2025-06-24T07:48:18.986305,0.175,-0.449,0.507,-0.715,0.029,0.098,0.742,-0.662,9.150161743164062,nan
2025-06-24T07:48:19.084066,0.174,-0.448,0.506,-0.716,0.029,0.098,0.742,-0.663,9.214035034179688,nan
2025-06-24T07:48:19.179637,0.174,-0.448,0.504,-0.718,0.029,0.097,0.742,-0.663,9.252357482910156,nan
2025-06-24T07:48:19.275939,0.173,-0.447,0.504,-0.719,0.029,0.096,0.742,-0.663,9.316238403320312,nan
2025-06-24T07:48:19.371582,0.173,-0.448,0.504,-0.718,0.029,0.096,0.742,-0.663,9.331565856933594,nan
2025-06-24T07:48:19.467886,0.173,-0.448,0.505,-0.717,0.028,0.095,0.742,-0.664,9.295799255371094,nan
2025-06-24T07:48:19.579542,0.173,-0.448,0.506,-0.717,0.028,0.094,0.741,-0.664,9.214035034179688,nan
2025-06-24T07:48:19.675837,0.173,-0.448,0.506,-0.717,0.028,0.094,0.741,-0.664,8.984085083007812,nan
2025-06-24T07:48:19.771411,0.173,-0.448,0.506,-0.717,0.024,0.093,0.742,-0.664,8.800125122070312,nan
2025-06-24T07:48:19.867693,0.175,-0.445,0.507,-0.717,0.022,0.092,0.742,-0.664,8.542068481445312,nan
2025-06-24T07:48:19.963335,0.176,-0.445,0.507,-0.717,0.022,0.091,0.742,-0.664,8.378547668457031,nan
2025-06-24T07:48:20.059620,0.176,-0.445,0.508,-0.717,0.022,0.091,0.742,-0.664,8.1971435546875,nan
2025-06-24T07:48:20.155261,0.176,-0.445,0.509,-0.716,0.022,0.09,0.742,-0.664,8.102607727050781,nan
2025-06-24T07:48:20.251552,0.176,-0.445,0.509,-0.716,0.022,0.089,0.741,-0.665,7.941642761230469,nan
2025-06-24T07:48:20.347256,0.176,-0.445,0.509,-0.715,0.022,0.089,0.741,-0.665,7.819007873535156,nan
2025-06-24T07:48:20.443467,0.176,-0.446,0.51,-0.714,0.023,0.089,0.741,-0.666,7.6146087646484375,nan
2025-06-24T07:48:20.555130,0.176,-0.446,0.511,-0.714,0.023,0.089,0.74,-0.666,7.471527099609375,nan
2025-06-24T07:48:20.651432,0.175,-0.446,0.511,-0.713,0.023,0.089,0.74,-0.666,7.285011291503906,nan
2025-06-24T07:48:20.747021,0.175,-0.446,0.511,-0.714,0.024,0.088,0.74,-0.666,7.177703857421875,nan
2025-06-24T07:48:20.843299,0.175,-0.446,0.511,-0.714,0.024,0.088,0.74,-0.667,6.998847961425781,nan
2025-06-24T07:48:20.938946,0.174,-0.446,0.51,-0.714,0.024,0.088,0.74,-0.667,6.876213073730469,nan
2025-06-24T07:48:21.035231,0.174,-0.446,0.51,-0.715,0.024,0.087,0.739,-0.667,6.6667022705078125,nan
2025-06-24T07:48:21.130878,0.174,-0.446,0.51,-0.715,0.024,0.087,0.739,-0.667,6.521064758300781,nan
2025-06-24T07:48:21.227123,0.174,-0.446,0.509,-0.716,0.024,0.086,0.739,-0.667,6.319221496582031,nan
2025-06-24T07:48:21.322783,0.173,-0.445,0.508,-0.717,0.024,0.086,0.739,-0.667,6.19146728515625,nan
2025-06-24T07:48:21.419049,0.174,-0.445,0.509,-0.716,0.024,0.086,0.74,-0.667,6.038169860839844,nan
2025-06-24T07:48:21.530706,0.174,-0.445,0.509,-0.716,0.024,0.086,0.74,-0.667,5.9666290283203125,nan
2025-06-24T07:48:21.627087,0.173,-0.445,0.509,-0.716,0.024,0.085,0.74,-0.667,5.9206390380859375,nan
2025-06-24T07:48:21.722663,0.172,-0.444,0.507,-0.719,0.024,0.085,0.74,-0.667,5.910423278808594,nan
2025-06-24T07:48:21.818918,0.171,-0.443,0.505,-0.721,0.024,0.085,0.74,-0.667,5.836326599121094,nan
2025-06-24T07:48:21.930545,0.17,-0.442,0.505,-0.722,0.025,0.085,0.74,-0.667,5.75201416015625,nan
2025-06-24T07:48:22.026827,0.171,-0.442,0.506,-0.721,0.025,0.085,0.74,-0.667,5.601264953613281,nan
2025-06-24T07:48:22.122457,0.171,-0.442,0.507,-0.719,0.025,0.085,0.74,-0.666,5.5067291259765625,nan
2025-06-24T07:48:22.234709,0.172,-0.442,0.509,-0.718,0.025,0.085,0.74,-0.666,5.4070892333984375,nan
2025-06-24T07:48:22.330403,0.172,-0.442,0.509,-0.718,0.025,0.085,0.74,-0.666,5.366203308105469,nan
2025-06-24T07:48:22.426661,0.172,-0.443,0.509,-0.718,0.026,0.085,0.74,-0.666,5.3151092529296875,nan
2025-06-24T07:48:22.522267,0.171,-0.442,0.508,-0.719,0.026,0.085,0.74,-0.666,5.2946624755859375,nan
2025-06-24T07:48:22.618654,0.171,-0.442,0.508,-0.72,0.026,0.085,0.74,-0.666,5.279335021972656,nan
2025-06-24T07:48:22.714194,0.17,-0.441,0.507,-0.72,0.026,0.085,0.74,-0.666,5.27166748046875,nan
2025-06-24T07:48:22.810505,0.171,-0.441,0.508,-0.719,0.027,0.085,0.74,-0.666,5.2537841796875,nan
2025-06-24T07:48:22.906079,0.171,-0.442,0.509,-0.719,0.027,0.085,0.74,-0.666,5.233345031738281,nan
2025-06-24T07:48:23.002416,0.171,-0.442,0.51,-0.718,0.027,0.085,0.74,-0.666,5.205238342285156,nan
2025-06-24T07:48:23.113995,0.171,-0.442,0.511,-0.717,0.028,0.086,0.74,-0.666,5.192466735839844,nan
2025-06-24T07:48:23.210297,0.171,-0.442,0.512,-0.716,0.028,0.086,0.74,-0.667,5.1796875,nan
2025-06-24T07:48:23.305908,0.17,-0.441,0.51,-0.719,0.028,0.086,0.74,-0.667,5.141365051269531,nan
2025-06-24T07:48:23.402260,0.169,-0.44,0.508,-0.721,0.027,0.088,0.74,-0.667,5.049385070800781,nan
2025-06-24T07:48:23.497826,0.168,-0.439,0.508,-0.722,0.026,0.089,0.74,-0.666,5.023834228515625,nan
2025-06-24T07:48:23.594280,0.168,-0.439,0.507,-0.723,0.027,0.089,0.74,-0.666,5.023834228515625,nan
2025-06-24T07:48:23.689650,0.168,-0.439,0.507,-0.722,0.027,0.089,0.74,-0.667,5.0647125244140625,nan
2025-06-24T07:48:23.785815,0.168,-0.439,0.508,-0.722,0.027,0.088,0.74,-0.667,5.192466735839844,nan
2025-06-24T07:48:23.881715,0.168,-0.439,0.509,-0.721,0.028,0.088,0.74,-0.667,5.2588958740234375,nan
2025-06-24T07:48:23.993847,0.168,-0.439,0.51,-0.721,0.028,0.088,0.74,-0.666,5.256340026855469,nan
2025-06-24T07:48:24.089700,0.168,-0.439,0.51,-0.72,0.028,0.088,0.74,-0.667,5.220573425292969,nan
2025-06-24T07:48:24.185975,0.168,-0.44,0.51,-0.72,0.028,0.088,0.74,-0.667,5.151588439941406,nan
2025-06-24T07:48:24.281531,0.167,-0.44,0.511,-0.72,0.028,0.088,0.74,-0.667,5.0928192138671875,nan
2025-06-24T07:48:24.377868,0.167,-0.44,0.511,-0.72,0.028,0.088,0.74,-0.666,5.013618469238281,nan
2025-06-24T07:48:24.473458,0.167,-0.44,0.511,-0.719,0.028,0.088,0.74,-0.666,4.975288391113281,nan
2025-06-24T07:48:24.569824,0.167,-0.44,0.511,-0.719,0.028,0.087,0.74,-0.666,4.934410095214844,nan
2025-06-24T07:48:24.665392,0.167,-0.44,0.511,-0.719,0.028,0.087,0.74,-0.666,4.9241943359375,nan
2025-06-24T07:48:24.761672,0.167,-0.44,0.512,-0.718,0.028,0.087,0.74,-0.666,4.906303405761719,nan
2025-06-24T07:48:24.857268,0.167,-0.44,0.513,-0.718,0.028,0.087,0.74,-0.666,4.888420104980469,nan
2025-06-24T07:48:24.969596,0.167,-0.44,0.514,-0.717,0.028,0.086,0.74,-0.666,4.911415100097656,nan
2025-06-24T07:48:25.065203,0.168,-0.44,0.514,-0.717,0.028,0.086,0.74,-0.666,4.9599609375,nan
2025-06-24T07:48:25.161498,0.168,-0.44,0.514,-0.717,0.028,0.086,0.741,-0.666,5.049385070800781,nan
2025-06-24T07:48:25.257115,0.168,-0.44,0.514,-0.717,0.028,0.086,0.741,-0.666,5.1209259033203125,nan
