Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-04-07T08:22:20.432874,-0.761,0.645,0.057,0.045,-0.169,0.122,0.687,-0.697,5.749458312988281,nan
2025-04-07T08:22:20.529112,-0.762,0.644,0.059,0.041,-0.168,0.121,0.687,-0.697,5.974296569824219,nan
2025-04-07T08:22:20.640846,-0.763,0.643,0.06,0.037,-0.168,0.119,0.687,-0.697,6.283447265625,nan
2025-04-07T08:22:20.736963,-0.764,0.642,0.062,0.032,-0.167,0.118,0.687,-0.697,6.495513916015625,nan
2025-04-07T08:22:20.834159,-0.765,0.641,0.063,0.028,-0.165,0.117,0.688,-0.697,6.791893005371094,nan
2025-04-07T08:22:20.929525,-0.766,0.639,0.065,0.025,-0.164,0.116,0.688,-0.698,6.888984680175781,nan
2025-04-07T08:22:21.025441,-0.767,0.638,0.066,0.021,-0.163,0.116,0.688,-0.698,7.0346221923828125,nan
2025-04-07T08:22:21.122490,-0.767,0.637,0.068,0.017,-0.162,0.115,0.688,-0.698,7.2364654541015625,nan
2025-04-07T08:22:21.218034,-0.768,0.636,0.069,0.014,-0.161,0.114,0.688,-0.698,7.5021820068359375,nan
2025-04-07T08:22:21.314048,-0.769,0.635,0.071,0.011,-0.161,0.113,0.688,-0.698,7.6682586669921875,nan
2025-04-07T08:22:21.409642,-0.769,0.635,0.073,0.009,-0.16,0.113,0.688,-0.699,7.99530029296875,nan
2025-04-07T08:22:21.521395,-0.77,0.634,0.075,0.007,-0.159,0.112,0.688,-0.699,8.166488647460938,nan
2025-04-07T08:22:21.617829,-0.77,0.633,0.078,0.005,-0.159,0.111,0.688,-0.7,8.284011840820312,nan
2025-04-07T08:22:21.713870,-0.771,0.632,0.081,0.003,-0.158,0.11,0.688,-0.7,8.312118530273438,nan
2025-04-07T08:22:21.809777,-0.771,0.632,0.084,0.002,-0.157,0.11,0.688,-0.7,8.365776062011719,nan
2025-04-07T08:22:21.905799,-0.771,0.631,0.086,0.0,-0.157,0.11,0.688,-0.7,8.460311889648438,nan
2025-04-07T08:22:22.001794,-0.771,0.63,0.089,-0.0,-0.156,0.109,0.687,-0.701,8.646827697753906,nan
2025-04-07T08:22:22.097460,-0.771,0.63,0.092,-0.001,-0.155,0.109,0.687,-0.701,8.761802673339844,nan
2025-04-07T08:22:22.193645,-0.771,0.629,0.095,-0.002,-0.154,0.108,0.687,-0.701,8.851226806640625,nan
2025-04-07T08:22:22.289641,-0.772,0.629,0.098,-0.003,-0.154,0.108,0.687,-0.702,8.848670959472656,nan
2025-04-07T08:22:22.400298,-0.772,0.628,0.1,-0.004,-0.153,0.107,0.687,-0.702,8.84100341796875,nan
2025-04-07T08:22:22.497559,-0.772,0.628,0.103,-0.004,-0.153,0.107,0.687,-0.702,8.810348510742188,nan
2025-04-07T08:22:22.593185,-0.772,0.627,0.106,-0.005,-0.152,0.106,0.687,-0.703,8.634048461914062,nan
2025-04-07T08:22:22.689463,-0.771,0.627,0.108,-0.005,-0.152,0.106,0.687,-0.703,8.457756042480469,nan
2025-04-07T08:22:22.785055,-0.771,0.627,0.111,-0.006,-0.152,0.105,0.687,-0.703,8.225250244140625,nan
2025-04-07T08:22:22.881397,-0.771,0.626,0.113,-0.006,-0.151,0.105,0.687,-0.703,8.038734436035156,nan
2025-04-07T08:22:22.977301,-0.771,0.626,0.116,-0.006,-0.151,0.104,0.687,-0.704,7.5711669921875,nan
2025-04-07T08:22:23.073322,-0.771,0.625,0.118,-0.007,-0.151,0.104,0.687,-0.704,7.244132995605469,nan
2025-04-07T08:22:23.169297,-0.771,0.625,0.12,-0.007,-0.151,0.103,0.686,-0.704,7.00140380859375,nan
2025-04-07T08:22:23.280280,-0.772,0.624,0.123,-0.007,-0.15,0.103,0.686,-0.704,6.955413818359375,nan
2025-04-07T08:22:23.376788,-0.772,0.623,0.124,-0.008,-0.15,0.103,0.686,-0.704,6.81744384765625,nan
2025-04-07T08:22:23.473136,-0.773,0.622,0.126,-0.008,-0.15,0.102,0.686,-0.705,6.689697265625,nan
2025-04-07T08:22:23.568974,-0.773,0.622,0.127,-0.008,-0.149,0.102,0.686,-0.705,6.55938720703125,nan
2025-04-07T08:22:23.664964,-0.773,0.621,0.129,-0.009,-0.149,0.102,0.686,-0.705,6.521064758300781,nan
2025-04-07T08:22:23.760868,-0.774,0.62,0.13,-0.009,-0.149,0.101,0.686,-0.705,6.439308166503906,nan
2025-04-07T08:22:23.857324,-0.774,0.62,0.132,-0.01,-0.148,0.101,0.686,-0.705,6.3447723388671875,nan
2025-04-07T08:22:23.952521,-0.774,0.619,0.133,-0.01,-0.148,0.1,0.686,-0.705,6.2349090576171875,nan
2025-04-07T08:22:24.049208,-0.774,0.618,0.134,-0.01,-0.148,0.1,0.686,-0.705,6.204246520996094,nan
2025-04-07T08:22:24.159208,-0.774,0.618,0.135,-0.011,-0.148,0.1,0.686,-0.705,6.1429290771484375,nan
2025-04-07T08:22:24.257074,-0.775,0.617,0.137,-0.011,-0.148,0.099,0.686,-0.705,6.0586090087890625,nan
2025-04-07T08:22:24.352305,-0.775,0.617,0.138,-0.012,-0.147,0.099,0.686,-0.705,5.946189880371094,nan
2025-04-07T08:22:24.449015,-0.775,0.616,0.139,-0.012,-0.147,0.099,0.686,-0.705,5.9129791259765625,nan
2025-04-07T08:22:24.544212,-0.775,0.616,0.14,-0.012,-0.147,0.099,0.686,-0.706,5.8925323486328125,nan
2025-04-07T08:22:24.640929,-0.775,0.615,0.141,-0.012,-0.147,0.098,0.686,-0.706,5.8669891357421875,nan
2025-04-07T08:22:24.736137,-0.776,0.615,0.142,-0.013,-0.146,0.098,0.686,-0.706,5.836326599121094,nan
2025-04-07T08:22:24.832827,-0.776,0.614,0.143,-0.013,-0.146,0.098,0.686,-0.706,5.841438293457031,nan
2025-04-07T08:22:24.928074,-0.776,0.614,0.144,-0.013,-0.146,0.098,0.686,-0.706,5.818443298339844,nan
2025-04-07T08:22:25.039322,-0.776,0.613,0.145,-0.014,-0.146,0.098,0.686,-0.706,5.757118225097656,nan
2025-04-07T08:22:25.151935,-0.777,0.613,0.145,-0.015,-0.145,0.098,0.686,-0.706,5.667694091796875,nan
2025-04-07T08:22:25.248614,-0.777,0.613,0.146,-0.015,-0.145,0.098,0.686,-0.706,5.5987091064453125,nan
2025-04-07T08:22:25.343849,-0.777,0.612,0.146,-0.016,-0.145,0.098,0.686,-0.706,5.555274963378906,nan
2025-04-07T08:22:25.440589,-0.777,0.612,0.145,-0.017,-0.145,0.098,0.686,-0.706,5.5859375,nan
2025-04-07T08:22:25.535773,-0.778,0.611,0.145,-0.018,-0.145,0.097,0.686,-0.706,5.596153259277344,nan
2025-04-07T08:22:25.632221,-0.778,0.611,0.145,-0.019,-0.145,0.097,0.686,-0.706,5.596153259277344,nan
2025-04-07T08:22:25.728071,-0.778,0.611,0.145,-0.02,-0.145,0.097,0.686,-0.706,5.6625823974609375,nan
2025-04-07T08:22:25.840019,-0.779,0.61,0.144,-0.021,-0.145,0.097,0.686,-0.706,5.741790771484375,nan
2025-04-07T08:22:25.935930,-0.779,0.61,0.144,-0.022,-0.145,0.097,0.686,-0.706,5.951301574707031,nan
2025-04-07T08:22:26.032300,-0.779,0.61,0.143,-0.023,-0.145,0.097,0.686,-0.706,6.148033142089844,nan
2025-04-07T08:22:26.127791,-0.779,0.61,0.143,-0.024,-0.144,0.096,0.686,-0.706,6.411201477050781,nan
2025-04-07T08:22:26.224173,-0.779,0.61,0.143,-0.025,-0.144,0.096,0.686,-0.706,6.549171447753906,nan
2025-04-07T08:22:26.319362,-0.779,0.609,0.143,-0.026,-0.144,0.096,0.686,-0.706,6.699913024902344,nan
2025-04-07T08:22:26.416091,-0.78,0.609,0.144,-0.026,-0.144,0.096,0.687,-0.706,6.825111389160156,nan
2025-04-07T08:22:26.511680,-0.78,0.609,0.144,-0.026,-0.143,0.097,0.686,-0.706,7.121490478515625,nan
2025-04-07T08:22:26.608043,-0.78,0.608,0.145,-0.026,-0.143,0.096,0.686,-0.706,7.341217041015625,nan
2025-04-07T08:22:26.719492,-0.78,0.608,0.146,-0.025,-0.143,0.096,0.686,-0.706,7.6605987548828125,nan
2025-04-07T08:22:26.815929,-0.78,0.607,0.147,-0.025,-0.143,0.096,0.686,-0.706,7.877769470214844,nan
2025-04-07T08:22:26.911426,-0.78,0.607,0.148,-0.025,-0.143,0.096,0.686,-0.707,8.220138549804688,nan
2025-04-07T08:22:27.007820,-0.781,0.607,0.149,-0.024,-0.143,0.096,0.686,-0.707,8.442428588867188,nan
2025-04-07T08:22:27.103339,-0.78,0.606,0.15,-0.024,-0.143,0.097,0.686,-0.707,8.795013427734375,nan
2025-04-07T08:22:27.199859,-0.781,0.606,0.151,-0.024,-0.143,0.097,0.686,-0.707,9.047958374023438,nan
2025-04-07T08:22:27.294917,-0.781,0.605,0.152,-0.024,-0.143,0.097,0.686,-0.707,9.426101684570312,nan
2025-04-07T08:22:27.391677,-0.781,0.605,0.153,-0.024,-0.142,0.097,0.686,-0.707,9.653495788574219,nan
2025-04-07T08:22:27.487166,-0.781,0.605,0.154,-0.023,-0.142,0.097,0.686,-0.707,9.972869873046875,nan
2025-04-07T08:22:27.583615,-0.781,0.605,0.155,-0.023,-0.143,0.097,0.686,-0.707,10.200263977050781,nan
2025-04-07T08:22:27.695076,-0.781,0.605,0.155,-0.023,-0.143,0.097,0.686,-0.707,10.53497314453125,nan
2025-04-07T08:22:27.791494,-0.781,0.605,0.156,-0.023,-0.143,0.097,0.686,-0.707,10.747032165527344,nan
2025-04-07T08:22:27.886978,-0.781,0.604,0.156,-0.023,-0.143,0.097,0.686,-0.707,11.130287170410156,nan
2025-04-07T08:22:27.982959,-0.781,0.604,0.157,-0.023,-0.143,0.097,0.686,-0.707,11.385787963867188,nan
2025-04-07T08:22:28.078869,-0.781,0.604,0.157,-0.023,-0.143,0.097,0.686,-0.707,11.684722900390625,nan
2025-04-07T08:22:28.175200,-0.781,0.604,0.158,-0.023,-0.143,0.097,0.686,-0.707,11.863571166992188,nan
2025-04-07T08:22:28.270787,-0.781,0.604,0.158,-0.023,-0.142,0.097,0.686,-0.707,12.124183654785156,nan
2025-04-07T08:22:28.367135,-0.781,0.604,0.158,-0.023,-0.142,0.097,0.686,-0.707,12.277481079101562,nan
2025-04-07T08:22:28.462664,-0.781,0.604,0.159,-0.023,-0.142,0.097,0.686,-0.707,12.466552734375,nan
2025-04-07T08:22:28.559050,-0.781,0.604,0.159,-0.023,-0.142,0.097,0.686,-0.707,12.568748474121094,nan
2025-04-07T08:22:28.670579,-0.781,0.603,0.16,-0.023,-0.142,0.097,0.686,-0.707,12.706718444824219,nan
2025-04-07T08:22:28.766966,-0.781,0.603,0.16,-0.024,-0.142,0.097,0.686,-0.707,12.811477661132812,nan
2025-04-07T08:22:28.862243,-0.781,0.603,0.159,-0.024,-0.142,0.097,0.686,-0.707,12.990325927734375,nan
2025-04-07T08:22:28.958892,-0.781,0.603,0.158,-0.025,-0.142,0.097,0.686,-0.707,13.107856750488281,nan
2025-04-07T08:22:29.054432,-0.781,0.603,0.157,-0.025,-0.142,0.097,0.686,-0.707,13.289260864257812,nan
2025-04-07T08:22:29.150867,-0.781,0.604,0.157,-0.026,-0.142,0.097,0.686,-0.707,13.465553283691406,nan
2025-04-07T08:22:29.246346,-0.781,0.604,0.156,-0.027,-0.142,0.097,0.686,-0.707,13.820701599121094,nan
2025-04-07T08:22:29.342686,-0.781,0.604,0.155,-0.028,-0.142,0.097,0.686,-0.707,14.119636535644531,nan
2025-04-07T08:22:29.454233,-0.781,0.604,0.154,-0.029,-0.142,0.097,0.686,-0.707,14.625526428222656,nan
2025-04-07T08:22:29.550614,-0.781,0.604,0.153,-0.029,-0.142,0.097,0.686,-0.707,14.990890502929688,nan
2025-04-07T08:22:29.646136,-0.781,0.604,0.153,-0.03,-0.142,0.097,0.686,-0.707,15.547882080078125,nan
2025-04-07T08:22:29.742519,-0.781,0.605,0.152,-0.031,-0.142,0.097,0.686,-0.707,15.920913696289062,nan
