Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-05-20T09:52:17.229844,-0.669,0.666,-0.003,0.33,-0.223,0.301,0.567,-0.734,0.7672042846679688,nan
2025-05-20T09:52:17.326168,-0.668,0.667,-0.003,0.331,-0.223,0.3,0.567,-0.734,0.7058868408203125,nan
2025-05-20T09:52:17.421826,-0.667,0.668,-0.004,0.331,-0.222,0.299,0.567,-0.735,0.5576934814453125,nan
2025-05-20T09:52:17.517904,-0.665,0.669,-0.004,0.331,-0.221,0.299,0.567,-0.735,0.45294189453125,nan
2025-05-20T09:52:17.613743,-0.664,0.67,-0.005,0.332,-0.221,0.298,0.567,-0.735,0.26898193359375,nan
2025-05-20T09:52:17.709893,-0.663,0.671,-0.005,0.332,-0.221,0.298,0.567,-0.736,0.113128662109375,nan
2025-05-20T09:52:17.807213,-0.661,0.672,-0.006,0.333,-0.222,0.297,0.566,-0.736,0.01348114013671875,nan
2025-05-20T09:52:17.903509,-0.66,0.673,-0.006,0.333,-0.222,0.297,0.566,-0.736,0.074798583984375,nan
2025-05-20T09:52:17.999151,-0.658,0.675,-0.006,0.334,-0.222,0.296,0.566,-0.737,0.30219268798828125,nan
2025-05-20T09:52:18.095457,-0.654,0.677,-0.005,0.337,-0.225,0.3,0.563,-0.736,0.5525894165039062,nan
2025-05-20T09:52:18.190972,-0.647,0.68,-0.003,0.345,-0.229,0.308,0.558,-0.736,1.1197967529296875,nan
2025-05-20T09:52:18.303292,-0.639,0.682,-0.001,0.356,-0.233,0.317,0.552,-0.735,1.5873641967773438,nan
2025-05-20T09:52:18.398848,-0.632,0.683,0.0,0.366,-0.237,0.324,0.546,-0.735,2.2107772827148438,nan
2025-05-20T09:52:18.495164,-0.627,0.684,0.001,0.373,-0.241,0.329,0.542,-0.734,2.5991439819335938,nan
2025-05-20T09:52:18.590761,-0.624,0.685,0.002,0.376,-0.244,0.331,0.54,-0.734,3.1765670776367188,nan
2025-05-20T09:52:18.687098,-0.623,0.686,0.003,0.375,-0.244,0.33,0.54,-0.735,3.4984970092773438,nan
2025-05-20T09:52:18.782681,-0.623,0.687,0.003,0.374,-0.244,0.328,0.54,-0.736,3.9354019165039062,nan
2025-05-20T09:52:18.879010,-0.627,0.683,0.001,0.375,-0.249,0.343,0.535,-0.731,4.226676940917969,nan
2025-05-20T09:52:18.974656,-0.632,0.678,-0.008,0.375,-0.253,0.347,0.534,-0.728,4.612480163574219,nan
2025-05-20T09:52:19.071086,-0.638,0.672,-0.014,0.375,-0.253,0.347,0.534,-0.728,4.7887725830078125,nan
2025-05-20T09:52:19.182609,-0.642,0.667,-0.015,0.377,-0.253,0.346,0.534,-0.729,4.988067626953125,nan
2025-05-20T09:52:19.278889,-0.646,0.664,-0.014,0.375,-0.251,0.344,0.534,-0.73,5.1439208984375,nan
2025-05-20T09:52:19.374572,-0.654,0.66,-0.019,0.368,-0.25,0.34,0.538,-0.73,5.353431701660156,nan
2025-05-20T09:52:19.470870,-0.661,0.657,-0.02,0.362,-0.249,0.338,0.539,-0.73,5.4709625244140625,nan
2025-05-20T09:52:19.566459,-0.662,0.658,-0.018,0.357,-0.248,0.338,0.54,-0.73,5.575714111328125,nan
2025-05-20T09:52:19.662759,-0.664,0.658,-0.016,0.355,-0.247,0.336,0.541,-0.73,5.437744140625,nan
2025-05-20T09:52:19.758358,-0.668,0.655,-0.008,0.354,-0.24,0.333,0.545,-0.731,4.9727325439453125,nan
2025-05-20T09:52:19.854669,-0.672,0.654,-0.0,0.346,-0.232,0.329,0.549,-0.732,4.668693542480469,nan
2025-05-20T09:52:19.950299,-0.675,0.655,0.006,0.339,-0.228,0.327,0.552,-0.732,4.267555236816406,nan
2025-05-20T09:52:20.046729,-0.675,0.658,0.011,0.334,-0.227,0.326,0.553,-0.733,3.9916152954101562,nan
2025-05-20T09:52:20.157867,-0.674,0.659,0.011,0.334,-0.226,0.326,0.553,-0.732,3.5112762451171875,nan
2025-05-20T09:52:20.254493,-0.672,0.661,0.011,0.333,-0.226,0.325,0.554,-0.733,3.1714630126953125,nan
2025-05-20T09:52:20.350091,-0.669,0.663,0.011,0.336,-0.228,0.329,0.55,-0.733,2.7473297119140625,nan
2025-05-20T09:52:20.446404,-0.661,0.665,0.009,0.348,-0.234,0.335,0.546,-0.732,2.5173797607421875,nan
2025-05-20T09:52:20.541997,-0.654,0.667,0.008,0.358,-0.242,0.341,0.54,-0.731,2.2542190551757812,nan
2025-05-20T09:52:20.638277,-0.644,0.676,0.015,0.358,-0.248,0.345,0.535,-0.73,2.1111373901367188,nan
2025-05-20T09:52:20.733913,-0.638,0.685,0.021,0.351,-0.253,0.347,0.532,-0.73,1.8709640502929688,nan
2025-05-20T09:52:20.830229,-0.634,0.694,0.029,0.341,-0.253,0.346,0.531,-0.731,1.7329940795898438,nan
2025-05-20T09:52:20.925534,-0.631,0.7,0.036,0.332,-0.252,0.344,0.532,-0.732,1.6282424926757812,nan
2025-05-20T09:52:21.022161,-0.631,0.703,0.047,0.325,-0.249,0.342,0.532,-0.733,1.6052474975585938,nan
2025-05-20T09:52:21.117968,-0.631,0.706,0.055,0.317,-0.247,0.341,0.533,-0.734,1.5975799560546875,nan
2025-05-20T09:52:21.230162,-0.628,0.711,0.061,0.31,-0.246,0.339,0.534,-0.734,1.602691650390625,nan
2025-05-20T09:52:21.325681,-0.626,0.715,0.067,0.303,-0.245,0.338,0.535,-0.735,1.6256866455078125,nan
2025-05-20T09:52:21.421981,-0.625,0.717,0.071,0.3,-0.245,0.339,0.535,-0.734,1.6410140991210938,nan
2025-05-20T09:52:21.517610,-0.624,0.719,0.077,0.295,-0.248,0.343,0.533,-0.732,1.648681640625,nan
2025-05-20T09:52:21.613885,-0.624,0.72,0.08,0.291,-0.251,0.346,0.533,-0.731,1.6537933349609375,nan
2025-05-20T09:52:21.709497,-0.624,0.722,0.086,0.286,-0.25,0.345,0.533,-0.731,1.6563491821289062,nan
2025-05-20T09:52:21.805836,-0.625,0.722,0.089,0.283,-0.248,0.343,0.534,-0.732,1.676788330078125,nan
2025-05-20T09:52:21.901392,-0.625,0.723,0.094,0.279,-0.249,0.344,0.534,-0.731,1.730438232421875,nan
2025-05-20T09:52:21.997799,-0.626,0.723,0.097,0.276,-0.249,0.343,0.534,-0.732,1.7176666259765625,nan
2025-05-20T09:52:22.093324,-0.628,0.724,0.099,0.268,-0.248,0.34,0.535,-0.732,1.6435699462890625,nan
2025-05-20T09:52:22.221632,-0.63,0.725,0.103,0.26,-0.247,0.336,0.537,-0.733,1.6078033447265625,nan
2025-05-20T09:52:22.317508,-0.633,0.727,0.105,0.247,-0.246,0.334,0.538,-0.734,1.5745849609375,nan
2025-05-20T09:52:22.411963,-0.636,0.728,0.108,0.233,-0.245,0.331,0.539,-0.735,1.5643692016601562,nan
2025-05-20T09:52:22.507695,-0.641,0.727,0.11,0.221,-0.245,0.328,0.541,-0.735,1.5771408081054688,nan
2025-05-20T09:52:22.603782,-0.647,0.724,0.108,0.215,-0.245,0.325,0.542,-0.735,1.602691650390625,nan
2025-05-20T09:52:22.699626,-0.65,0.722,0.105,0.214,-0.25,0.328,0.542,-0.732,1.6537933349609375,nan
2025-05-20T09:52:22.795735,-0.649,0.723,0.108,0.209,-0.256,0.331,0.539,-0.731,1.6818923950195312,nan
2025-05-20T09:52:22.891576,-0.649,0.724,0.112,0.205,-0.257,0.329,0.54,-0.731,1.7329940795898438,nan
2025-05-20T09:52:22.987703,-0.65,0.723,0.116,0.201,-0.258,0.327,0.541,-0.731,1.7789840698242188,nan
