Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-04-07T08:16:54.903171,0.68,-0.588,0.173,-0.402,-0.222,0.226,0.702,-0.638,7.893096923828125,nan
2025-04-07T08:16:54.999689,0.68,-0.588,0.173,-0.402,-0.222,0.226,0.702,-0.638,7.7985687255859375,nan
2025-04-07T08:16:55.095463,0.68,-0.588,0.173,-0.403,-0.221,0.226,0.702,-0.638,7.7525787353515625,nan
2025-04-07T08:16:55.191614,0.679,-0.589,0.173,-0.403,-0.221,0.225,0.702,-0.638,7.716804504394531,nan
2025-04-07T08:16:55.304918,0.679,-0.588,0.172,-0.403,-0.221,0.226,0.702,-0.638,7.7065887451171875,nan
2025-04-07T08:16:55.401221,0.679,-0.588,0.172,-0.404,-0.221,0.226,0.702,-0.638,7.7065887451171875,nan
2025-04-07T08:16:55.496105,0.679,-0.588,0.172,-0.404,-0.221,0.226,0.702,-0.638,7.7244720458984375,nan
2025-04-07T08:16:55.606848,0.679,-0.588,0.171,-0.405,-0.221,0.226,0.702,-0.638,7.721916198730469,nan
2025-04-07T08:16:55.703323,0.679,-0.588,0.171,-0.405,-0.221,0.226,0.702,-0.638,7.688697814941406,nan
2025-04-07T08:16:55.799396,0.678,-0.588,0.171,-0.405,-0.221,0.226,0.702,-0.638,7.70147705078125,nan
2025-04-07T08:16:55.895144,0.679,-0.588,0.171,-0.405,-0.221,0.226,0.702,-0.639,7.744911193847656,nan
2025-04-07T08:16:55.991316,0.678,-0.588,0.171,-0.406,-0.221,0.226,0.702,-0.639,7.7781219482421875,nan
2025-04-07T08:16:56.087077,0.678,-0.588,0.171,-0.406,-0.221,0.226,0.702,-0.639,7.767906188964844,nan
2025-04-07T08:16:56.183219,0.678,-0.588,0.171,-0.406,-0.221,0.225,0.702,-0.639,7.755126953125,nan
2025-04-07T08:16:56.279026,0.678,-0.588,0.171,-0.407,-0.221,0.225,0.702,-0.639,7.750022888183594,nan
2025-04-07T08:16:56.375141,0.678,-0.588,0.172,-0.407,-0.221,0.225,0.702,-0.639,7.7244720458984375,nan
2025-04-07T08:16:56.486347,0.678,-0.588,0.172,-0.407,-0.221,0.226,0.702,-0.639,7.721916198730469,nan
2025-04-07T08:16:56.583056,0.678,-0.588,0.172,-0.407,-0.221,0.226,0.701,-0.639,7.744911193847656,nan
2025-04-07T08:16:56.678855,0.678,-0.587,0.173,-0.406,-0.221,0.226,0.701,-0.639,7.7244720458984375,nan
2025-04-07T08:16:56.774987,0.679,-0.587,0.173,-0.406,-0.221,0.226,0.701,-0.639,7.647819519042969,nan
2025-04-07T08:16:56.870760,0.679,-0.587,0.174,-0.406,-0.221,0.226,0.701,-0.639,7.635047912597656,nan
2025-04-07T08:16:56.966890,0.679,-0.587,0.174,-0.406,-0.221,0.226,0.701,-0.639,7.665702819824219,nan
2025-04-07T08:16:57.062698,0.679,-0.587,0.175,-0.405,-0.221,0.226,0.701,-0.639,7.665702819824219,nan
2025-04-07T08:16:57.158882,0.679,-0.586,0.175,-0.406,-0.22,0.226,0.701,-0.639,7.655487060546875,nan
2025-04-07T08:16:57.254626,0.679,-0.586,0.175,-0.406,-0.22,0.227,0.701,-0.639,7.6784820556640625,nan
2025-04-07T08:16:57.366762,0.679,-0.586,0.175,-0.406,-0.22,0.227,0.701,-0.639,7.739799499511719,nan
2025-04-07T08:16:57.462562,0.679,-0.586,0.175,-0.406,-0.22,0.227,0.701,-0.639,7.7602386474609375,nan
2025-04-07T08:16:57.558652,0.679,-0.586,0.174,-0.407,-0.22,0.227,0.701,-0.639,7.7602386474609375,nan
2025-04-07T08:16:57.654468,0.678,-0.586,0.174,-0.407,-0.22,0.227,0.701,-0.639,7.755126953125,nan
2025-04-07T08:16:57.750586,0.678,-0.586,0.174,-0.408,-0.22,0.227,0.701,-0.639,7.7704620361328125,nan
2025-04-07T08:16:57.846395,0.678,-0.586,0.173,-0.408,-0.22,0.228,0.701,-0.639,7.765350341796875,nan
2025-04-07T08:16:57.942526,0.678,-0.586,0.173,-0.409,-0.22,0.228,0.701,-0.639,7.6963653564453125,nan
2025-04-07T08:16:58.038291,0.678,-0.586,0.173,-0.409,-0.22,0.228,0.701,-0.639,7.658042907714844,nan
2025-04-07T08:16:58.134421,0.677,-0.586,0.173,-0.409,-0.22,0.228,0.701,-0.639,7.652931213378906,nan
2025-04-07T08:16:58.230232,0.677,-0.586,0.173,-0.41,-0.221,0.227,0.701,-0.639,7.642707824707031,nan
2025-04-07T08:16:58.342347,0.677,-0.586,0.173,-0.41,-0.221,0.228,0.701,-0.639,7.606941223144531,nan
2025-04-07T08:16:58.438153,0.677,-0.586,0.173,-0.41,-0.221,0.228,0.701,-0.639,7.601829528808594,nan
2025-04-07T08:16:58.534290,0.677,-0.586,0.173,-0.41,-0.221,0.228,0.701,-0.639,7.629936218261719,nan
2025-04-07T08:16:58.630058,0.678,-0.586,0.174,-0.409,-0.221,0.228,0.701,-0.639,7.6401519775390625,nan
2025-04-07T08:16:58.726186,0.678,-0.586,0.175,-0.408,-0.221,0.228,0.701,-0.639,7.645263671875,nan
2025-04-07T08:16:58.822015,0.678,-0.586,0.175,-0.408,-0.221,0.228,0.701,-0.639,7.658042907714844,nan
2025-04-07T08:16:58.918220,0.679,-0.585,0.176,-0.407,-0.221,0.228,0.701,-0.639,7.721916198730469,nan
2025-04-07T08:16:59.013936,0.679,-0.585,0.178,-0.406,-0.221,0.228,0.701,-0.639,7.762794494628906,nan
2025-04-07T08:16:59.110089,0.68,-0.584,0.178,-0.405,-0.22,0.228,0.7,-0.639,7.73724365234375,nan
2025-04-07T08:16:59.221845,0.681,-0.584,0.179,-0.404,-0.22,0.229,0.7,-0.639,7.6784820556640625,nan
