Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-04-07T08:58:10.754142,-0.39,0.406,-0.427,0.707,-0.374,0.415,-0.567,0.605,9.717369079589844,nan
2025-04-07T08:58:10.850308,-0.391,0.406,-0.433,0.704,-0.368,0.408,-0.573,0.608,9.589622497558594,nan
2025-04-07T08:58:10.946060,-0.39,0.406,-0.436,0.702,-0.362,0.402,-0.578,0.611,9.403106689453125,nan
2025-04-07T08:58:11.058239,-0.389,0.406,-0.438,0.701,-0.356,0.395,-0.582,0.615,9.254913330078125,nan
2025-04-07T08:58:11.154044,-0.389,0.405,-0.44,0.701,-0.351,0.389,-0.587,0.618,9.070953369140625,nan
2025-04-07T08:58:11.250171,-0.388,0.404,-0.442,0.701,-0.346,0.384,-0.59,0.62,8.981529235839844,nan
2025-04-07T08:58:11.346002,-0.387,0.403,-0.443,0.701,-0.342,0.38,-0.593,0.622,8.851226806640625,nan
2025-04-07T08:58:11.442089,-0.387,0.401,-0.445,0.701,-0.337,0.374,-0.597,0.625,8.772018432617188,nan
2025-04-07T08:58:11.537854,-0.385,0.399,-0.445,0.703,-0.332,0.369,-0.601,0.627,8.672378540039062,nan
2025-04-07T08:58:11.633993,-0.385,0.397,-0.446,0.704,-0.327,0.364,-0.604,0.629,8.618721008300781,nan
2025-04-07T08:58:11.729759,-0.384,0.395,-0.447,0.705,-0.323,0.359,-0.606,0.632,8.54718017578125,nan
2025-04-07T08:58:11.825903,-0.383,0.393,-0.447,0.706,-0.318,0.355,-0.609,0.634,8.524185180664062,nan
2025-04-07T08:58:11.937666,-0.382,0.389,-0.445,0.71,-0.315,0.351,-0.612,0.636,8.519073486328125,nan
2025-04-07T08:58:12.033805,-0.379,0.386,-0.444,0.714,-0.311,0.347,-0.614,0.638,8.490966796875,nan
2025-04-07T08:58:12.129566,-0.378,0.385,-0.446,0.714,-0.307,0.343,-0.616,0.639,8.370887756347656,nan
2025-04-07T08:58:12.225707,-0.377,0.384,-0.447,0.714,-0.304,0.34,-0.618,0.641,8.309562683105469,nan
2025-04-07T08:58:12.321482,-0.375,0.382,-0.447,0.717,-0.299,0.336,-0.619,0.643,8.284011840820312,nan
2025-04-07T08:58:12.417626,-0.374,0.381,-0.448,0.717,-0.296,0.333,-0.621,0.645,8.248245239257812,nan
2025-04-07T08:58:12.513465,-0.374,0.38,-0.449,0.717,-0.293,0.33,-0.622,0.646,8.225250244140625,nan
2025-04-07T08:58:12.609536,-0.373,0.38,-0.451,0.716,-0.291,0.328,-0.623,0.647,8.186927795410156,nan
2025-04-07T08:58:12.705331,-0.373,0.381,-0.454,0.714,-0.288,0.325,-0.625,0.649,8.161376953125,nan
2025-04-07T08:58:12.817369,-0.372,0.382,-0.457,0.712,-0.285,0.322,-0.627,0.65,8.120498657226562,nan
2025-04-07T08:58:12.913225,-0.371,0.382,-0.46,0.711,-0.282,0.319,-0.628,0.651,8.112831115722656,nan
2025-04-07T08:58:13.009348,-0.369,0.382,-0.46,0.712,-0.28,0.317,-0.63,0.652,8.130714416503906,nan
2025-04-07T08:58:13.105141,-0.368,0.382,-0.462,0.711,-0.278,0.315,-0.631,0.653,8.10516357421875,nan
2025-04-07T08:58:13.201263,-0.367,0.383,-0.464,0.709,-0.276,0.313,-0.632,0.653,8.008071899414062,nan
2025-04-07T08:58:13.297113,-0.365,0.383,-0.464,0.71,-0.274,0.311,-0.632,0.655,7.969749450683594,nan
2025-04-07T08:58:13.393164,-0.364,0.383,-0.464,0.711,-0.272,0.309,-0.633,0.656,7.956977844238281,nan
2025-04-07T08:58:13.488980,-0.364,0.381,-0.468,0.71,-0.27,0.308,-0.634,0.657,7.931427001953125,nan
2025-04-07T08:58:13.585122,-0.364,0.38,-0.47,0.709,-0.268,0.306,-0.634,0.657,7.8803253173828125,nan
2025-04-07T08:58:13.696876,-0.363,0.379,-0.47,0.71,-0.266,0.304,-0.635,0.658,7.854774475097656,nan
2025-04-07T08:58:13.793001,-0.362,0.378,-0.469,0.711,-0.265,0.303,-0.636,0.659,7.8522186279296875,nan
2025-04-07T08:58:13.888790,-0.361,0.377,-0.47,0.712,-0.263,0.3,-0.637,0.66,7.8803253173828125,nan
2025-04-07T08:58:13.984926,-0.361,0.374,-0.47,0.713,-0.261,0.299,-0.637,0.661,7.997856140136719,nan
2025-04-07T08:58:14.080742,-0.361,0.371,-0.469,0.716,-0.26,0.298,-0.638,0.661,8.135826110839844,nan
2025-04-07T08:58:14.176863,-0.358,0.361,-0.465,0.725,-0.258,0.296,-0.638,0.662,8.391326904296875,nan
2025-04-07T08:58:14.272707,-0.353,0.353,-0.462,0.733,-0.256,0.294,-0.64,0.663,8.544624328613281,nan
2025-04-07T08:58:14.368814,-0.351,0.348,-0.461,0.737,-0.255,0.292,-0.64,0.663,8.779685974121094,nan
2025-04-07T08:58:14.464565,-0.35,0.346,-0.462,0.737,-0.254,0.291,-0.641,0.664,8.963645935058594,nan
2025-04-07T08:58:14.560685,-0.347,0.344,-0.462,0.74,-0.253,0.29,-0.641,0.664,9.239585876464844,nan
2025-04-07T08:58:14.672464,-0.346,0.343,-0.464,0.74,-0.252,0.29,-0.642,0.664,9.451652526855469,nan
2025-04-07T08:58:14.768571,-0.344,0.342,-0.465,0.74,-0.251,0.288,-0.642,0.664,9.822128295898438,nan
2025-04-07T08:58:14.864364,-0.343,0.343,-0.468,0.739,-0.25,0.287,-0.643,0.664,10.108283996582031,nan
2025-04-07T08:58:14.960488,-0.341,0.344,-0.47,0.738,-0.25,0.287,-0.643,0.664,10.560523986816406,nan
2025-04-07T08:58:15.056282,-0.339,0.344,-0.471,0.738,-0.249,0.286,-0.643,0.665,10.777694702148438,nan
2025-04-07T08:58:15.152427,-0.338,0.343,-0.473,0.738,-0.248,0.286,-0.644,0.665,11.015312194824219,nan
2025-04-07T08:58:15.248197,-0.338,0.344,-0.476,0.735,-0.247,0.285,-0.644,0.666,11.163497924804688,nan
2025-04-07T08:58:15.378130,-0.336,0.345,-0.479,0.733,-0.246,0.285,-0.644,0.666,11.260589599609375,nan
2025-04-07T08:58:15.473212,-0.335,0.346,-0.48,0.733,-0.245,0.284,-0.645,0.666,11.258033752441406,nan
2025-04-07T08:58:15.569539,-0.334,0.345,-0.48,0.734,-0.244,0.283,-0.645,0.667,11.2886962890625,nan
2025-04-07T08:58:15.665486,-0.332,0.345,-0.48,0.735,-0.244,0.282,-0.645,0.667,11.321907043457031,nan
2025-04-07T08:58:15.761433,-0.331,0.344,-0.481,0.735,-0.243,0.281,-0.646,0.667,11.367897033691406,nan
2025-04-07T08:58:15.857414,-0.33,0.344,-0.481,0.736,-0.242,0.281,-0.646,0.668,11.3985595703125,nan
2025-04-07T08:58:15.953772,-0.329,0.345,-0.484,0.734,-0.241,0.28,-0.646,0.668,11.418998718261719,nan
2025-04-07T08:58:16.049021,-0.328,0.346,-0.487,0.732,-0.24,0.279,-0.647,0.668,11.401115417480469,nan
