Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-19T07:35:50.673515,-0.147,0.063,-0.738,0.656,-0.642,0.754,-0.131,0.044,4.410636901855469,nan
2025-03-19T07:35:50.769951,-0.143,0.061,-0.738,0.657,-0.642,0.754,-0.131,0.044,4.185798645019531,nan
2025-03-19T07:35:50.865411,-0.14,0.06,-0.738,0.658,-0.642,0.754,-0.13,0.043,4.147468566894531,nan
2025-03-19T07:35:50.961596,-0.138,0.058,-0.737,0.659,-0.642,0.754,-0.129,0.042,4.13214111328125,nan
2025-03-19T07:35:51.057307,-0.136,0.057,-0.737,0.66,-0.642,0.754,-0.128,0.042,4.152580261230469,nan
2025-03-19T07:35:51.169648,-0.133,0.056,-0.736,0.661,-0.642,0.754,-0.128,0.041,4.170463562011719,nan
2025-03-19T07:35:51.264943,-0.13,0.055,-0.736,0.662,-0.643,0.754,-0.128,0.04,4.142356872558594,nan
2025-03-19T07:35:51.361199,-0.128,0.054,-0.735,0.663,-0.643,0.754,-0.127,0.04,4.0529327392578125,nan
2025-03-19T07:35:51.456808,-0.125,0.053,-0.735,0.664,-0.643,0.754,-0.127,0.039,3.9865036010742188,nan
2025-03-19T07:35:51.553076,-0.123,0.053,-0.735,0.665,-0.643,0.754,-0.127,0.039,3.8050994873046875,nan
2025-03-19T07:35:51.648680,-0.121,0.052,-0.734,0.666,-0.644,0.754,-0.127,0.038,3.6747970581054688,nan
2025-03-19T07:35:51.744958,-0.119,0.051,-0.734,0.667,-0.644,0.754,-0.126,0.038,3.6236953735351562,nan
2025-03-19T07:35:51.840524,-0.116,0.05,-0.734,0.668,-0.644,0.754,-0.125,0.037,3.6696853637695312,nan
2025-03-19T07:35:51.936906,-0.117,0.045,-0.733,0.669,-0.644,0.754,-0.125,0.037,3.8255386352539062,nan
2025-03-19T07:35:52.048229,-0.117,0.04,-0.732,0.67,-0.644,0.754,-0.125,0.037,3.9430694580078125,nan
2025-03-19T07:35:52.145306,-0.116,0.038,-0.732,0.671,-0.644,0.754,-0.125,0.036,4.096366882324219,nan
2025-03-19T07:35:52.241293,-0.115,0.036,-0.731,0.671,-0.644,0.754,-0.124,0.035,4.254783630371094,nan
