Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-06-29T07:13:30.747363,0.702,-0.583,-0.357,0.201,0.12,-0.249,0.739,-0.614,1.7534332275390625,nan
2025-06-29T07:13:30.844016,0.702,-0.585,-0.355,0.198,0.122,-0.251,0.739,-0.613,1.6742324829101562,nan
2025-06-29T07:13:30.955745,0.703,-0.586,-0.353,0.194,0.124,-0.253,0.739,-0.613,1.5209274291992188,nan
2025-06-29T07:13:31.051792,0.704,-0.587,-0.351,0.191,0.126,-0.254,0.738,-0.612,1.436614990234375,nan
2025-06-29T07:13:31.149192,0.704,-0.589,-0.349,0.188,0.127,-0.256,0.737,-0.612,1.3548583984375,nan
2025-06-29T07:13:31.245543,0.705,-0.589,-0.348,0.185,0.129,-0.257,0.737,-0.612,1.2782058715820312,nan
2025-06-29T07:13:31.341143,0.709,-0.587,-0.346,0.18,0.131,-0.258,0.735,-0.613,1.1479034423828125,nan
2025-06-29T07:13:31.437415,0.711,-0.588,-0.343,0.176,0.131,-0.257,0.735,-0.613,1.0993576049804688,nan
2025-06-29T07:13:31.533035,0.711,-0.588,-0.342,0.174,0.133,-0.257,0.735,-0.613,1.1632308959960938,nan
2025-06-29T07:13:31.645321,0.712,-0.589,-0.342,0.173,0.135,-0.258,0.735,-0.612,1.2782058715820312,nan
2025-06-29T07:13:31.740971,0.712,-0.59,-0.341,0.172,0.136,-0.259,0.735,-0.612,1.37274169921875,nan
2025-06-29T07:13:31.837254,0.712,-0.59,-0.339,0.171,0.138,-0.261,0.734,-0.612,1.4621658325195312,nan
2025-06-29T07:13:31.932883,0.712,-0.591,-0.338,0.169,0.139,-0.262,0.734,-0.611,1.6359024047851562,nan
2025-06-29T07:13:32.029193,0.713,-0.591,-0.337,0.168,0.141,-0.263,0.733,-0.611,1.6588973999023438,nan
2025-06-29T07:13:32.124832,0.715,-0.587,-0.339,0.173,0.143,-0.267,0.732,-0.61,1.6052474975585938,nan
2025-06-29T07:13:32.221141,0.715,-0.579,-0.346,0.184,0.148,-0.277,0.728,-0.609,1.6001358032226562,nan
2025-06-29T07:13:32.316756,0.712,-0.573,-0.354,0.199,0.152,-0.286,0.725,-0.608,1.7738723754882812,nan
2025-06-29T07:13:32.413338,0.708,-0.567,-0.363,0.214,0.156,-0.292,0.723,-0.607,1.952728271484375,nan
2025-06-29T07:13:32.523956,0.704,-0.561,-0.371,0.227,0.159,-0.298,0.721,-0.605,2.0651473999023438,nan
2025-06-29T07:13:32.621037,0.699,-0.557,-0.378,0.241,0.16,-0.3,0.72,-0.605,2.1162490844726562,nan
