Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-06-29T07:02:04.063738,0.351,-0.495,0.393,-0.691,0.121,-0.066,-0.805,0.577,1.7099990844726562,nan
2025-06-29T07:02:04.159868,0.35,-0.493,0.394,-0.692,0.123,-0.069,-0.807,0.574,1.9552841186523438,nan
2025-06-29T07:02:04.255729,0.353,-0.489,0.392,-0.694,0.125,-0.069,-0.807,0.573,2.1213531494140625,nan
2025-06-29T07:02:04.351849,0.353,-0.489,0.39,-0.696,0.122,-0.067,-0.808,0.573,2.3589706420898438,nan
2025-06-29T07:02:04.447735,0.354,-0.491,0.386,-0.697,0.118,-0.061,-0.81,0.571,2.4994964599609375,nan
2025-06-29T07:02:04.545520,0.354,-0.492,0.384,-0.697,0.117,-0.062,-0.811,0.571,2.7192230224609375,nan
2025-06-29T07:02:04.657158,0.35,-0.491,0.387,-0.697,0.116,-0.063,-0.81,0.571,2.88018798828125,nan
2025-06-29T07:02:04.753425,0.348,-0.49,0.389,-0.698,0.115,-0.063,-0.81,0.572,3.13824462890625,nan
2025-06-29T07:02:04.849136,0.343,-0.49,0.393,-0.699,0.117,-0.07,-0.809,0.572,3.3196487426757812,nan
2025-06-29T07:02:04.945395,0.332,-0.486,0.398,-0.704,0.123,-0.081,-0.807,0.572,3.5751495361328125,nan
2025-06-29T07:02:05.041050,0.318,-0.481,0.405,-0.709,0.129,-0.092,-0.805,0.572,3.746337890625,nan
2025-06-29T07:02:05.137386,0.311,-0.478,0.411,-0.712,0.133,-0.098,-0.803,0.572,4.012054443359375,nan
2025-06-29T07:02:05.233047,0.303,-0.475,0.416,-0.714,0.135,-0.101,-0.803,0.571,4.1832427978515625,nan
2025-06-29T07:02:05.329310,0.3,-0.473,0.418,-0.715,0.133,-0.101,-0.804,0.571,4.4668426513671875,nan
2025-06-29T07:02:05.425054,0.294,-0.47,0.421,-0.718,0.132,-0.101,-0.804,0.571,4.668693542480469,nan
2025-06-29T07:02:05.537381,0.294,-0.467,0.422,-0.719,0.132,-0.1,-0.805,0.57,4.9369659423828125,nan
2025-06-29T07:02:05.632935,0.297,-0.464,0.425,-0.718,0.133,-0.097,-0.804,0.572,5.1209259033203125,nan
2025-06-29T07:02:05.729273,0.301,-0.463,0.428,-0.715,0.136,-0.091,-0.8,0.577,5.427528381347656,nan
2025-06-29T07:02:05.824912,0.305,-0.467,0.431,-0.709,0.14,-0.086,-0.789,0.592,5.5808258056640625,nan
2025-06-29T07:02:05.921230,0.309,-0.473,0.435,-0.701,0.138,-0.078,-0.779,0.607,5.706024169921875,nan
2025-06-29T07:02:06.016911,0.315,-0.48,0.436,-0.693,0.133,-0.067,-0.778,0.61,5.777557373046875,nan
2025-06-29T07:02:06.113136,0.318,-0.478,0.435,-0.694,0.13,-0.064,-0.781,0.608,5.8797607421875,nan
2025-06-29T07:02:06.208816,0.315,-0.473,0.437,-0.697,0.129,-0.063,-0.781,0.607,5.907867431640625,nan
2025-06-29T07:02:06.305088,0.309,-0.468,0.439,-0.702,0.127,-0.063,-0.783,0.606,5.790336608886719,nan
2025-06-29T07:02:06.400789,0.3,-0.46,0.441,-0.71,0.13,-0.069,-0.784,0.603,5.583381652832031,nan
2025-06-29T07:02:06.497093,0.287,-0.45,0.443,-0.72,0.135,-0.077,-0.783,0.603,5.182243347167969,nan
2025-06-29T07:02:06.592699,0.279,-0.443,0.446,-0.725,0.14,-0.085,-0.781,0.603,4.896087646484375,nan
2025-06-29T07:02:06.705023,0.272,-0.436,0.452,-0.729,0.147,-0.093,-0.78,0.601,4.451515197753906,nan
2025-06-29T07:02:06.800682,0.266,-0.429,0.457,-0.733,0.152,-0.1,-0.78,0.599,4.157691955566406,nan
2025-06-29T07:02:06.896981,0.259,-0.422,0.461,-0.737,0.157,-0.105,-0.781,0.595,3.7386703491210938,nan
2025-06-29T07:02:06.992654,0.254,-0.412,0.465,-0.741,0.164,-0.112,-0.783,0.589,3.478057861328125,nan
2025-06-29T07:02:07.088964,0.248,-0.401,0.471,-0.745,0.173,-0.12,-0.785,0.583,3.1459121704101562,nan
2025-06-29T07:02:07.184597,0.242,-0.391,0.477,-0.749,0.18,-0.125,-0.786,0.578,2.9619522094726562,nan
2025-06-29T07:02:07.280922,0.237,-0.381,0.483,-0.752,0.186,-0.131,-0.788,0.572,2.6757888793945312,nan
2025-06-29T07:02:07.376593,0.232,-0.372,0.488,-0.754,0.191,-0.136,-0.789,0.568,2.4790573120117188,nan
2025-06-29T07:02:07.472891,0.228,-0.368,0.493,-0.755,0.192,-0.137,-0.788,0.568,2.2439956665039062,nan
2025-06-29T07:02:07.582915,0.224,-0.368,0.497,-0.753,0.19,-0.136,-0.788,0.569,2.136688232421875,nan
2025-06-29T07:02:07.680829,0.22,-0.368,0.502,-0.751,0.188,-0.136,-0.789,0.57,2.03448486328125,nan
2025-06-29T07:02:07.776452,0.214,-0.365,0.506,-0.752,0.185,-0.135,-0.789,0.57,1.9782791137695312,nan
2025-06-29T07:02:07.872801,0.208,-0.363,0.509,-0.752,0.183,-0.135,-0.79,0.57,1.878631591796875,nan
2025-06-29T07:02:07.968458,0.203,-0.362,0.513,-0.752,0.181,-0.137,-0.79,0.57,1.8096466064453125,nan
2025-06-29T07:02:08.064770,0.198,-0.36,0.517,-0.751,0.183,-0.141,-0.788,0.571,1.7023391723632812,nan
2025-06-29T07:02:08.160422,0.191,-0.362,0.519,-0.751,0.18,-0.14,-0.788,0.572,1.63079833984375,nan
2025-06-29T07:02:08.256688,0.186,-0.361,0.522,-0.75,0.183,-0.144,-0.788,0.57,1.5490341186523438,nan
2025-06-29T07:02:08.352392,0.18,-0.357,0.525,-0.751,0.186,-0.149,-0.787,0.569,1.5081558227539062,nan
2025-06-29T07:02:08.480970,0.171,-0.349,0.531,-0.753,0.193,-0.156,-0.788,0.564,1.436614990234375,nan
2025-06-29T07:02:08.576162,0.162,-0.339,0.536,-0.756,0.195,-0.16,-0.788,0.561,1.3957366943359375,nan
2025-06-29T07:02:08.672335,0.157,-0.338,0.539,-0.756,0.192,-0.16,-0.788,0.562,1.3574142456054688,nan
2025-06-29T07:02:08.768287,0.152,-0.337,0.541,-0.755,0.19,-0.16,-0.789,0.562,1.3139724731445312,nan
2025-06-29T07:02:08.864642,0.15,-0.337,0.544,-0.754,0.188,-0.159,-0.79,0.562,1.2271041870117188,nan
2025-06-29T07:02:08.960259,0.147,-0.336,0.548,-0.752,0.187,-0.158,-0.79,0.562,1.2041091918945312,nan
2025-06-29T07:02:09.056588,0.144,-0.335,0.55,-0.752,0.185,-0.157,-0.791,0.562,1.2322158813476562,nan
2025-06-29T07:02:09.152373,0.14,-0.333,0.552,-0.751,0.183,-0.156,-0.791,0.562,1.2782058715820312,nan
2025-06-29T07:02:09.248323,0.137,-0.332,0.554,-0.751,0.181,-0.155,-0.792,0.562,1.3037567138671875,nan
2025-06-29T07:02:09.360238,0.134,-0.331,0.556,-0.751,0.179,-0.154,-0.792,0.563,1.2858734130859375,nan
