Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-06-29T07:06:50.113227,-0.323,0.461,-0.512,0.649,0.069,-0.013,-0.789,0.61,4.2649993896484375,nan
2025-06-29T07:06:50.209442,-0.324,0.463,-0.512,0.647,0.069,-0.011,-0.789,0.611,4.4591827392578125,nan
2025-06-29T07:06:50.305109,-0.326,0.464,-0.511,0.646,0.068,-0.008,-0.788,0.612,4.5869293212890625,nan
2025-06-29T07:06:50.401258,-0.327,0.465,-0.511,0.645,0.068,-0.006,-0.788,0.612,4.686576843261719,nan
2025-06-29T07:06:50.497186,-0.328,0.466,-0.51,0.644,0.067,-0.004,-0.787,0.613,4.681465148925781,nan
2025-06-29T07:06:50.594921,-0.329,0.467,-0.509,0.644,0.067,-0.002,-0.787,0.614,4.6278076171875,nan
2025-06-29T07:06:50.690470,-0.33,0.469,-0.509,0.643,0.066,0.0,-0.786,0.614,4.589485168457031,nan
2025-06-29T07:06:50.786781,-0.331,0.47,-0.508,0.642,0.066,0.002,-0.786,0.615,4.530723571777344,nan
2025-06-29T07:06:50.898398,-0.332,0.471,-0.507,0.641,0.065,0.004,-0.786,0.615,4.4770660400390625,nan
2025-06-29T07:06:50.994665,-0.333,0.473,-0.506,0.64,0.064,0.006,-0.786,0.615,4.290550231933594,nan
2025-06-29T07:06:51.090303,-0.334,0.474,-0.505,0.639,0.064,0.008,-0.785,0.616,4.104034423828125,nan
2025-06-29T07:06:51.186637,-0.335,0.475,-0.504,0.638,0.063,0.009,-0.785,0.616,3.8255386352539062,nan
2025-06-29T07:06:51.282202,-0.336,0.476,-0.503,0.638,0.063,0.011,-0.785,0.616,3.6313629150390625,nan
2025-06-29T07:06:51.378606,-0.337,0.477,-0.502,0.638,0.062,0.012,-0.785,0.617,3.3068771362304688,nan
2025-06-29T07:06:51.474164,-0.337,0.478,-0.501,0.638,0.061,0.013,-0.784,0.617,3.1152496337890625,nan
2025-06-29T07:06:51.570514,-0.338,0.48,-0.498,0.638,0.06,0.015,-0.784,0.618,2.9108505249023438,nan
2025-06-29T07:06:51.666106,-0.343,0.484,-0.491,0.638,0.06,0.016,-0.784,0.618,2.8137588500976562,nan
2025-06-29T07:06:51.777135,-0.351,0.488,-0.484,0.636,0.055,0.021,-0.784,0.618,2.6860122680664062,nan
2025-06-29T07:06:51.874026,-0.36,0.493,-0.474,0.634,0.046,0.031,-0.783,0.619,2.5812530517578125,nan
2025-06-29T07:06:51.970345,-0.371,0.5,-0.464,0.63,0.037,0.043,-0.783,0.62,2.4202880859375,nan
2025-06-29T07:06:52.066003,-0.384,0.507,-0.452,0.625,0.027,0.056,-0.782,0.62,2.32830810546875,nan
2025-06-29T07:06:52.162292,-0.397,0.514,-0.44,0.62,0.017,0.07,-0.782,0.62,2.1877822875976562,nan
2025-06-29T07:06:52.257910,-0.411,0.52,-0.428,0.614,0.006,0.085,-0.781,0.618,2.0906982421875,nan
2025-06-29T07:06:52.354379,-0.426,0.527,-0.416,0.607,-0.011,0.105,-0.781,0.615,1.970611572265625,nan
2025-06-29T07:06:52.449967,-0.444,0.536,-0.401,0.595,-0.025,0.123,-0.781,0.612,1.9118423461914062,nan
2025-06-29T07:06:52.546228,-0.459,0.544,-0.388,0.585,-0.038,0.138,-0.78,0.609,1.8173141479492188,nan
2025-06-29T07:06:52.641833,-0.471,0.55,-0.378,0.577,-0.047,0.148,-0.779,0.607,1.758544921875,nan
2025-06-29T07:06:52.738128,-0.478,0.556,-0.37,0.57,-0.053,0.154,-0.78,0.604,1.7023391723632812,nan
2025-06-29T07:06:52.833783,-0.483,0.574,-0.357,0.557,-0.054,0.153,-0.782,0.602,1.6435699462890625,nan
2025-06-29T07:06:52.930084,-0.481,0.586,-0.35,0.55,-0.048,0.146,-0.784,0.601,1.5183792114257812,nan
2025-06-29T07:06:53.025728,-0.474,0.594,-0.348,0.549,-0.038,0.13,-0.787,0.602,1.4749374389648438,nan
2025-06-29T07:06:53.122041,-0.462,0.599,-0.352,0.552,-0.021,0.107,-0.788,0.606,1.454498291015625,nan
2025-06-29T07:06:53.249615,-0.435,0.603,-0.363,0.561,0.004,0.074,-0.789,0.61,1.4570541381835938,nan
2025-06-29T07:06:53.346005,-0.412,0.605,-0.371,0.571,0.026,0.044,-0.788,0.614,1.454498291015625,nan
2025-06-29T07:06:53.441535,-0.393,0.603,-0.38,0.581,0.049,0.002,-0.78,0.624,1.436614990234375,nan
2025-06-29T07:06:53.537950,-0.38,0.587,-0.395,0.595,0.07,-0.04,-0.771,0.632,1.4212875366210938,nan
2025-06-29T07:06:53.633537,-0.369,0.574,-0.408,0.607,0.087,-0.074,-0.761,0.639,1.4136199951171875,nan
2025-06-29T07:06:53.729860,-0.362,0.563,-0.418,0.614,0.099,-0.097,-0.755,0.641,1.3752975463867188,nan
2025-06-29T07:06:53.825451,-0.361,0.558,-0.422,0.617,0.098,-0.093,-0.76,0.635,1.3395233154296875,nan
2025-06-29T07:06:53.921750,-0.361,0.554,-0.425,0.618,0.095,-0.087,-0.765,0.631,1.3139724731445312,nan
2025-06-29T07:06:54.017405,-0.368,0.554,-0.423,0.616,0.088,-0.075,-0.771,0.627,1.308868408203125,nan
2025-06-29T07:06:54.113751,-0.377,0.554,-0.419,0.612,0.078,-0.06,-0.777,0.622,1.2858734130859375,nan
2025-06-29T07:06:54.209032,-0.388,0.557,-0.412,0.608,0.061,-0.039,-0.785,0.616,1.2782058715820312,nan
2025-06-29T07:06:54.305665,-0.402,0.561,-0.401,0.603,0.042,-0.016,-0.79,0.611,1.2730941772460938,nan
2025-06-29T07:06:54.401262,-0.416,0.567,-0.389,0.595,0.022,0.011,-0.794,0.608,1.2296600341796875,nan
2025-06-29T07:06:54.497573,-0.433,0.573,-0.376,0.585,0.005,0.036,-0.795,0.605,1.160675048828125,nan
2025-06-29T07:06:54.593374,-0.449,0.581,-0.361,0.575,-0.0,0.046,-0.796,0.604,1.1479034423828125,nan
2025-06-29T07:06:54.689593,-0.464,0.59,-0.346,0.562,-0.006,0.056,-0.796,0.603,1.178558349609375,nan
2025-06-29T07:06:54.785186,-0.479,0.596,-0.336,0.55,-0.007,0.064,-0.796,0.602,1.2219924926757812,nan
2025-06-29T07:06:54.881459,-0.492,0.6,-0.331,0.537,-0.002,0.067,-0.796,0.601,1.2603225708007812,nan
2025-06-29T07:06:54.977045,-0.502,0.598,-0.331,0.53,0.008,0.065,-0.797,0.6,1.2679824829101562,nan
2025-06-29T07:06:55.089343,-0.508,0.597,-0.332,0.525,0.014,0.06,-0.799,0.598,1.2730941772460938,nan
2025-06-29T07:06:55.185124,-0.511,0.595,-0.334,0.523,0.027,0.053,-0.8,0.597,1.2654342651367188,nan
2025-06-29T07:06:55.281396,-0.512,0.59,-0.342,0.522,0.044,0.043,-0.8,0.597,1.2398834228515625,nan
2025-06-29T07:06:55.376972,-0.508,0.582,-0.358,0.524,0.065,0.028,-0.799,0.597,1.22454833984375,nan
2025-06-29T07:06:55.473269,-0.493,0.571,-0.38,0.536,0.081,0.002,-0.798,0.597,1.2296600341796875,nan
2025-06-29T07:06:55.568877,-0.472,0.558,-0.4,0.553,0.101,-0.032,-0.795,0.597,1.2424392700195312,nan
2025-06-29T07:06:55.665369,-0.449,0.542,-0.424,0.57,0.135,-0.065,-0.791,0.593,1.26287841796875,nan
2025-06-29T07:06:55.760856,-0.425,0.521,-0.451,0.587,0.169,-0.096,-0.785,0.588,1.3165283203125,nan
2025-06-29T07:06:55.857166,-0.403,0.504,-0.469,0.603,0.2,-0.132,-0.778,0.581,1.4263992309570312,nan
2025-06-29T07:06:55.952787,-0.379,0.489,-0.485,0.618,0.229,-0.17,-0.769,0.572,1.492828369140625,nan
2025-06-29T07:06:56.049137,-0.355,0.471,-0.499,0.635,0.257,-0.208,-0.757,0.563,1.6614532470703125,nan
2025-06-29T07:06:56.144753,-0.332,0.456,-0.509,0.65,0.281,-0.243,-0.745,0.554,1.8275299072265625,nan
2025-06-29T07:06:56.241049,-0.311,0.441,-0.521,0.661,0.302,-0.269,-0.734,0.545,2.1162490844726562,nan
2025-06-29T07:06:56.336643,-0.295,0.433,-0.529,0.668,0.321,-0.286,-0.725,0.537,2.3232040405273438,nan
2025-06-29T07:06:56.433276,-0.286,0.427,-0.534,0.672,0.335,-0.301,-0.716,0.533,2.6016921997070312,nan
2025-06-29T07:06:56.528616,-0.283,0.43,-0.534,0.67,0.341,-0.311,-0.711,0.531,2.7575531005859375,nan
2025-06-29T07:06:56.625004,-0.28,0.454,-0.527,0.661,0.347,-0.319,-0.707,0.528,2.95428466796875,nan
2025-06-29T07:06:56.736237,-0.282,0.478,-0.518,0.651,0.353,-0.326,-0.703,0.524,3.0615921020507812,nan
2025-06-29T07:06:56.832876,-0.284,0.498,-0.509,0.642,0.359,-0.334,-0.699,0.521,3.2148971557617188,nan
2025-06-29T07:06:56.928551,-0.285,0.516,-0.501,0.634,0.364,-0.34,-0.695,0.518,3.3298721313476562,nan
2025-06-29T07:06:57.024771,-0.287,0.533,-0.492,0.626,0.369,-0.346,-0.692,0.516,3.5138320922851562,nan
2025-06-29T07:06:57.120400,-0.288,0.549,-0.482,0.619,0.373,-0.351,-0.689,0.514,3.626251220703125,nan
2025-06-29T07:06:57.216746,-0.291,0.564,-0.473,0.611,0.376,-0.355,-0.686,0.512,3.8204269409179688,nan
2025-06-29T07:06:57.312364,-0.294,0.578,-0.463,0.604,0.379,-0.36,-0.683,0.51,3.9456253051757812,nan
2025-06-29T07:06:57.408718,-0.297,0.591,-0.453,0.597,0.382,-0.364,-0.681,0.508,4.037605285644531,nan
2025-06-29T07:06:57.504328,-0.302,0.602,-0.443,0.592,0.385,-0.367,-0.678,0.507,4.083595275878906,nan
2025-06-29T07:06:57.614702,-0.306,0.613,-0.433,0.586,0.387,-0.371,-0.676,0.505,4.231788635253906,nan
2025-06-29T07:06:57.712231,-0.311,0.624,-0.423,0.579,0.389,-0.374,-0.674,0.504,4.387641906738281,nan
2025-06-29T07:06:57.808540,-0.316,0.633,-0.414,0.573,0.391,-0.378,-0.672,0.502,4.645698547363281,nan
2025-06-29T07:06:57.904139,-0.322,0.64,-0.405,0.568,0.394,-0.383,-0.669,0.5,4.7760009765625,nan
2025-06-29T07:06:58.000454,-0.324,0.643,-0.397,0.569,0.4,-0.391,-0.664,0.496,4.934410095214844,nan
2025-06-29T07:06:58.096071,-0.327,0.647,-0.391,0.567,0.408,-0.4,-0.658,0.491,5.049385070800781,nan
2025-06-29T07:06:58.208407,-0.332,0.65,-0.387,0.563,0.417,-0.409,-0.652,0.484,5.1950225830078125,nan
2025-06-29T07:06:58.304025,-0.338,0.652,-0.381,0.562,0.423,-0.416,-0.647,0.48,5.264007568359375,nan
2025-06-29T07:06:58.400431,-0.34,0.655,-0.376,0.561,0.43,-0.424,-0.641,0.474,5.3636474609375,nan
2025-06-29T07:06:58.495960,-0.343,0.66,-0.368,0.558,0.436,-0.431,-0.635,0.47,5.440299987792969,nan
2025-06-29T07:06:58.608298,-0.349,0.666,-0.36,0.553,0.44,-0.436,-0.631,0.467,5.5450592041015625,nan
2025-06-29T07:06:58.703935,-0.357,0.671,-0.353,0.545,0.443,-0.44,-0.628,0.465,5.60382080078125,nan
2025-06-29T07:06:58.800206,-0.365,0.677,-0.346,0.537,0.445,-0.443,-0.625,0.464,5.601264953613281,nan
2025-06-29T07:06:58.895817,-0.373,0.683,-0.338,0.53,0.446,-0.446,-0.624,0.462,5.514396667480469,nan
2025-06-29T07:06:58.992133,-0.38,0.688,-0.33,0.522,0.447,-0.448,-0.622,0.461,5.2870025634765625,nan
2025-06-29T07:06:59.087458,-0.388,0.693,-0.322,0.515,0.449,-0.45,-0.62,0.46,5.0468292236328125,nan
