Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-07-02T04:19:55.298182,-0.673,0.715,0.016,0.189,0.76,-0.631,0.154,-0.015,-0.24968719482421875,nan
2025-07-02T04:19:55.394403,-0.674,0.714,0.013,0.189,0.758,-0.632,0.16,-0.019,-0.33655548095703125,nan
2025-07-02T04:19:55.490111,-0.675,0.713,0.013,0.189,0.757,-0.633,0.164,-0.022,-0.39531707763671875,nan
2025-07-02T04:19:55.602406,-0.675,0.713,0.012,0.19,0.755,-0.633,0.167,-0.024,-0.46941375732421875,nan
2025-07-02T04:19:55.698212,-0.675,0.713,0.013,0.19,0.754,-0.634,0.17,-0.027,-0.5511703491210938,nan
2025-07-02T04:19:55.796112,-0.675,0.713,0.011,0.191,0.752,-0.636,0.17,-0.027,-0.6916961669921875,nan
2025-07-02T04:19:55.891439,-0.674,0.713,0.009,0.193,0.751,-0.638,0.168,-0.025,-0.7402420043945312,nan
2025-07-02T04:19:55.988264,-0.674,0.713,0.007,0.195,0.75,-0.64,0.167,-0.024,-0.76068115234375,nan
2025-07-02T04:19:56.083615,-0.673,0.713,0.005,0.197,0.749,-0.641,0.165,-0.022,-0.7581329345703125,nan
2025-07-02T04:19:56.180242,-0.672,0.713,0.002,0.199,0.748,-0.643,0.163,-0.02,-0.7402420043945312,nan
2025-07-02T04:19:56.275473,-0.672,0.713,0.0,0.201,0.747,-0.645,0.161,-0.018,-0.7402420043945312,nan
2025-07-02T04:19:56.372298,-0.671,0.713,-0.002,0.204,0.746,-0.646,0.159,-0.016,-0.7632369995117188,nan
2025-07-02T04:19:56.483702,-0.67,0.713,-0.003,0.206,0.746,-0.647,0.157,-0.014,-0.788787841796875,nan
2025-07-02T04:19:56.580361,-0.67,0.713,-0.002,0.205,0.746,-0.648,0.156,-0.012,-0.8398895263671875,nan
2025-07-02T04:19:56.675896,-0.67,0.713,-0.001,0.205,0.746,-0.648,0.155,-0.011,-0.8782119750976562,nan
2025-07-02T04:19:56.772355,-0.67,0.713,-0.001,0.206,0.745,-0.649,0.153,-0.009,-0.94464111328125,nan
2025-07-02T04:19:58.436377,-0.67,0.713,-0.001,0.206,0.746,-0.649,0.152,-0.008,-0.9855270385742188,nan
2025-07-02T04:19:58.439192,-0.67,0.713,-0.001,0.206,0.746,-0.649,0.151,-0.007,-1.0315170288085938,nan
2025-07-02T04:19:58.441468,-0.67,0.714,0.001,0.205,0.746,-0.648,0.15,-0.007,-1.064727783203125,nan
2025-07-02T04:19:58.444057,-0.67,0.714,0.002,0.203,0.747,-0.648,0.149,-0.007,-1.156707763671875,nan
2025-07-02T04:19:58.446315,-0.671,0.714,0.004,0.201,0.747,-0.648,0.149,-0.007,-1.2001419067382812,nan
2025-07-02T04:19:58.448906,-0.671,0.714,0.006,0.199,0.748,-0.647,0.148,-0.007,-1.1975860595703125,nan
2025-07-02T04:19:58.451137,-0.672,0.714,0.008,0.197,0.749,-0.646,0.148,-0.007,-1.16693115234375,nan
2025-07-02T04:19:58.453726,-0.672,0.714,0.009,0.195,0.75,-0.645,0.149,-0.008,-1.0877227783203125,nan
2025-07-02T04:19:58.455929,-0.673,0.714,0.012,0.193,0.751,-0.643,0.149,-0.009,-1.0264053344726562,nan
2025-07-02T04:19:58.458470,-0.673,0.714,0.014,0.191,0.752,-0.642,0.15,-0.01,-0.9395370483398438,nan
2025-07-02T04:19:58.460723,-0.674,0.714,0.015,0.189,0.752,-0.641,0.15,-0.011,-0.8858795166015625,nan
2025-07-02T04:19:58.463254,-0.674,0.714,0.017,0.186,0.753,-0.64,0.151,-0.013,-0.7785720825195312,nan
