Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-27T08:41:34.011976,-0.287,0.297,0.652,-0.636,0.038,0.142,-0.749,0.646,-1.0621719360351562,nan
2025-03-27T08:41:34.108377,-0.286,0.298,0.652,-0.636,0.041,0.14,-0.751,0.643,-1.0698394775390625,nan
2025-03-27T08:41:34.203822,-0.284,0.3,0.652,-0.635,0.044,0.136,-0.753,0.642,-1.074951171875,nan
2025-03-27T08:41:34.300153,-0.283,0.301,0.653,-0.635,0.047,0.133,-0.753,0.642,-1.1183853149414062,nan
2025-03-27T08:41:34.411662,-0.282,0.302,0.653,-0.635,0.049,0.13,-0.753,0.643,-1.1618194580078125,nan
2025-03-27T08:41:34.508062,-0.281,0.303,0.652,-0.635,0.051,0.128,-0.754,0.643,-1.2231369018554688,nan
2025-03-27T08:41:34.603725,-0.28,0.304,0.652,-0.636,0.054,0.126,-0.755,0.641,-1.24102783203125,nan
2025-03-27T08:41:34.700004,-0.279,0.304,0.651,-0.637,0.055,0.125,-0.755,0.641,-1.2461318969726562,nan
2025-03-27T08:41:34.795601,-0.28,0.303,0.649,-0.639,0.056,0.125,-0.755,0.641,-1.2512435913085938,nan
2025-03-27T08:41:34.891979,-0.279,0.304,0.649,-0.64,0.057,0.124,-0.755,0.641,-1.27679443359375,nan
2025-03-27T08:41:34.987608,-0.279,0.304,0.648,-0.64,0.059,0.121,-0.754,0.643,-1.2997894287109375,nan
2025-03-27T08:41:35.083861,-0.278,0.305,0.648,-0.64,0.062,0.118,-0.754,0.643,-1.3355560302734375,nan
2025-03-27T08:41:35.179475,-0.278,0.305,0.647,-0.641,0.064,0.116,-0.754,0.643,-1.3611068725585938,nan
2025-03-27T08:41:35.275722,-0.277,0.305,0.646,-0.642,0.066,0.113,-0.755,0.643,-1.3892135620117188,nan
2025-03-27T08:41:35.387356,-0.276,0.306,0.646,-0.643,0.068,0.11,-0.755,0.643,-1.3892135620117188,nan
2025-03-27T08:41:35.483634,-0.277,0.305,0.644,-0.645,0.073,0.105,-0.756,0.642,-1.4019927978515625,nan
2025-03-27T08:41:35.579271,-0.278,0.303,0.643,-0.646,0.076,0.101,-0.757,0.641,-1.4173202514648438,nan
2025-03-27T08:41:35.675550,-0.278,0.303,0.642,-0.647,0.077,0.099,-0.756,0.643,-1.4530868530273438,nan
2025-03-27T08:41:35.771187,-0.278,0.304,0.644,-0.645,0.079,0.098,-0.755,0.644,-1.4811935424804688,nan
2025-03-27T08:41:35.867472,-0.277,0.305,0.643,-0.645,0.081,0.095,-0.755,0.643,-1.5041885375976562,nan
2025-03-27T08:41:35.963158,-0.277,0.305,0.643,-0.646,0.083,0.092,-0.755,0.644,-1.5016326904296875,nan
