Timestamp,imu1_q_x,imu1_q_y,imu1_q_z,imu1_q_w,imu2_q_x,imu2_q_y,imu2_q_z,imu2_q_w,Force,RR
2025-03-27T08:24:36.184085,0.454,-0.46,0.567,-0.511,0.195,-0.667,0.552,-0.462,0.9332809448242188,nan
2025-03-27T08:24:36.280517,0.446,-0.452,0.573,-0.518,0.197,-0.666,0.55,-0.463,0.8055343627929688,nan
2025-03-27T08:24:36.375993,0.44,-0.448,0.575,-0.525,0.197,-0.668,0.549,-0.462,0.7390975952148438,nan
2025-03-27T08:24:36.472321,0.436,-0.446,0.576,-0.529,0.197,-0.67,0.547,-0.461,0.6445693969726562,nan
2025-03-27T08:24:36.568116,0.434,-0.446,0.576,-0.53,0.198,-0.672,0.545,-0.46,0.5960235595703125,nan
2025-03-27T08:24:36.664238,0.432,-0.445,0.577,-0.532,0.2,-0.672,0.545,-0.46,0.5193710327148438,nan
2025-03-27T08:24:36.759878,0.43,-0.444,0.577,-0.533,0.202,-0.672,0.544,-0.46,0.46315765380859375,nan
2025-03-27T08:24:36.856113,0.428,-0.444,0.578,-0.535,0.203,-0.673,0.543,-0.459,0.4299468994140625,nan
2025-03-27T08:24:36.951807,0.427,-0.443,0.578,-0.536,0.205,-0.673,0.542,-0.46,0.4478302001953125,nan
2025-03-27T08:24:37.062608,0.425,-0.442,0.579,-0.537,0.206,-0.673,0.542,-0.46,0.49126434326171875,nan
2025-03-27T08:24:37.159699,0.424,-0.441,0.579,-0.538,0.206,-0.674,0.541,-0.459,0.4938201904296875,nan
2025-03-27T08:24:37.256040,0.423,-0.44,0.58,-0.54,0.207,-0.675,0.54,-0.458,0.43250274658203125,nan
2025-03-27T08:24:37.351620,0.422,-0.439,0.58,-0.541,0.208,-0.676,0.539,-0.458,0.37117767333984375,nan
2025-03-27T08:24:37.447915,0.421,-0.438,0.58,-0.543,0.21,-0.675,0.539,-0.458,0.2817535400390625,nan
2025-03-27T08:24:37.543521,0.42,-0.437,0.581,-0.543,0.211,-0.676,0.538,-0.457,0.222991943359375,nan
2025-03-27T08:24:37.639943,0.419,-0.436,0.581,-0.545,0.212,-0.678,0.536,-0.457,0.15911865234375,nan
